"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ogfrl1",8.94929780311905e-84,0.441238161473218,1,0.989,1.64855014831256e-79
"Cpne7",9.05485694049022e-84,-0.656117040252124,0.051,0.64,1.6679951970077e-79
"Cuedc2",1.146664384772e-83,0.579235454117091,0.98,0.85,2.11227046318849e-79
"Lsp1",5.16850928918887e-83,0.807913442558246,0.68,0.037,9.52091096161482e-79
"Myl12b",1.17269991707437e-82,0.405038954974275,0.999,0.981,2.1602305172427e-78
"St6galnac5",1.37805085149092e-82,-0.616072408803473,0.648,0.951,2.53850747353142e-78
"Psmb3",2.79037866602054e-82,0.600344959778349,0.971,0.768,5.14015654067644e-78
"Sox9",3.16149370596541e-82,-0.827039649741478,0.018,0.551,5.82378755575889e-78
"Cnih3",1.50373249913495e-81,-0.562825199517305,0.81,0.97,2.7700256366565e-77
"Clta",1.68200260010372e-81,0.37722576774877,1,1,3.09841698965107e-77
"Lhx2",3.00585495308211e-81,-0.732704686098716,0.048,0.607,5.53708540907255e-77
"Slc25a4",4.60637982567622e-81,0.502384265475232,1,1,8.48541227687816e-77
"Ptgfrn",1.26620936925214e-80,-0.641814571446107,0.007,0.506,2.33248427909936e-76
"Anp32a",2.76145337200433e-80,0.465383608105045,0.999,0.981,5.08687325656917e-76
"Cyth2",3.92346847701436e-80,0.626075506953657,0.961,0.772,7.22742128150815e-76
"Txnl1",4.73117804968398e-80,0.528154066908702,0.987,0.899,8.71530308532285e-76
"Kcnq3",5.20932659735003e-80,-0.556407165750588,0.901,0.951,9.59610052497848e-76
"Gucy1a1",5.41532783526917e-80,-0.618662960715551,0.178,0.79,9.97557540534934e-76
"Dner",1.17404040520288e-79,-0.803765710056743,0.241,0.787,2.16269983042422e-75
"Prss35",1.61867797100452e-79,0.661125120393029,0.68,0.049,2.98176669038743e-75
"Crip2",1.8320796620681e-79,0.402253898743418,1,0.981,3.37487394549565e-75
"Mmd",2.45356165631598e-79,-0.364962670504851,0.993,0.996,4.51970592709967e-75
"Tle3",3.27050094061944e-79,-0.515220159315096,0.013,0.524,6.02458978271507e-75
"Caly",5.22817556757198e-79,0.458152474262213,1,0.993,9.63082221302435e-75
"Nkiras1",6.3624538104957e-79,0.447198352839412,1,0.94,1.17202761643141e-74
"Fras1",1.22474802945972e-78,-0.604476392079902,0.055,0.633,2.25610834506775e-74
"Lingo1",1.66907160555399e-78,-0.427063410238139,0.98,1,3.07459680459101e-74
"Nr2f1",3.09969558298769e-78,-0.506224882766964,0.829,0.985,5.70994923342163e-74
"Mn1",3.41945287797068e-78,-0.536697030547166,0.092,0.693,6.29897414650979e-74
"Tmem178b",3.89133412643739e-78,-0.588768658973053,0.472,0.891,7.16822659431032e-74
"Syn1",6.3311387497858e-78,-0.350250904261806,1,0.996,1.16625906909804e-73
"Trp53i11",1.33863444978848e-77,-0.668637426772455,0.088,0.667,2.46589851995537e-73
"Sebox",1.5104369132753e-77,0.7060276098653,0.603,0.011,2.78237583794444e-73
"Psmb4",2.07069947565304e-77,0.489819976557648,0.99,0.914,3.81443550410047e-73
"Htr2a",2.21214484098716e-77,-0.661409376183638,0.009,0.494,4.07499201158244e-73
"Fat3",3.08701648134828e-77,-0.633392318615944,0.587,0.809,5.68659306029167e-73
"Oxr1",4.74031669117148e-77,-0.454439129370577,0.996,0.996,8.73213737680698e-73
"Hsp90aa1",6.09186248278814e-77,0.475965224971619,1,1,1.1221819879544e-72
"1190002N15Rik",8.47426604091163e-77,-0.640832538423711,0.19,0.764,1.56104454739633e-72
"Scube1",1.33631974620291e-76,-0.741023926727118,0.083,0.64,2.46163460448037e-72
"Ndufa11",1.35693885184908e-76,0.400550926550991,0.997,0.955,2.4996170589912e-72
"Slc25a5",1.66892634749867e-76,0.635367456218989,0.981,0.843,3.07432922472731e-72
"A830036E02Rik",1.73099804039132e-76,-0.672919128225067,0.038,0.573,3.18867149020484e-72
"Palmd",4.00347046053696e-76,-0.541803537297129,0.06,0.622,7.37479293535513e-72
"Fndc5",5.49039803960606e-76,-0.611450628557379,0.229,0.768,1.01138622287583e-71
"Sorbs2",6.16877830087308e-76,-0.412656680032932,0.974,0.996,1.13635065080383e-71
"Kctd4",1.14576740094451e-75,-0.619778219963294,0.216,0.794,2.11061812927988e-71
"Vdac2",4.45306933602692e-75,0.416636039490481,0.996,0.981,8.2029990238952e-71
"Lmo4",1.30805705087757e-74,-0.351502164511929,0.999,1,2.40957189342157e-70
"Slc12a5",1.48212864672043e-74,-0.362214254008003,0.99,1,2.73022918012371e-70
"Dctn3",1.74000155955139e-74,0.349188670740709,1,0.981,3.20525687284962e-70
"Sccpdh",7.50700828648283e-74,-0.718328311474027,0.568,0.858,1.382865996453e-69
"Ccnd2",1.09361757635291e-73,0.65074169541924,0.92,0.356,2.0145529373997e-69
"Cacng3",1.19020088502224e-73,-0.489859102623691,0.632,0.94,2.19246905029946e-69
"Slc25a3",1.67886701533628e-73,0.478646770201446,1,0.996,3.09264092895096e-69
"Man1c1",1.73113706431926e-73,-0.44355093280004,0.009,0.479,3.18892758618252e-69
"Ndufa4",4.63739688857448e-73,0.275840231870693,1,0.996,8.54254880844305e-69
"Galnt17",5.42758734250604e-73,-0.596790930102269,0.502,0.899,9.99815864363037e-69
"Nebl",6.87697354790727e-73,-0.554611141450885,0.2,0.775,1.26680729726e-68
"Rmst",1.11049153352014e-71,-0.751713066738273,0.093,0.64,2.04563645389745e-67
"Ccdc85a",1.3415504368106e-71,-0.54425909655156,0.52,0.884,2.47127005964881e-67
"Tmem59",1.70914360792694e-71,0.444537843868564,0.991,0.966,3.14841344016222e-67
"Mdh2",3.13255013554267e-71,0.615323241625057,0.993,0.884,5.77047060468315e-67
"Pou3f2",6.61610460008476e-71,-0.563245996850416,0.036,0.554,1.21875262838161e-66
"Sulf1",1.16410308052771e-70,0.574555838616551,0.835,0.221,2.14439428464009e-66
"Ndufb5",1.28004227168159e-70,0.329110636583614,1,0.996,2.35796586866466e-66
"Naca",1.75983893045481e-70,0.316432233289678,1,0.985,3.24179929379081e-66
"Cacna1g",2.89465242200966e-70,-0.546883604617996,0.14,0.704,5.332239226584e-66
"3110035E14Rik",2.9651188051958e-70,0.420034212825079,0.999,1,5.46204535105119e-66
"Atp1b2",3.44139484558668e-70,-0.747228974199205,0.374,0.775,6.33939344505522e-66
"Kcnc2",4.21781474807811e-70,-0.583047373796045,0.035,0.532,7.76963654743469e-66
"Spcs1",4.60161800362893e-70,0.424280834529634,0.996,0.91,8.47664052448485e-66
"Suclg1",6.68469003727203e-70,0.55469734258226,0.972,0.846,1.23138675176588e-65
"Nectin1",7.00237860245927e-70,-0.617670224843707,0.042,0.554,1.28990816235902e-65
"Psma5",1.07538024872184e-69,0.564804428908144,0.972,0.775,1.98095795617051e-65
"Nos1ap",1.46222736846857e-69,0.543837125709443,0.996,0.929,2.69356903545596e-65
"C130074G19Rik",1.78689380422955e-69,-0.533843844692661,0.042,0.547,3.29163707677126e-65
