"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"A830082K12Rik",4.72289156453701e-11,0.264032903601529,0.697,0.441,8.70003855103363e-07
"Creb3",4.96886310299163e-11,-0.313887885049229,0.295,0.575,9.15314272202088e-07
"Exosc9",5.2788495055655e-11,-0.301313647008834,0.328,0.636,9.7241686742022e-07
"Rtf2",5.32740007115609e-11,-0.255738290610595,0.615,0.815,9.81360367107663e-07
"Mettl26",5.42088034190659e-11,-0.264846084419896,0.615,0.839,9.98580367782613e-07
"Sucla2",5.98565497316923e-11,-0.257677134691424,0.877,0.953,1.1026175026075e-06
"Pgs1",6.5117427420619e-11,-0.25908934552753,0.582,0.82,1.19952813051522e-06
"Fam131b",6.72037078478917e-11,-0.286361932366843,0.738,0.882,1.23795950226601e-06
"Ica1",7.02986449488429e-11,-0.277788377955269,0.467,0.717,1.29497133860263e-06
"Mrpl9",7.23092832534078e-11,-0.281004662536195,0.5,0.758,1.33200930681102e-06
"Kcnk3",7.40718625011425e-11,-0.259539368033169,0.451,0.753,1.36447777913355e-06
"Grhpr",7.82019896601391e-11,-0.298990597441189,0.238,0.533,1.44055885152942e-06
"Ier5",9.11672210934788e-11,-0.30628593975856,0.779,0.908,1.67939137976297e-06
"Rnf180",9.27252396691611e-11,-0.277732318762858,0.18,0.493,1.70809163994562e-06
"Nectin3",9.62651797056302e-11,0.331708861031776,0.238,0.136,1.77330087535741e-06
"Mrpl24",9.82852971437858e-11,-0.257694261785412,0.631,0.828,1.81051345868568e-06
"Rit1",9.90881586178102e-11,-0.259512066696386,0.557,0.8,1.82530296989868e-06
"Ncl",9.98140632797485e-11,-0.295738123200109,0.975,0.993,1.83867485967625e-06
"Adprm",1.02030360010281e-10,-0.285028594441568,0.254,0.552,1.87950126174939e-06
"Pcbd2",1.05800866652328e-10,-0.282913145526011,0.393,0.683,1.94895776460254e-06
"Abcf1",1.10697231692463e-10,-0.264541195341761,0.68,0.864,2.03915370500687e-06
"Mrps31",1.11261095325993e-10,-0.270913465874494,0.189,0.488,2.04954063700012e-06
"Chst2",1.17336907081766e-10,0.267709716428804,0.631,0.377,2.16146316535321e-06
"Igsf8",1.18181634216555e-10,-0.264289209443989,0.893,0.955,2.17702388390317e-06
"Ppp2r3c",1.35259113033642e-10,-0.29008415784288,0.287,0.606,2.49160812119273e-06
"Mrpl17",1.36644006798254e-10,-0.252733980559941,0.73,0.882,2.51711924923063e-06
"Ndufaf5",1.39029989919177e-10,-0.285401656950297,0.377,0.65,2.56107144430117e-06
"Magoh",1.46697063949341e-10,-0.259391202650923,0.623,0.816,2.70230661501082e-06
"Cbln2",1.47043353409886e-10,-0.274849073130423,0.123,0.416,2.70868561316351e-06
"Kptn",1.47401129429827e-10,-0.281878099701443,0.246,0.559,2.71527620522684e-06
"Kcna1",1.47772597921729e-10,-0.318221676758594,0.746,0.896,2.72211902631617e-06
"Rnf128",1.51735261031868e-10,-0.302138947601901,0.23,0.542,2.79511524346803e-06
"Gps1",1.59375824193953e-10,-0.271474021781558,0.787,0.885,2.9358620574768e-06
"Agpat4",1.61484708608074e-10,-0.269834595492404,0.68,0.855,2.97470981726932e-06
"Zfpl1",1.62200854751429e-10,-0.256451270047209,0.287,0.6,2.98790194537607e-06
"Npy",1.67409632890766e-10,0.557070053330353,0.197,0.039,3.08385284748079e-06
"Parl",1.70958737490187e-10,-0.29244665533164,0.426,0.692,3.14923090330674e-06
"Pef1",1.72199571882142e-10,-0.281419481768097,0.5,0.734,3.17208831364093e-06
"Erlec1",1.77982993741539e-10,-0.298878515708431,0.516,0.772,3.2786247277129e-06
"Vat1l",1.9117349562581e-10,0.262918905556011,0.475,0.188,3.52160696292305e-06
"Rpain",1.99099689080295e-10,-0.277882546787244,0.336,0.625,3.66761537254811e-06
"Eif3l",2.0314095591648e-10,-0.303236168235656,0.393,0.647,3.74205954893749e-06
"Gtf2b",2.04048476720272e-10,-0.282688084211744,0.467,0.74,3.75877698966413e-06
"Zdhhc2",2.04131260581529e-10,-0.264248638143303,0.68,0.861,3.76030195117235e-06
"Snrpa",2.04149425722699e-10,-0.283657575952695,0.607,0.815,3.76063657123784e-06
"Tnnt2",2.21156059341448e-10,-0.331194730238547,0.156,0.425,4.07391576912882e-06
"Tkt",2.56042075941431e-10,-0.311143042258804,0.664,0.788,4.71655108091709e-06
"Wdr18",2.6836617554569e-10,-0.253217229121689,0.598,0.838,4.94357331972715e-06
"Cntn5",2.72487806728933e-10,0.268027234086447,0.648,0.435,5.01949788775367e-06
"Mrpl2",2.8592662245668e-10,-0.260605670160967,0.508,0.759,5.2670543122745e-06
"A830029E22Rik",2.91982333879709e-10,0.253336850151673,0.32,0.096,5.37860657239812e-06
"Mpst",3.33935941816048e-10,-0.262716660850445,0.131,0.422,6.15143398419342e-06
"Mcts2",3.36705399567691e-10,-0.272658557408061,0.287,0.58,6.20245016543644e-06
"Osgep",3.38146230044668e-10,-0.272276226126189,0.287,0.585,6.22899170365283e-06
