"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Elavl4",2.34304810007006e-13,-0.295713668689277,0.958,0.963,4.31612890513906e-09
"Bcl11a",2.44291664817792e-13,-0.32150813518152,0.838,0.978,4.50009675760854e-09
"Galnt9",2.58994106429781e-13,-0.380107278658136,0.673,0.868,4.77093043454299e-09
"Uchl1",2.72566451145684e-13,-0.346557153199912,1,1,5.02094659655465e-09
"Sbds",2.86151589470468e-13,-0.266199501241419,0.781,0.904,5.27119842963549e-09
"Chd3",2.90461218158594e-13,-0.283814987364542,0.981,0.993,5.35058609969946e-09
"Garnl3",2.92591320252932e-13,-0.378577370081866,0.512,0.794,5.38982471037926e-09
"Tle4",4.57659329914301e-13,-0.588413526998254,0.323,0.529,8.43054251635134e-09
"Psma4",4.86590445751888e-13,-0.426802515145941,0.669,0.772,8.96348260119552e-09
"Ier2",6.04061322234412e-13,-0.445768887715288,0.673,0.89,1.11274136168801e-08
"Kras",7.22319100021886e-13,-0.254927924181827,0.931,0.985,1.33058401415032e-08
"Prdx2",7.80218162578445e-13,-0.277089705489769,0.973,0.993,1.43723987728575e-08
"Cyth2",8.57444887072909e-13,-0.378538089066384,0.685,0.816,1.57949922647701e-08
"Tbcb",1.02066446063082e-12,-0.279917080291061,0.881,0.971,1.88016600292804e-08
"Cct7",1.03407657025137e-12,-0.353247141944824,0.796,0.809,1.90487245006005e-08
"Npm1",1.10158159106306e-12,-0.25218290327135,0.988,0.985,2.02922344889726e-08
"Cldnd1",1.1050174793088e-12,-0.323815786065802,0.912,0.949,2.03555269863475e-08
"Rwdd1",1.1129395929792e-12,-0.27021276821542,0.881,0.956,2.05014602422699e-08
"Pcp4",1.11572809988936e-12,-0.428377136820658,0.754,0.941,2.05528273280618e-08
"Nos1ap",1.14731050957346e-12,-0.318573422034056,0.877,0.956,2.11346068968526e-08
"Gapdh",1.29598280769592e-12,-0.401993247022509,0.996,1,2.38732993005666e-08
"Ppp1r1b",1.29777390409987e-12,-0.449198905738565,0.246,0.485,2.39062930874238e-08
"Syngr3",1.52536353265502e-12,-0.259138921606341,0.938,0.993,2.80987216350381e-08
"Tcp1",1.54472016027067e-12,-0.262657328347034,0.965,0.963,2.8455290072346e-08
"Prdx1",1.57385872316421e-12,-0.348215470847248,0.904,0.949,2.89920515394078e-08
"Cyr61",1.62424287856733e-12,-1.03812497073936,0.115,0.368,2.99201780660888e-08
"Gnai1",1.62555212672052e-12,-0.258980829059622,0.985,0.993,2.99442957263187e-08
"Jun",1.82131900863744e-12,-0.323743590894633,0.958,1,3.35505174581102e-08
"Laptm4a",1.93210104275493e-12,-0.276030462999414,0.873,0.949,3.55912333085886e-08
"Arap2",2.00325244229643e-12,-0.290661204699001,0.862,0.956,3.69019132395426e-08
"Ppa1",2.23339352410638e-12,-0.332034395665181,0.769,0.838,4.11413421075637e-08
"Tmem59",2.34222406482152e-12,-0.289380659000286,0.935,0.985,4.31461094980772e-08
"Txn1",2.63574463947587e-12,-0.252545809355676,0.969,1,4.8553052003785e-08
"Tbr1",2.6743478557925e-12,-0.283277084302782,0.904,0.971,4.92641618515537e-08
"Rph3a",2.80869542990938e-12,-0.339794918872985,0.796,0.919,5.17389785143606e-08
"Rabac1",3.11100573731663e-12,-0.294441506999223,0.962,0.971,5.73078366871097e-08
"Fkbp4",3.23235075605955e-12,-0.308693183092718,0.631,0.846,5.9543133277373e-08
"Ckb",3.53202321711093e-12,-0.318050549844862,0.996,1,6.50633996824005e-08
"AC149090.1",3.67187333330959e-12,-0.346141991569156,0.758,0.949,6.76395786728959e-08
"H2afy",3.7647948320125e-12,-0.281789098352384,0.95,0.993,6.93512856005022e-08
"Cct8",3.80223077134782e-12,-0.324751388037579,0.85,0.963,7.00408930389982e-08
"Hspa1a",4.3221165160007e-12,-0.733829858903138,0.408,0.574,7.96177083412489e-08
"Mdh2",4.46225520488938e-12,-0.364301520912768,0.935,0.963,8.21992031292673e-08
"Ndufa10",4.47174132824746e-12,-0.270137290894932,0.95,0.985,8.23739470076466e-08
"Psma6",6.98442367259196e-12,-0.32545699462225,0.769,0.846,1.28660068472817e-07
"Atp5c1",7.03115780012838e-12,-0.25020448838966,0.988,1,1.29520957836165e-07
"Nr4a1",7.06957981975938e-12,-0.483677180075158,0.696,0.904,1.30228729859788e-07
"Psmb1",7.4154984229513e-12,-0.295166640745702,0.938,0.941,1.36600896449186e-07
"Eif3m",7.42098780508587e-12,-0.285278973635863,0.846,0.956,1.36702016357487e-07
"3110035E14Rik",8.89120053523097e-12,-0.277915657173658,0.985,1,1.6378480505949e-07
"Tmem178",9.41761166179702e-12,-0.379259708280081,0.569,0.809,1.73481824421963e-07
"Myl12b",9.44270768348835e-12,-0.262787247159263,0.981,0.985,1.73944118237539e-07
