"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Nit2",1.48620187557505e-21,-0.290333208574372,0.138,0.423,2.73773247499679e-17
"Rph3a",1.50738399365649e-21,-0.301760204773869,0.841,0.969,2.77675205471462e-17
"Ppa2",1.54653166197868e-21,-0.272987103129505,0.695,0.913,2.84886597453092e-17
"Pgbd5",1.64829236369526e-21,0.276637773269542,0.966,0.888,3.03631936316304e-17
"Arhgap15",1.92197347461321e-21,0.318904124610092,0.512,0.158,3.540467337585e-17
"Cdkn1c",1.96524693573611e-21,0.49655416121397,0.329,0.046,3.62018138031949e-17
"Ccdc85a",1.96686271332987e-21,0.343715282747736,0.796,0.536,3.62315780422495e-17
"Galnt7",2.62093697733072e-21,0.34815335225877,0.433,0.107,4.82802800594093e-17
"Sel1l3",2.74889791474951e-21,-0.298487714226505,0.701,0.908,5.06374484876008e-17
"Agap1",2.76132209526296e-21,-0.326039171319306,0.659,0.862,5.0866314316839e-17
"Pttg1",2.8024461556067e-21,-0.283783674266885,0.597,0.827,5.1623860632431e-17
"Thrb",2.90008453326698e-21,0.32563769293017,0.908,0.745,5.34224571873111e-17
"Ift27",3.08893481469092e-21,-0.292320626263765,0.352,0.679,5.69012682214214e-17
"Hat1",3.23906964014002e-21,-0.288350463928237,0.232,0.5,5.96669018410193e-17
"Fn3k",3.39461967999814e-21,-0.282743322597662,0.47,0.724,6.25322891252458e-17
"Arl15",3.43401101755101e-21,0.329728020669748,0.442,0.117,6.32579169543072e-17
"Apoo",5.16792493985659e-21,-0.26902301349006,0.517,0.76,9.51983453170982e-17
"Pitpnc1",5.88475487808524e-21,-0.371184260170139,0.432,0.765,1.08403069609208e-16
"Slc7a14",6.14180426767673e-21,-0.276093977357869,0.776,0.934,1.13138176414873e-16
"Chgb",6.15956007418814e-21,-0.315497461687849,0.961,0.99,1.1346525612662e-16
"Comt",6.83027738627946e-21,-0.251873304879155,0.868,0.954,1.25820539732654e-16
"Cmss1",7.17286277812629e-21,-0.278714188260349,0.399,0.704,1.32131305235864e-16
"Hs3st2",7.93370830940368e-21,-0.29896961182887,0.751,0.923,1.46146840767525e-16
"Sccpdh",8.17142762216312e-21,0.437777827350423,0.743,0.515,1.50525868227867e-16
"Ddrgk1",8.33765532287818e-21,-0.255938571381915,0.737,0.893,1.53587948702739e-16
"Synpr",9.20652251314616e-21,0.823760167257594,0.322,0.056,1.69593351214665e-16
"Sec13",9.37764263534693e-21,-0.274766585415393,0.383,0.643,1.72745554985726e-16
"Tkt",1.14082615215908e-20,-0.274610073352622,0.658,0.806,2.10151585489224e-16
"Akr1b3",1.56025395018223e-20,-0.268727667312764,0.541,0.745,2.87414380163069e-16
"Otx1",1.60881263842373e-20,-0.279426495548998,0.044,0.26,2.96359376124036e-16
"Dach1",1.630920666153e-20,0.295829275909939,0.283,0.02,3.00431895912044e-16
"Bicc1",1.96823842633637e-20,0.271400545201229,0.272,0.015,3.62569200515423e-16
"Frg1",2.10557798325594e-20,-0.272176964855259,0.454,0.694,3.87868520295576e-16
"Fam212b",2.14176219114837e-20,0.318249711699756,0.867,0.709,3.94534013231441e-16
"Mgll",2.37563124405541e-20,-0.316653936118674,0.711,0.888,4.37615031467447e-16
"Hdhd2",2.49539261812539e-20,-0.255833005398616,0.704,0.867,4.59676274184878e-16
"Satb2",2.5028037913357e-20,0.269134385276688,0.906,0.724,4.6104148640195e-16
"Nrsn2",2.68726331052739e-20,-0.319035274378203,0.502,0.796,4.95020774432251e-16
"Schip1",2.88022921502738e-20,0.29863224595939,0.844,0.617,5.30567023700193e-16
"Tmem200a",3.15136600285461e-20,0.290645006838044,0.396,0.082,5.80513131385848e-16
"Plxna4",3.41687208238124e-20,0.368615293790792,0.823,0.602,6.29422006295448e-16
"Igfbp3",3.55409597375658e-20,-0.346912391304969,0.227,0.51,6.547000193257e-16
"Tctex1d2",3.57289731505894e-20,-0.269423446112351,0.431,0.719,6.58163414407007e-16
"Dner",3.75557982805383e-20,0.376617424149219,0.674,0.332,6.91815360125796e-16
"Prkca",3.89363297351715e-20,0.346269803635353,0.796,0.577,7.17246130051595e-16
"Gm15631",4.0477327349252e-20,0.306067534239983,0.443,0.122,7.45632847100571e-16
"Rilpl1",4.10131755771298e-20,0.333389100030118,0.616,0.301,7.55503707306308e-16
"Yjefn3",4.97557952738144e-20,-0.307523323471532,0.31,0.607,9.16551504738935e-16
"Adprh",5.16496582907048e-20,-0.278285081569803,0.662,0.837,9.51438355373073e-16
"Echs1",5.83534213483298e-20,-0.290516780572692,0.496,0.745,1.07492837465758e-15
"Rnf128",6.49643752365126e-20,-0.325289097964409,0.233,0.5,1.1967087562318e-15
"Lrfn5",6.857588760285e-20,0.262078095833138,0.956,0.934,1.2632364255321e-15
"Oat",7.12114745265618e-20,-0.274972516771557,0.634,0.796,1.31178657225379e-15
"Hrh1",7.99225942709244e-20,0.281122064667661,0.397,0.087,1.4722541090647e-15
"Dnttip1",8.46771786780355e-20,-0.270898532744459,0.505,0.76,1.55983830842809e-15
"Limch1",8.87921786373308e-20,0.301552762902701,0.433,0.117,1.63564072267827e-15
"Nipa1",8.94524107866989e-20,-0.28203300280513,0.467,0.765,1.64780285910178e-15
"Fibp",1.03883522312475e-19,-0.257692202736336,0.562,0.801,1.9136383645181e-15
"Galnt9",1.04270282837004e-19,-0.270497878631437,0.742,0.944,1.92076288014046e-15
"Fahd2a",1.05774835545856e-19,-0.278136499112837,0.256,0.566,1.94847824559021e-15
"Gadd45a",1.07354020983467e-19,-0.413085764001208,0.28,0.582,1.97756842053644e-15
"St6galnac5",1.0943863726387e-19,0.327480052510062,0.888,0.704,2.01596913703776e-15
"Qpct",1.1101015022905e-19,-0.302123119438613,0.18,0.49,2.04491797736933e-15
"Cdh12",1.16202108689657e-19,0.317417372922164,0.506,0.168,2.14055904417218e-15
"Wdr45",1.19273151708296e-19,-0.277017548682097,0.442,0.73,2.19713072761852e-15
"Ptprm",1.27333697377754e-19,0.250449346535942,0.207,0,2.3456140393956e-15
"Prdm8",1.45274784503598e-19,0.395291592636349,0.305,0.041,2.67610680534077e-15
"Hars",1.47207747345287e-19,-0.256123451451613,0.712,0.872,2.71171391384752e-15
"Cflar",1.54361549974475e-19,0.338729320874092,0.476,0.153,2.84349411207981e-15
"Fdft1",1.5659603627233e-19,-0.266156558326132,0.746,0.903,2.88465558417259e-15
"Gpd1",1.77836747977137e-19,-0.293503052956562,0.528,0.801,3.27593073448684e-15
"Ethe1",1.77929623536554e-19,-0.271035770042595,0.372,0.689,3.27764159516686e-15
"Rbbp7",1.95072817615882e-19,-0.253391457171766,0.83,0.939,3.59343637330215e-15
"Dhrs7b",2.0211795151265e-19,-0.269484760260226,0.298,0.541,3.72321478481452e-15
"Rbfox1",2.355970863519e-19,-0.320205813646208,0.825,0.949,4.33993392768834e-15
"Slc3a2",2.5576429238848e-19,-0.257322246984525,0.732,0.837,4.71143403008819e-15
"Phyh",2.56180982945578e-19,-0.272459309317497,0.575,0.806,4.7191098868405e-15
"Mical2",2.80569907889109e-19,0.258107646043898,0.946,0.867,5.16837827322528e-15
"Ecsit",2.98732485474251e-19,-0.268853716644439,0.474,0.77,5.50295111492117e-15
"Pde4d",3.32245688578179e-19,-0.281793971571525,0.667,0.872,6.12029782929863e-15
"Snx2",3.69760188431364e-19,-0.252434599727047,0.626,0.837,6.81135243109415e-15
"D16Ertd472e",4.53244881239013e-19,0.344200176548548,0.296,0.036,8.34922395730385e-15
"St7",4.79337419004715e-19,-0.271469166049036,0.418,0.648,8.82987459548585e-15
"Ypel2",4.89505597566612e-19,0.281981686195998,0.81,0.566,9.01718261277456e-15
"Gm47033",5.24473696623324e-19,-0.283483310597131,0.105,0.383,9.66132996549826e-15
"1500009L16Rik",6.05389039864159e-19,0.333279339588338,0.611,0.296,1.11518715033377e-14
"Ddit4",6.27419063471652e-19,-0.310269472228393,0.292,0.541,1.15576865682113e-14
"1110012L19Rik",6.55684576158897e-19,-0.262399381609006,0.192,0.485,1.20783655774231e-14
"Plekhb1",6.86969911615816e-19,-0.321652141891291,0.121,0.393,1.2654672741875e-14
"Dguok",8.12200866791044e-19,-0.273122650357193,0.46,0.724,1.49615521671578e-14
"Tubg1",8.59428384787587e-19,-0.256238050046763,0.378,0.638,1.58315302761721e-14
"Abhd16a",8.76495343162019e-19,-0.266886567217791,0.529,0.765,1.61459207163875e-14
"Hspa1a",9.07123456789424e-19,-0.618727660160351,0.47,0.714,1.6710121197518e-14
"Magi3",9.62114828990243e-19,0.296404142624957,0.576,0.235,1.77231172648293e-14
"Acvr1c",1.10272267695521e-18,0.411207866491174,0.437,0.122,2.03132544321919e-14
"Prr13",1.20512568579982e-18,0.274678616237446,0.851,0.679,2.21996202581186e-14
"Myg1",1.22669803032376e-18,-0.273184850722154,0.341,0.597,2.25970044165939e-14
"Mmadhc",1.4989388376127e-18,-0.266535159959418,0.429,0.684,2.76119523276635e-14
"Kptn",1.59399097295217e-18,-0.265310753626386,0.316,0.566,2.9362907712752e-14
"Dpysl5",2.00002002871101e-18,-0.271079565594577,0.442,0.755,3.68423689488856e-14
"Eif3l",2.01425530044017e-18,-0.270673395129472,0.405,0.607,3.71045968894085e-14
"Gpr22",2.18852183732759e-18,0.265952814440228,0.916,0.73,4.03147607654115e-14
"Ftl1-ps1",2.26364255008075e-18,-0.277635035393268,0.518,0.801,4.16985594150374e-14
"Neto2",2.49648674310015e-18,-0.307815807373345,0.411,0.699,4.59877822946478e-14
"Etfb",2.57030264812637e-18,-0.273226184339307,0.372,0.653,4.73475450811358e-14
"Lamc2",2.7148257351464e-18,0.279286314602327,0.332,0.056,5.00098048671319e-14
"Mrpl39",2.7942743431706e-18,-0.269234659646526,0.241,0.536,5.14733276755457e-14
"Dync2li1",2.82596659262997e-18,-0.273325379106885,0.257,0.52,5.20571306028366e-14
"Oxr1",3.00987879134211e-18,0.267876010912325,0.993,0.98,5.54449772153131e-14
"Kcna2",3.54922749856497e-18,0.367387319374001,0.908,0.755,6.53803197510653e-14
"Lrrtm1",3.7289516659709e-18,0.296615124314588,0.608,0.281,6.869101863885e-14
"Aif1",3.73966144038518e-18,-0.259356810524653,0.083,0.316,6.88883033933355e-14
