"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Psmb7",5.82305670459688e-26,-0.477442888309771,0.705,0.969,1.07266527555379e-21
"Ubc",7.39361223129562e-26,-0.565731734053077,0.992,1,1.36197730912697e-21
"Aamp",7.96854446878826e-26,-0.482411724905075,0.803,0.939,1.46788557659549e-21
"Arf5",9.18482500049972e-26,-0.286932557729291,1,0.995,1.69193661334205e-21
"Psma7",1.03893426318917e-25,-0.344692265177799,0.967,1,1.91382080622077e-21
"Pgk1",1.76073317698046e-25,-0.456857631115396,0.967,0.969,3.2434465853157e-21
"C1qtnf4",2.01869832112443e-25,-0.509807792026158,0.918,0.99,3.71864417734332e-21
"Polr1d",2.24028461625852e-25,-0.371228788173969,0.951,1,4.12682829160981e-21
"Gnas",2.36334542963576e-25,-0.363959237648368,1,1,4.35351861593204e-21
"Slc26a4",3.31867186380688e-25,0.457152233302345,0.492,0.02,6.11332544031866e-21
"Arpc2",4.81561756377074e-25,-0.369253453825614,0.984,0.995,8.87084911422208e-21
"Ndufs8",5.30331160481253e-25,-0.45607492441034,0.754,0.944,9.76923030722517e-21
"Tbcb",5.70774607323707e-25,-0.435224974437218,0.82,0.99,1.051423904151e-20
"Ptov1",5.82842814101986e-25,-0.445911028783099,0.893,0.98,1.07365474785727e-20
"Ndufs4",5.94504423135519e-25,-0.385332034358864,0.926,0.985,1.09513659785794e-20
"Arpc5",6.18401066533589e-25,-0.377218161774544,0.967,0.995,1.13915660466152e-20
"Wnt4",6.74925370620063e-25,0.651322839117894,0.697,0.194,1.24328002521922e-20
"Ncald",7.22823244931911e-25,-0.463246337804525,0.992,0.985,1.33151269948907e-20
"Retreg1",7.93777753394612e-25,-0.565376381135444,0.574,0.939,1.46221799952822e-20
"Ina",8.10514112801206e-25,-0.51919809096217,0.984,1,1.4930480471911e-20
"Taldo1",8.13656572180258e-25,-0.621734065288512,0.533,0.908,1.49883677161325e-20
"Rph3a",8.15579164919337e-25,-0.515131853227485,0.672,0.969,1.50237837969791e-20
"Vegfd",8.21169328836279e-25,0.705995587077241,0.607,0.097,1.51267602064931e-20
"Btf3",8.50493203064556e-25,-0.349762752076125,0.926,1,1.56669352936522e-20
"Mgll",8.88203009786737e-25,-0.578859413586587,0.443,0.888,1.63615876432815e-20
"Psmd6",9.77467631255016e-25,-0.67382146806847,0.516,0.898,1.80059312353486e-20
"Cpne6",1.08367202410437e-24,0.605833913064539,0.811,0.332,1.99623223560265e-20
"Naca",1.21983202854094e-24,-0.32253058113484,0.992,1,2.24705257977526e-20
"Tuba1a",1.4587878475e-24,-0.668121574234765,1,0.995,2.68723309387975e-20
"Eif3i",1.88844986242585e-24,-0.452863958268788,0.811,0.969,3.47871349157465e-20
"Btg2",1.90857310690136e-24,-0.890489656820164,0.574,0.918,3.515782520223e-20
"Tmbim4",1.92035914481171e-24,-0.48274676806632,0.566,0.918,3.53749358065764e-20
"Yipf4",2.29708865694833e-24,-0.421475642153932,0.746,0.969,4.23146701496451e-20
"Mrpl21",2.53800222284171e-24,-0.450903147668862,0.598,0.934,4.67525389469672e-20
"Bcl2",2.6754490887222e-24,-0.599694176808897,0.41,0.862,4.92844476633516e-20
"Ociad1",2.72416024867231e-24,-0.419599458841078,0.943,0.995,5.01817559407926e-20
"Egr1",2.78560081342845e-24,-0.482350795257861,0.943,1,5.13135525841655e-20
"Aurkaip1",3.32592660863017e-24,-0.350061632470327,0.91,0.99,6.12668940575764e-20
"Sept4",3.5143667618836e-24,-0.552983971353092,0.254,0.791,6.47381501206577e-20
"Aig1",3.56019727190351e-24,-0.478106307270803,0.721,0.969,6.55823939457346e-20
"Chchd6",3.59878472713186e-24,-0.41739060352002,0.852,0.974,6.6293213458496e-20
"Cops6",3.83486468754368e-24,-0.439558215981602,0.762,0.974,7.06420424092421e-20
"Ly6h",4.26160131932269e-24,-0.30581456997281,1,1,7.85029579032433e-20
"Rtn1",4.72314530472191e-24,-0.297005273317257,1,1,8.70050596582823e-20
"Arhgap25",5.41276954382366e-24,-0.516553331300019,0.09,0.648,9.97086277667756e-20
"Cst3",5.69369676379303e-24,-0.379074626684805,0.918,1,1.04883588085831e-19
"Ndufs7",5.72950702317326e-24,-0.369525216175512,0.943,0.995,1.05543248873875e-19
"Anp32a",5.83155843724195e-24,-0.412478491190719,0.992,1,1.07423137972434e-19
"Prag1",6.90937604071994e-24,0.455519444346261,0.5,0.031,1.27277616046102e-19
"Npdc1",7.79449737704238e-24,-0.3544956683471,0.975,0.99,1.43582436182498e-19
"Ntng1",8.10177180185461e-24,0.815816636665417,0.623,0.092,1.49242738361964e-19
"Pcsk1n",8.35092367074484e-24,-0.289493860473924,1,1,1.53832364938791e-19
"Mef2c",8.68465757432488e-24,0.369862278394542,1,1,1.59980077176639e-19
"Psmc2",9.06816075208784e-24,-0.651020529650921,0.656,0.893,1.6704458921421e-19
"Dap3",9.38280923140942e-24,-0.504868089030165,0.631,0.913,1.72840728851793e-19
"Eif3k",1.00780448392067e-23,-0.3597684276208,0.926,0.995,1.85647663983026e-19
"Tubb2a",1.02897209220161e-23,-0.706950315433425,0.967,0.98,1.89546949104459e-19
"Psma3",1.05932683750797e-23,-0.345336901901688,0.984,1,1.95138596737344e-19
"Ppa1",1.12101522840844e-23,-0.530136173147681,0.803,0.949,2.06502215225118e-19
"Edil3",1.18913529665118e-23,0.597413664766381,0.803,0.347,2.19050612996115e-19
"Satb1",1.23171784908602e-23,-0.486536212884206,0.459,0.934,2.26894744980136e-19
"Ngef",1.26783230801307e-23,-0.500918795090299,0.836,0.985,2.33547389459088e-19
"Slc4a3",1.34086280073313e-23,0.483427963186377,0.91,0.592,2.47000336523049e-19
"Yif1b",1.43248609238918e-23,-0.530640754065889,0.418,0.857,2.63878263079011e-19
"Ramp1",1.50413491405543e-23,-0.443871475190227,0.73,0.974,2.7707669251815e-19
"Stmn3",1.50691993350226e-23,-0.256368977620304,1,1,2.77589720950451e-19
"Gm26917",1.620942068882e-23,0.426958567870014,0.992,0.827,2.98593738508753e-19
"Camk2n1",1.65662425477703e-23,0.42950508867606,1,1,3.05166753972477e-19
"Ptprs",1.8864544856846e-23,0.360597735187658,1,0.98,3.47503780807959e-19
"Psma1",1.90346003466301e-23,-0.42070006223115,0.91,0.99,3.50636372985274e-19
"Ndufv1",2.01578798117692e-23,-0.566636884485785,0.77,0.954,3.713283040126e-19
"Clu",2.25481814111369e-23,-0.556674357888531,0.574,0.913,4.15360049774552e-19
"Ndufa9",2.53812759850225e-23,-0.559462355054304,0.525,0.898,4.675484849201e-19
"Atp5b",2.55868331372891e-23,-0.48790875723303,0.984,1,4.71335053222002e-19
"Jund",2.59146024574452e-23,-0.381625387231454,0.992,1,4.77372891868598e-19
"Atxn10",2.64447730763565e-23,-0.502729519493421,0.861,0.98,4.87139164839563e-19
"Ndufs2",2.71918184489774e-23,-0.470861695779547,0.861,0.949,5.00900487648613e-19
"Fam19a1",2.77068239849005e-23,0.53373284973615,0.557,0.077,5.10387404625852e-19
"Tle3",2.92068172973331e-23,0.465508300918491,0.533,0.046,5.38018781434173e-19
"Pam16",2.93978805795897e-23,-0.329177135067846,0.885,1,5.41538358156621e-19
"Pfdn6",2.97800483320921e-23,-0.351553962527656,0.877,0.98,5.48578270325469e-19
"Mcts1",3.21659202730477e-23,-0.47842380800444,0.697,0.929,5.92528417349811e-19
"Fdps",4.23211111370301e-23,-0.595068031931084,0.779,0.934,7.79597188255232e-19
"Cltb",4.89136755378884e-23,-0.348896774105956,0.951,1,9.01038817083443e-19
"Bcap31",5.17878330903136e-23,-0.48010308154749,0.492,0.903,9.53983673356667e-19
"Uqcrc2",5.25539304972971e-23,-0.591026868329156,0.844,0.949,9.6809595369071e-19
"St3gal5",5.63095477066188e-23,-0.422437760045651,0.902,0.99,1.03727817830363e-18
"Slc24a3",5.90062558914651e-23,0.565777217922012,0.59,0.092,1.08695423977668e-18
"Tm2d2",6.25681918352963e-23,-0.333173444333326,0.852,0.99,1.15256866179799e-18
"Cdh10",6.38517233129091e-23,0.524849147578302,0.787,0.311,1.1762125951471e-18
"Slc1a2",6.42673271388195e-23,-0.471310489203941,0.844,0.99,1.18386843322419e-18
"Rtn4",6.54128234130027e-23,-0.35546161390494,1,1,1.20496962009092e-18
"Fabp5",7.23619596396824e-23,-0.332589607776928,0.967,1,1.33297965852259e-18
"Fkbp2",7.8091648056244e-23,-0.303598441084886,0.975,1,1.43852624884407e-18
"Dctn2",9.68597001327675e-23,-0.418819733361296,0.893,0.98,1.78425253614571e-18
"Trpc5",1.04020380196615e-22,0.391973681039542,0.525,0.051,1.91615942360184e-18
"Camk2n2",1.21782963214809e-22,0.603150523891678,0.82,0.393,2.24336396537999e-18
"Ptma",1.26422914190109e-22,-0.326283522571437,0.992,1,2.328836502296e-18
"Arl6ip1",1.42769083795937e-22,-0.344593830420899,1,1,2.62994929260496e-18
"Smoc2",1.49559070641568e-22,0.542495898321503,0.557,0.066,2.75502764028832e-18
"Gnb5",1.85187858833952e-22,-0.417527221949947,0.803,0.974,3.41134554758023e-18
"Cnbp",1.92028343137575e-22,-0.305391124159288,0.984,1,3.53735410893727e-18
"Nrxn3",2.01976019429756e-22,-0.366217460488087,0.902,1,3.72060025391553e-18
"Ctsl",2.03283984163682e-22,-0.663439345558956,0.451,0.857,3.74469427227918e-18
"Vmp1",2.07059078701677e-22,-0.470840062616472,0.689,0.944,3.81423528876359e-18
"Npy1r",2.15706052630088e-22,0.518373993464803,0.746,0.214,3.97352119549885e-18
"Pmm1",2.27073965319552e-22,-0.337742467868182,0.918,0.995,4.18292951515147e-18
"Gpr22",4.15213446674411e-22,0.459863560494138,0.984,0.73,7.64864690118933e-18
"Galnt14",4.19095868675914e-22,0.570990589472314,0.549,0.071,7.720164996879e-18
"Ppp2ca",4.3627307340642e-22,-0.274196371132216,0.992,1,8.03658628521966e-18
"Psmc5",4.58724736428808e-22,-0.412641617028971,0.91,0.99,8.45016836975508e-18
"Acot13",5.55726514610216e-22,-0.343165556750834,0.869,1,1.02370381256348e-17
"Gm12027",7.13401051482321e-22,0.47510060185617,0.566,0.077,1.31415607693558e-17
"Cntnap4",8.11970402063394e-22,-0.607557720749191,0.451,0.852,1.49573067764098e-17
"Mat2b",8.33596964461044e-22,-0.363113837394076,0.902,0.98,1.53556896823369e-17
"Gabra5",8.51939608887414e-22,-0.448879084056008,0.656,0.934,1.56935795353151e-17
"Limk1",8.68954946095667e-22,-0.536468100171178,0.262,0.765,1.60070190620283e-17
"Manf",8.69694830721063e-22,-0.3940073565996,0.787,0.974,1.60206484767127e-17
"Spcs1",8.93095596246863e-22,-0.398330982446021,0.869,0.99,1.64517139784635e-17
"Egr4",9.31834864790873e-22,-1.10959626529232,0.541,0.847,1.71653300443127e-17
"Ntm",9.47343220228385e-22,0.50693691563161,0.934,0.622,1.74510094598271e-17
"Atp5l",9.51038392515499e-22,-0.273283391548591,0.992,1,1.7519078228528e-17
"Nr2f1",9.89648194133393e-22,0.466329377353741,0.975,0.796,1.82303093841312e-17
"Psmc3",1.04281094227127e-21,-0.494975429516732,0.77,0.954,1.92096203675791e-17
"BC031181",1.18593402118442e-21,-0.32167211159277,0.967,0.995,2.18460906042382e-17
"Fut9",1.26713451336705e-21,-0.391571973809694,0.967,1,2.33418848707344e-17
"Slc25a14",1.28885753535682e-21,-0.444239229360776,0.672,0.939,2.37420446588079e-17
"Bex1",1.34719552515321e-21,-0.349096115536518,0.959,0.995,2.48166887688473e-17
"Arl1",1.40657210795906e-21,-0.339106695266598,0.91,0.995,2.59104648007139e-17
"Tpm3",1.41998381976227e-21,-0.3512429382006,0.984,0.995,2.61575219438408e-17
"Ebp",1.54018568183181e-21,-0.513030766368028,0.131,0.653,2.83717604450238e-17
"Camk1",1.60625103517786e-21,-0.429871797262803,0.77,0.949,2.95887503190113e-17
"Psmd13",1.71430806230312e-21,-0.50351421932464,0.607,0.913,3.15792688156858e-17
"Slc2a13",1.88642390838003e-21,0.48328210235336,0.754,0.362,3.47498148162685e-17
"Ola1",1.9733581477965e-21,-0.403778072000844,0.885,0.985,3.63512304405594e-17
"Cdc37",2.085356093023e-21,-0.393546017870646,0.844,0.985,3.84143445895766e-17
"Nsmce4a",2.1559112104066e-21,-0.499640106596645,0.451,0.857,3.97140404068999e-17
"Ndrg3",2.16724243233421e-21,-0.291823763480949,0.992,1,3.99227728460285e-17
"Ngb",2.44454190646725e-21,0.466157871490968,0.385,0.005,4.50309064590332e-17
"Ctsb",2.47133162912104e-21,-0.35644623147141,1,0.995,4.55243999400386e-17
"Clvs2",2.50679813163097e-21,-0.491215056466856,0.484,0.872,4.6177728382774e-17
"Man1c1",2.59694909738011e-21,0.440164788095175,0.492,0.041,4.78383993228389e-17
"Gpc6",2.68483170130673e-21,0.404407941746662,0.467,0.031,4.94572847697713e-17
"Tpi1",2.86088358568087e-21,-0.261836572740536,0.992,1,5.27003365318272e-17
"Tuba4a",3.14044676778149e-21,-0.389109319378924,0.984,1,5.78501699093028e-17
"Esd",3.26690705825586e-21,-0.386775424030602,0.861,0.98,6.01796949201312e-17
"Calb1",3.85960194413774e-21,0.770316585560601,0.426,0.02,7.10977274129613e-17
"Dnaja2",4.28868381813858e-21,-0.349877951530348,0.959,0.985,7.90018446139308e-17
"Capzb",4.74012960387332e-21,-0.290541046942089,0.959,0.995,8.73179274329505e-17
"Ndufa12",6.10192990909573e-21,-0.301365274686982,0.975,1,1.12403650855452e-16
"Chmp2a",7.02283900654977e-21,-0.363629068610551,0.828,0.985,1.29367717339653e-16
"Snap47",7.56575391095146e-21,-0.400392295861311,0.959,0.995,1.39368752793637e-16
"Cbr1",8.44216450538769e-21,-0.518036550918027,0.533,0.852,1.55513112353747e-16
"Stub1",8.70781261402792e-21,-0.292709331072891,0.959,1,1.60406616163008e-16
"Napa",9.12604750753427e-21,-0.336171446311948,0.926,0.995,1.68110921136289e-16
"Plxna4",9.72485731008444e-21,0.533314352066674,0.918,0.602,1.79141596509066e-16
"Tmem147",1.01285603667231e-20,-0.388816772866534,0.828,0.98,1.86578210515407e-16
"Tmem132a",1.14798140859662e-20,-0.324789476905416,0.934,1,2.11469655277584e-16
"Tmem59l",1.18881634683801e-20,-0.37235979704586,0.926,0.995,2.18991859251029e-16
"Slc16a2",1.20452747753139e-20,0.528532313161901,0.738,0.23,2.21886006636058e-16
"Sulf1",1.27185427904307e-20,-0.49556616227066,0.246,0.781,2.34288276742524e-16
"Prdx4",1.38948499099674e-20,-0.548572450364414,0.197,0.699,2.5595703019151e-16
"Basp1",1.46074972263761e-20,-0.314169577162054,1,1,2.69084706407074e-16
"Hsp90b1",1.49938468556723e-20,-0.38602332835631,0.984,1,2.7620165292834e-16
"Rrp1",1.55978945350477e-20,-0.363870201076095,0.967,1,2.87328815230114e-16
"Npm1",1.59833863748637e-20,-0.351915499686489,0.959,0.985,2.94429960411365e-16
"Fkbp8",1.66693990646208e-20,-0.294376408458031,0.984,1,3.07067000169381e-16
"Ssb",1.70669305732536e-20,-0.400461125375643,0.91,0.985,3.14389928089904e-16
"Nptx1",1.98503849422514e-20,-0.371655375522917,0.992,0.954,3.65663941021214e-16
"Rasl11b",2.1735815115584e-20,-0.528473496494528,0.623,0.872,4.00395450244173e-16
"Cpe",2.24790760679749e-20,-0.319508980759281,1,1,4.14087060248166e-16
"Spr",2.3927739365414e-20,-0.457799291288883,0.5,0.878,4.40772886850291e-16
"Fras1",2.69110651563312e-20,0.520409773626589,0.639,0.133,4.95728731244777e-16
"Ndufb4",2.72577644763731e-20,-0.305551463382255,0.984,1,5.0211527941927e-16
"Gm8797",2.81586676669423e-20,-0.466106322823073,0.369,0.827,5.18710817092745e-16
"Eif6",2.88165047933682e-20,-0.422353886238652,0.582,0.872,5.30828834798636e-16
"Ano3",3.07039721270084e-20,-0.435917265307565,0.525,0.923,5.65597870551621e-16
"Gabra2",3.51744211031923e-20,0.572363835166701,0.91,0.515,6.47948011141906e-16
"Sorcs3",3.68710492972804e-20,0.578880044482879,0.689,0.194,6.79201599105201e-16
"Klf9",3.71879307297552e-20,-0.393361327915641,0.967,1,6.8503887197282e-16
"Sulf2",3.84851546494124e-20,-0.439577012510235,0.352,0.847,7.08935033796826e-16
"Sertad1",4.31534010214893e-20,-0.579573040378692,0.172,0.668,7.94928800216854e-16
"Ppp1ca",4.39540927421528e-20,-0.307341928227467,0.951,1,8.09678342403197e-16
"Elmod1",5.11445088034224e-20,-0.334753003786502,0.959,1,9.42132996667844e-16
"Snca",5.27007101816652e-20,-0.258572589209744,1,1,9.70799782256455e-16
"Myh3",5.51595194477501e-20,-0.502736069148644,0.057,0.531,1.016093507747e-15
"Ndufa8",5.8202995682265e-20,-0.261745222578509,0.975,1,1.072157383463e-15
"Nectin1",5.86018320773408e-20,0.489642439389178,0.451,0.036,1.07950434869669e-15
"Supt4a",6.81301351635881e-20,-0.317783440110517,0.877,0.995,1.25502521984846e-15
"Tubb4b",7.40537783403239e-20,-0.606914798054764,0.918,0.954,1.36414465080711e-15
"Atp1b1",7.99963966025597e-20,-0.283354341773236,1,1,1.47361362181575e-15
"2210016L21Rik",9.16778769594339e-20,-0.282224813777586,0.967,1,1.68879817146973e-15
"Cd47",9.41984705545916e-20,-0.332164619179722,1,1,1.73523002608613e-15
"Fxyd7",9.47040160617939e-20,-0.297121648566041,0.975,1,1.74454267987431e-15
"Hnrnpa2b1",9.51080265323236e-20,-0.304654374997573,1,1,1.75198495675193e-15
"Tmem178b",1.00527623214685e-19,0.473085435264296,0.852,0.413,1.85181934723772e-15
"Rell1",1.09701155582414e-19,-0.527773786995792,0.098,0.597,2.02080498698364e-15
"Snx3",1.10774321323909e-19,-0.253177153077414,0.967,1,2.04057377310772e-15
"Nov",1.12622760129533e-19,0.513408473409648,0.934,0.638,2.07462386434613e-15
"Pdzrn4",1.24894437709909e-19,-0.503345573530806,0.32,0.811,2.30068043705424e-15
"Atp6v0d1",1.3690626785061e-19,-0.297431251994262,0.984,0.995,2.52195036007608e-15
"Pkib",1.40698614789731e-19,0.475681279384167,0.631,0.148,2.59180918304164e-15
"Atp5g3",1.46167435925295e-19,-0.279307953076246,0.975,1,2.69255033717987e-15
"Vps29",1.46982362024116e-19,-0.354036649096664,0.893,0.974,2.70756209084624e-15
"Actb",1.49240662589677e-19,-0.346512645620611,1,1,2.74916224556444e-15
"Cct8",1.53999297380603e-19,-0.494898984294907,0.844,0.944,2.83682105704809e-15
"Gsta4",1.53999360803688e-19,-0.539108569869463,0.27,0.765,2.83682222536473e-15
"Unc50",1.76723251145197e-19,-0.475349755593478,0.434,0.832,3.25541900934568e-15
"Eef1akmt1",1.91983755262121e-19,-0.408611849135553,0.656,0.923,3.53653275568352e-15
"Nhp2",2.01266301281478e-19,-0.342378523390017,0.91,0.995,3.7075265359061e-15
"Sh3gl3",2.0945721156282e-19,-0.46732077321124,0.574,0.898,3.8584112941987e-15
"Cadps2",2.1543250569381e-19,-0.445772955517284,0.27,0.786,3.96848218738567e-15
"Ppib",2.28602190537445e-19,-0.406018964031577,0.82,0.949,4.21108095189028e-15
"Actg1",2.37998624224955e-19,-0.273941557138542,1,1,4.38417265684789e-15
"Slc39a10",2.50089866401778e-19,0.344313870581287,0.975,0.923,4.60690542898716e-15
"Vps28",2.71827518047868e-19,-0.405180369968342,0.779,0.964,5.00733470995978e-15
"Sorbs2",2.77019490973844e-19,0.355349028505661,1,0.964,5.10297604322919e-15
