"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Gng4",1.15259230053831e-07,0.275083789591443,0.523,0.291,0.00212319027682162
"Timp2",1.46376316964798e-07,0.262172453847413,0.858,0.878,0.00269639813480855
"Etv1",1.63922651923205e-07,0.371253179543872,0.442,0.531,0.00301961917107735
"Trib1",1.65753199707621e-07,-0.358951457374195,0.438,0.582,0.00305333969181408
"Neurod1",2.43855344388264e-07,0.263656911159163,0.304,0.112,0.00449205929897622
"Cdc42ep3",2.55097517154442e-07,-0.354341194655603,0.477,0.684,0.00469915136350198
"Wwox",3.73022744432094e-07,-0.323137786205901,0.304,0.454,0.0068714519751836
"Fstl5",1.26988798041959e-06,0.250987129716789,0.488,0.296,0.0233926064873093
"Serpine2",1.70503633142369e-06,0.288852064198495,0.254,0.077,0.0314084742611557
"Gnb4",1.85716462910584e-06,0.269607030485478,0.573,0.469,0.0342108296327588
"Alcam",2.38676328855445e-06,0.282584406887096,0.738,0.719,0.0439665665384615
"Nefm",4.96531179070387e-06,-0.350018628962774,0.531,0.699,0.091466008496556
"Hist1h2ac",6.19151077096532e-06,0.291825452785511,0.615,0.423,0.114053819911952
"Neat1",6.38365250440681e-06,-0.435875921021783,0.108,0.235,0.117593262783678
"S100b",6.54936306391678e-06,0.313990911010831,0.173,0.051,0.120645817000411
"Npy",1.00106974532056e-05,0.624277125669912,0.169,0.051,0.184407057785501
"Klf4",7.05214088464691e-05,-0.256730294156623,0.146,0.306,1
"Gm13889",0.000148895471906312,-0.291633637157219,0.512,0.393,1
"Egr3",0.000193156411546167,-0.261372136679426,0.973,0.98,1
"Nr4a3",0.000376387717339155,-0.282314986510093,0.581,0.73,1
"Grp",0.000673362167587958,-0.264865761184364,0.292,0.306,1
"Ptgs2",0.00282803768769687,0.293816366426089,0.327,0.189,1
"Hspa1b",0.00373049898221694,-0.273978057222829,0.246,0.362,1
"Mest",0.0156078080546817,-0.253169759663478,0.523,0.622,1
