"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ppp1r1b",6.36118379636525e-12,-1.66291547126065,0.228,0.743,1.11168048025279e-07
"Map1b",6.38736195251963e-12,-0.650778187322858,1,1,1.11625537482233e-07
"Nrsn2",6.78191285901589e-12,-1.05823009475024,0.443,1,1.18520709124162e-07
"Ptprs",7.05040264244151e-12,0.762458670279368,1,1,1.23212836579308e-07
"Psma4",7.56580518908025e-12,-1.39577602698422,0.671,0.886,1.32220011484366e-07
"Rwdd2a",1.00686090973752e-11,-1.65969246027484,0.393,0.886,1.75959012585729e-07
"Syt6",1.01732815819935e-11,-1.99612507334161,0.091,0.543,1.77788268926919e-07
"Igfbp4",1.10558880641632e-11,-2.30683461462081,0.05,0.514,1.93212699809316e-07
"Fam126a",1.10898887783641e-11,-1.49953770865687,0.21,0.514,1.93806896290691e-07
"Ndn",1.25848182901616e-11,-1.49406098432164,0.95,1,2.19932284438864e-07
"Kif26a",1.6577280480209e-11,-0.992393808233569,0.009,0.4,2.89704553672133e-07
"Fndc5",2.11824560298586e-11,1.75128051623921,0.712,0.229,3.70184601577809e-07
"Slc39a10",2.28011079329007e-11,1.02023680810727,0.991,0.971,3.98472162235372e-07
"B3galt5",2.43836638755371e-11,-0.963630824999243,0.023,0.457,4.26128909888887e-07
"Foxp2",2.49468647704003e-11,-2.26151890770036,0.137,0.629,4.35971408727516e-07
"Tle4",2.95619795011662e-11,-1.82653029382413,0.269,0.8,5.16625153762381e-07
"Nr2f1",4.61805426840952e-11,1.58563802677375,0.954,0.8,8.07051163947248e-07
"Unc5d",6.18325038950089e-11,1.57016480608097,0.594,0.029,1.08058483806918e-06
"Cyr61",6.54653891985e-11,-3.41988032117332,0.114,0.571,1.14407314163299e-06
"Slc2a13",7.01047147125273e-11,1.52611426078935,0.831,0.571,1.22514999431613e-06
"mt-Nd1",7.25257797156306e-11,0.722387509997581,1,1,1.26746052631036e-06
"Ankrd63",7.34483287543473e-11,-1.20163718979638,0.068,0.571,1.28358299331097e-06
"Slc30a3",7.55402897810444e-11,2.25068217223356,0.662,0.2,1.32014210421353e-06
"Akap7",9.36654189803597e-11,-1.20012746599167,0.493,0.914,1.63689686210077e-06
"Vgll3",9.84325081509833e-11,-0.901864523983241,0.014,0.4,1.72020651244658e-06
"Sept3",1.00532991100494e-10,-0.797432355375689,0.982,1,1.75691455247223e-06
"Retreg1",1.21989983385349e-10,-1.20689377725745,0.575,0.943,2.13189694964236e-06
"Caln1",1.23786354831208e-10,-1.18349950821679,0.9,1,2.16329033703019e-06
"Ssb",1.48060559176456e-10,-0.930170233216075,0.922,1,2.58750633216775e-06
"Arpc5",1.63081517124039e-10,-0.893187124482572,0.909,1,2.85001259325971e-06
