"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ahnak",8.2487566874595e-10,-0.607211291999284,0.041,0.312,1.44155271870042e-05
"Mgll",8.4457202070229e-10,-0.786810771551826,0.594,0.906,1.47597406337932e-05
"Rex1bd",9.2293195410081e-10,0.50273215960992,0.977,1,1.61291588298658e-05
"Dscaml1",9.52699889713821e-10,-0.839158474240439,0.279,0.656,1.66493832726387e-05
"R3hdm1",9.55792884314014e-10,0.682932836477495,0.995,1,1.67034364462717e-05
"Slc38a1",1.01214245962888e-09,-0.537327343633033,0.895,1,1.76882016244742e-05
"Psmd4",1.02153492869019e-09,-0.752428873336733,0.845,0.948,1.78523444137897e-05
"Anp32b",1.04326805283019e-09,-0.632243761609405,0.79,0.979,1.82321524912604e-05
"Mnat1",1.05555558089568e-09,-0.512759230902671,0.333,0.708,1.8446889331733e-05
"Itpka",1.06890382124049e-09,0.791059892979704,0.945,0.885,1.86801631799988e-05
"Gys1",1.0839617502034e-09,-0.489413155709008,0.196,0.542,1.89433155465546e-05
"Tuba4a",1.12784936704292e-09,-0.620874265467364,0.995,1,1.97102955384421e-05
"Arhgef28",1.14682608854868e-09,-0.680236957838219,0.365,0.75,2.00419327234767e-05
"Laptm4a",1.16016663605995e-09,-0.659006992719791,0.886,0.958,2.02750721317836e-05
"Mdga1",1.23027659294456e-09,-0.534601445674136,0.018,0.25,2.15003137382991e-05
"Prkca",1.23411119065986e-09,0.666245586131712,0.831,0.823,2.15673271679717e-05
"Nipal3",1.23848197466835e-09,-0.693326127085524,0.671,0.927,2.1643710989304e-05
"Psmd10",1.24462929157874e-09,-0.590140270770548,0.356,0.74,2.175114149963e-05
"Rgs9",1.26210347827681e-09,-0.736160158055482,0.219,0.594,2.20565203863656e-05
"Tle3",1.28313554051122e-09,0.909416211926376,0.525,0.156,2.24240767059741e-05
"Mcfd2",1.28922313896313e-09,-0.591253812055172,0.84,0.99,2.25304635765197e-05
"Slc1a2",1.32418776066167e-09,-0.661146671253868,0.941,0.969,2.31415053053233e-05
"Pcdh15",1.34331611498578e-09,0.890752385745686,0.813,0.49,2.34757924254916e-05
"Rgma",1.34501501281156e-09,-0.499414247092635,0.005,0.198,2.35054823638948e-05
"Cops6",1.37161500497346e-09,-0.68476105368316,0.831,0.969,2.39703438269162e-05
"Nrgn",1.40991196215575e-09,0.660187122842024,0.986,1,2.46396214506338e-05
"Fstl1",1.43081055839752e-09,-0.905099822751276,0.388,0.698,2.5004845318555e-05
"Tsc22d1",1.45233006186425e-09,0.578635469632232,0.991,1,2.53809201611396e-05
"mt-Nd5",1.49845360797662e-09,0.41821180114126,0.995,1,2.61869752529995e-05
"Adgra1",1.54741099973202e-09,-0.709406893232741,0.726,0.948,2.70425546313168e-05
"Mrpl21",1.60307742249134e-09,-0.739455913593582,0.648,0.896,2.80153810354587e-05
"Oprk1",1.61527156204474e-09,1.48495145023475,0.352,0.052,2.82284858182939e-05
"Dact2",1.67348225081181e-09,0.880227700018998,0.498,0.26,2.92457758151872e-05
"Sstr1",1.72049953509649e-09,-0.548798848246754,0.123,0.448,3.00674498753463e-05
"Rbfox1",1.78158373174343e-09,-0.652948067605194,0.836,0.969,3.11349572959482e-05
"Gm16638",1.83258953824565e-09,-0.39493189235767,0.055,0.312,3.2026334770381e-05
"Gsta4",1.88255985842032e-09,-0.957977628689042,0.251,0.615,3.28996160857535e-05
"Vangl2",1.88537632916352e-09,-0.551107146243477,0.055,0.333,3.29488367284617e-05
"Cnnm1",1.90144604016337e-09,0.701517398804564,0.936,0.833,3.32296709978951e-05
"Drd5",1.93254353308113e-09,-0.537468308496507,0.05,0.323,3.37731307841258e-05
"Tmem59",1.97887902664616e-09,-0.725344952688382,0.941,0.99,3.45828898696683e-05
"Sulf2",2.04919426414626e-09,-0.57374876391917,0.466,0.833,3.58117189602201e-05
"Chrna4",2.09393429717297e-09,-0.664742043255998,0.37,0.75,3.65935957773949e-05
"Eif3l",2.10080584288547e-09,-0.441947506218585,0.365,0.729,3.67136829102665e-05
"Adgrb1",2.2457725490066e-09,0.591133683656913,0.982,0.99,3.92471210664393e-05
"Eif4g2",2.40591898016551e-09,0.436848763674623,0.991,1,4.20458400973725e-05
"Ubc",2.42206888788976e-09,-0.664888305595968,0.991,1,4.23280758847615e-05
"Chrna5",2.44063688327146e-09,-0.45400244704825,0.014,0.229,4.26525701720521e-05
"2900055J20Rik",2.44485538025952e-09,0.978265886432229,0.858,0.698,4.27262926254154e-05
"Gng13",2.48919008867283e-09,0.469127141338528,0.941,0.958,4.35010859896463e-05
"Hs6st2",2.50344704470754e-09,-0.855900895337423,0.703,0.885,4.3750240553309e-05
"Prnp",2.51719109789942e-09,-0.331258295530738,1,1,4.39904316268903e-05
"Gng12",2.61931360481883e-09,-0.69993347998395,0.452,0.812,4.57751245578138e-05
"Tmtc1",2.70517963536246e-09,-0.65893793166328,0.21,0.573,4.72757193075944e-05
"Nsmce4a",2.79177552942783e-09,-0.881123265256462,0.42,0.76,4.87890691522807e-05
"Gnb2",3.04256267669381e-09,-0.700793226705057,0.991,1,5.3171825337901e-05
"Jun",3.06369489769111e-09,-0.625205983925419,0.963,1,5.35411320320499e-05
"Scg3",3.08502892637461e-09,-0.754549541603773,0.566,0.865,5.39139655173226e-05
"Arl6ip1",3.08515836461539e-09,-0.487836013251083,0.995,1,5.39162275800185e-05
"Nrxn3",3.13115647397937e-09,-0.591661030006786,0.968,1,5.47200905392634e-05
"Gucy1a1",3.28840264304846e-09,0.715114909108745,0.735,0.365,5.74681245899149e-05
"Zdhhc23",3.30205606678407e-09,-0.506605056057282,0.251,0.604,5.77067318231183e-05
"Rap1gds1",3.34156300088107e-09,-0.525910031729851,0.977,1,5.83971550033976e-05
"Syt5",3.40003709981007e-09,-0.597544653446694,0.881,1,5.94190483562808e-05
"Kctd4",3.4861205991086e-09,0.898393597402959,0.767,0.49,6.09234435900218e-05
"Emc7",3.55497879502505e-09,-0.567309628815776,0.922,0.99,6.21268094218578e-05
"Mrpl39",3.74231585807255e-09,-0.602633738448988,0.196,0.552,6.54007119356759e-05
"Psmb3",3.84350034327547e-09,-0.813936395032044,0.767,0.833,6.71690119990821e-05
"Gnai1",4.09949499480234e-09,-0.536516457520386,0.977,0.99,7.16427745291656e-05
"S100a6",4.18942629477758e-09,1.27436771426543,0.347,0.052,7.32144139275329e-05
"Fdps",4.2953224972165e-09,-0.853849551778915,0.758,0.844,7.50650559613556e-05
"B3galt5",4.32473817353253e-09,-0.459776807025913,0.023,0.25,7.55791243206545e-05
"Atp6v0d1",4.56800128175347e-09,-0.464883490531935,0.973,1,7.98303903999236e-05
"Usp27x",4.60696928855583e-09,-0.356769722612788,0.178,0.469,8.05113952868017e-05
"Tuba1a",4.7172155423327e-09,-0.964075437504144,0.995,1,8.24380588178062e-05
"Ebp",4.80157815122151e-09,-0.507659053109858,0.233,0.573,8.39123797707471e-05
"Rab6a",4.84585812131004e-09,-0.342600051846078,0.986,1,8.46862165280143e-05
"Gpn3",4.88072562751321e-09,-0.715352980962158,0.201,0.552,8.52955610664209e-05
"Fkbp4",5.21766325063914e-09,-0.697868402097302,0.662,0.917,9.11838829681695e-05
"Tbr1",5.33094168848537e-09,-0.645295443555895,0.913,0.99,9.31635369479702e-05
"Adamts18",5.3484852312995e-09,1.15505079485518,0.42,0.125,9.347012790219e-05
"Tuba1b",5.46487082538725e-09,-0.671094573944349,0.977,1,9.55040825444676e-05
"Ndufb6",5.46897492170425e-09,-0.601392524043074,0.936,0.958,9.55758057317035e-05
"Zfp827",5.50502703681316e-09,0.544136946553496,0.653,0.625,9.62058524953467e-05
"Myo5b",5.54589732741492e-09,-0.725340806221938,0.201,0.552,9.6920101693903e-05
"Ctsz",5.8093014436567e-09,-0.706550833083883,0.215,0.573,0.000101523352029345
"Rasgrf2",5.94266200411922e-09,0.906485605145495,0.735,0.375,0.000103853961183988
"Eif3i",5.98561700704816e-09,-0.716155885861919,0.767,0.906,0.000104604642815174
"Nck2",6.41884543798461e-09,-0.440220897152864,0.425,0.781,0.000112175742874219
"Morf4l1",6.47663228781993e-09,-0.306258773985691,1,1,0.000113185625861941
"Arpc5",6.61433519227344e-09,-0.526982776105866,0.909,1,0.000115592121820171
"Calb1",6.63998661544036e-09,1.13891258464787,0.434,0.104,0.000116040406091436
"Sar1b",7.0331593395309e-09,-0.707043876093443,0.726,0.927,0.000122911492617642
"Hdgfl3",7.04081987843555e-09,-0.474633711662652,0.977,1,0.00012304536819554
"Mef2a",7.13219355500594e-09,-0.492434139227732,0.954,1,0.000124642214567284
"Ndufa10",7.1977720051324e-09,-0.624497897568977,0.945,0.99,0.000125788263561694
"Lrch3",7.23733653841954e-09,-0.254515119210511,0.21,0.49,0.00012647969334542
"B4galt2",7.24367247708054e-09,0.631707996749882,0.781,0.583,0.000126590420209459
"Herc6",7.28332536202945e-09,0.903482496144288,0.594,0.281,0.000127283394026827
"Pgbd5",7.33134296604574e-09,0.565184643747336,0.982,0.906,0.000128122549674615
"Eif6",7.3628605366712e-09,-0.709407721921256,0.575,0.823,0.000128673350738866
"Ist1",7.37691324076942e-09,0.310876784273572,0.562,0.635,0.000128918935795686
"Psmg1",7.46085292833507e-09,-0.525075603407796,0.151,0.469,0.000130385865775584
"Htr1f",7.50113641076974e-09,-0.77584311626462,0.132,0.458,0.000131089859914612
"Aldh2",7.55116808707263e-09,-0.905380672504694,0.247,0.583,0.000131964213489681
"Clu",7.64624231818111e-09,-0.815588392313215,0.621,0.875,0.000133625730752533
"Nek9",7.81450927582343e-09,-0.316192684520751,0.274,0.573,0.00013656636410429
"Blmh",7.82861141920754e-09,-0.709581577756573,0.521,0.833,0.000136812813162071
"Pde9a",8.12634367067504e-09,-0.332248093172147,0.037,0.25,0.000142015981988717
"Pcdh1",8.44415702631685e-09,0.296602747097716,0.685,0.802,0.000147570088191913
"Auts2",8.45707325344854e-09,0.507904203701511,0.95,0.906,0.000147795812177267
"Smarcb1",8.55087175923615e-09,-0.736810143261379,0.452,0.75,0.000149435034864411
"Clvs2",8.87218535867542e-09,-0.718223386306104,0.498,0.812,0.000155050311328212
"Lcorl",8.92111292646235e-09,0.858386264140465,0.689,0.615,0.000155905369502856
"Sfxn5",8.94681434543909e-09,-0.315547408418669,0.311,0.615,0.000156354527500894
"Tbcb",8.99164962045841e-09,-0.61372596291794,0.854,0.979,0.000157138068767131
"Tpr",9.19170827332393e-09,-0.478508066012567,0.854,1,0.000160634293784609
"Arpp21",9.79762417933132e-09,0.519261658097381,1,1,0.000171223280157994
"Ptgr2",9.85871427268778e-09,-0.586658204431023,0.196,0.542,0.000172290890629492
"Hspa1a",1.02495742871791e-08,-1.18491600004168,0.397,0.646,0.000179121560242741
"Gucy1b1",1.1270928285631e-08,0.513019232310377,0.963,0.958,0.000196970742719687
"Banp",1.20241682391035e-08,0.895528162692586,0.621,0.438,0.000210134364146572
"Serf2",1.24723820645942e-08,0.392286479077447,0.982,1,0.000217967348960848
"Col23a1",1.31368896355093e-08,-0.784380274195134,0.205,0.552,0.00022958028327016
"Rnd3",1.33867704733236e-08,-0.348750517846308,0.055,0.281,0.000233947200791804
"Scg5",1.36890760232339e-08,-0.705323158512453,0.982,1,0.000239230292582035
"Cfdp1",1.38242059925911e-08,-0.55523088124528,0.854,0.979,0.000241591823926523
"Cacna1g",1.38357717888041e-08,0.802879385860219,0.708,0.375,0.000241793947781141
"Stmn1",1.40223060900608e-08,-0.620655218842588,0.995,1,0.000245053821229903
"Erich3",1.43111674759311e-08,-0.39194988389897,0.256,0.573,0.000250101962809373
"Ano3",1.44198293266793e-08,-0.73403056186651,0.653,0.896,0.000252000937313047
"Satb1",1.45540719693049e-08,-0.798417356025486,0.635,0.896,0.000254346961735573
"Wnt4",1.45979772435993e-08,0.909544352948922,0.68,0.323,0.000255114250309142
"Msra",1.49241310311791e-08,0.677829955523555,0.731,0.625,0.000260814113900886
"Lrrtm2",1.49467338922411e-08,-0.664985933206435,0.872,0.969,0.000261209121500806
"Zeb2",1.51059825314869e-08,0.517433771260971,0.982,1,0.000263992150720265
"Slc30a3",1.53770916546698e-08,0.904026770402002,0.662,0.302,0.000268730053757009
"Atp5a1",1.58565067684353e-08,-0.581873443357742,1,1,0.000277108312285175
"Ube2ql1",1.58831629004765e-08,-0.45703053121468,0.982,1,0.000277574154848727
"Dnaja1",1.65084602547361e-08,-0.505593552959803,1,1,0.000288501851411769
"Pde1a",1.66219478563444e-08,-0.53428955852474,0.991,1,0.000290485160737474
"Mn1",1.68972814105529e-08,0.738581953854304,0.653,0.302,0.000295296889930822
"Kl",1.72332175815361e-08,-0.380511570741578,0.005,0.177,0.000301167710454925
"Wasf3",1.75970651800851e-08,-0.681147804031814,0.667,0.917,0.000307526311087167
"Ccnt2",1.77335525343961e-08,0.51700168251606,0.954,0.969,0.000309911564091106
"Tubb3",1.78602672584083e-08,-0.62650422197352,0.904,1,0.000312126030607943
"Mpst",1.85356357602672e-08,-0.313674826893001,0.128,0.396,0.00032392877054643
"Ywhah",1.90973231187336e-08,-0.360472074924104,0.991,1,0.000333744818822988
"Tubb5",1.92083675192852e-08,-0.733616780034937,0.986,1,0.000335685430767028
"Fos",1.96988329231881e-08,-0.720801932044704,0.858,0.979,0.000344256804165636
"Gstm5",2.0690061687983e-08,-0.829000140655229,0.699,0.885,0.000361579518059191
"Cdc42",2.10653154693834e-08,-0.439756773188824,0.991,1,0.000368137453142944
"Myt1l",2.11213127179402e-08,-0.415239198192653,0.991,1,0.000369116061058723
"Sh3gl3",2.12865518060107e-08,-0.83086666227466,0.562,0.833,0.000372003779361844
"Nrp1",2.13124344015646e-08,-0.664791748538748,0.329,0.688,0.000372456103601743
"Pgf",2.20525432320248e-08,-0.558540342733525,0.1,0.396,0.000385390245522865
"Spock1",2.22371938614676e-08,-0.517888479409768,0.932,0.979,0.000388617199923007
"Nfib",2.22694338884102e-08,-0.774419718400629,0.941,0.958,0.000389180626633856
"Rbm6",2.24969768855825e-08,0.362214923381488,0.772,0.844,0.000393157168052439
"Stmn2",2.27739987674106e-08,-0.419555690371769,1,1,0.000397998402459268
"Ift57",2.31610045258373e-08,-0.660548290527235,0.562,0.854,0.000404761715093533
"Erich1",2.33799196866728e-08,-0.423779250950197,0.142,0.427,0.000408587476444293
"Aldoa",2.33813914083132e-08,-0.555170120452025,0.995,1,0.000408613196251681
"Camk2g",2.33892095994459e-08,-0.550718351478883,0.895,0.979,0.000408749826959917
"Sstr2",2.39691686090819e-08,-0.732968038397855,0.443,0.781,0.000418885190612316
"Strap",2.41313913310764e-08,-0.55491869913718,0.9,0.958,0.000421720194901891
"Ppp1cc",2.51886940563727e-08,-0.587484523722883,0.717,0.938,0.000440197617329169
"Rps6ka2",2.5869587491477e-08,-0.589632445699717,0.429,0.781,0.000452096911001052
"Fkbp3",2.65001071323969e-08,-0.637757206042292,0.973,1,0.000463115872245768
"Slc12a5",2.72588343199401e-08,0.398064421025097,0.991,0.99,0.000476375388575273
"Rexo2",2.75082289104781e-08,-0.498587742077686,0.913,0.979,0.000480733808439515
"Psmc5",2.95644176119166e-08,-0.568981743922504,0.968,0.99,0.000516667762185855
"Cpne7",2.9622532606968e-08,1.1290016871255,0.571,0.25,0.000517683379839372
"Nckap1",2.99322491030471e-08,0.428458873972152,1,1,0.000523095985324851
"Gna11",3.02036380280676e-08,-0.495429611077142,0.913,1,0.00052783877817851
"Fdft1",3.10455190513777e-08,-0.648029323002879,0.731,0.917,0.000542551490941877
"Larp7",3.22521942214355e-08,-0.60404228966749,0.274,0.625,0.000563639346213807
"Dhrs7",3.31654876356978e-08,-0.739134544172418,0.205,0.531,0.000579600061921455
"St3gal1",3.35036671952909e-08,-0.687798859010471,0.37,0.719,0.000585510087904904
"Cntn4",3.39571571641763e-08,0.876238519677698,0.717,0.396,0.000593435278601146
"Pbx1",3.57754086823997e-08,-0.405956025587567,0.995,1,0.000625211042133617
"Arxes1",3.57951480975087e-08,-0.850623877746572,0.329,0.656,0.000625556008152062
"Lpgat1",3.63305789570009e-08,-0.472751906996538,0.995,1,0.000634913197852547
"Gm26699",3.64830727711598e-08,0.741558758619209,0.621,0.427,0.000637578179748789
"Arhgap21",3.65648558775262e-08,0.596601604230866,0.895,0.885,0.000639007421315649
"Gse1",3.91541659535602e-08,0.54766648770251,0.616,0.583,0.000684258204204418
"Tmem108",4.16690655121471e-08,0.814253051213622,0.772,0.562,0.000728208588890282
"Kptn",4.31094757802337e-08,-0.625924178922921,0.215,0.552,0.000753381198735364
"Cfl1",4.42064621370949e-08,-0.40371241699351,0.991,1,0.000772552132307871
"Cd81",4.50399583111779e-08,-0.651637543770676,0.968,1,0.000787118311446145
"BC030499",4.65350886053929e-08,0.882396874910671,0.648,0.323,0.000813247208467846
"Fndc5",4.67219106160768e-08,0.827423613915284,0.712,0.427,0.000816512109926558
"Nfkbib",4.67253590969929e-08,-0.53879721682777,0.269,0.615,0.000816572375579049
"Vstm2b",4.84764398256776e-08,0.943340283497115,0.68,0.448,0.000847174262393542
"Vkorc1",4.94256316099702e-08,-0.359552143059277,0.16,0.427,0.000863762338015839
"Gm12027",4.98152642000856e-08,0.830725232479347,0.548,0.323,0.000870571557160697
"Stk26",4.98941733753199e-08,-0.481128526321511,0.055,0.302,0.000871950573907091
"Tmem178b",5.03146741353032e-08,0.634973335056422,0.895,0.75,0.00087929924518856
"Ndufa9",5.0968764734287e-08,-0.75736554612431,0.525,0.802,0.0008907301324964
"Eif3k",5.28441523093389e-08,-0.506752729177287,0.918,1,0.000923504405758007
"Tmem151b",5.34963213318329e-08,-0.591062894527309,0.671,0.917,0.000934901711595111
"Acat2",5.79536584194005e-08,0.381907328255071,0.571,0.656,0.00101279813453744
