"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"R3hdm11",2.80473250283286e-12,0.35066191805095,0.995,0.998,4.90295288820212e-08,"DMS","R3hdm1"
"Tnfrsf191",2.99094315525852e-12,0.407256969259842,0.364,0.224,5.22846772970742e-08,"DMS","Tnfrsf19"
"Lrrtm11",3.12248225328249e-12,0.411288118967282,0.604,0.44,5.45841122696311e-08,"DMS","Lrrtm1"
"Sorcs32",3.69957807493205e-12,0.455530445798203,0.616,0.47,6.46723243278871e-08,"DMS","Sorcs3"
"Zdhhc22",4.48959467626712e-12,0.317463970009328,0.912,0.897,7.84826045358255e-08,"DMS","Zdhhc22"
"Plxna1",4.57802711279742e-12,0.343183389329356,0.594,0.504,8.00284919588116e-08,"DMS","Plxna1"
"Lpl",6.76542324091673e-12,0.626357825516295,0.247,0.116,1.18266363674465e-07,"DMS","Lpl"
"Cpne8",6.77540123172707e-12,0.453248271097655,0.453,0.326,1.18440788931821e-07,"DMS","Cpne8"
"Cbx6",7.03536951907487e-12,0.261942499990872,0.99,0.982,1.22985294562948e-07,"DMS","Cbx6"
"Cdkn1c1",7.77166210580764e-12,0.644422525266512,0.281,0.166,1.35856425271623e-07,"DMS","Cdkn1c"
"Trpc51",7.93962675209546e-12,0.373789261412285,0.5,0.326,1.38792615253381e-07,"DMS","Trpc5"
"C230004F18Rik1",7.99518037655561e-12,0.292948947476262,0.97,0.966,1.39763748162569e-07,"DMS","C230004F18Rik"
"Nudt41",8.25699478337177e-12,0.356988430616303,0.887,0.867,1.44340525808122e-07,"DMS","Nudt4"
"2010111I01Rik1",8.48893561281514e-12,0.389666014797128,0.7,0.642,1.48395083447622e-07,"DMS","2010111I01Rik"
