"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Basp1",2.63270581212124e-22,-0.704223609879419,1,1,4.60091667726308e-18
"Rab3b",3.89789992353991e-22,-1.78892498671488,0.324,0.961,6.81196990637834e-18
"Ssb",6.18298224556415e-22,-1.20517088367091,0.922,1,1.08053797723479e-17
"Sdhb",6.45920016241139e-22,-1.35130578901261,0.849,1,1.12880982038301e-17
"Psmd14",8.73985676558314e-22,-1.37439292955423,0.63,0.961,1.52737736835331e-17
"Rala",1.15376526908101e-21,-1.23916639739604,0.79,0.98,2.01632018424597e-17
"Map1b",2.68706984262713e-21,-0.753438133131376,1,1,4.69592325697517e-17
"Grik3",2.8194233063937e-21,-1.39174489741942,0.644,0.98,4.92722417025363e-17
"Camk2d",4.10917493673527e-21,2.01426668328699,0.886,0.392,7.18119411943856e-17
"3110035E14Rik",4.73577014958448e-21,-1.11316920291698,0.982,1,8.27623191341383e-17
"Kcnab1",6.19609930713059e-21,2.17220446655887,0.845,0.235,1.08283031491414e-16
"Lypd1",7.82208392309079e-21,-1.47862276945242,0.178,0.882,1.36698738639935e-16
"Srgap3",8.45690170429913e-21,1.6516281478288,0.922,0.451,1.47792814184332e-16
"Rraga",8.92732999727964e-21,-1.22127183331543,0.868,0.98,1.56014019032459e-16
"Bcl11b",9.9492937595587e-21,-1.62765459202937,0.525,0.961,1.73873857742048e-16
"Dnm3",1.213883676264e-20,-1.29962533128684,0.927,0.98,2.12138311263896e-16
"Syt4",1.41308582714774e-20,1.13530340335313,1,1,2.46950879152339e-16
"Ogfrl1",1.88706023941821e-20,-1.02916813546229,0.991,1,3.29782647440727e-16
"Fbxw7",1.89762720099308e-20,0.951834344914071,0.986,1,3.31629329645551e-16
"Cyth2",1.91567770049788e-20,-1.44010100740675,0.653,0.941,3.34783834939009e-16
"Ckmt1",2.15840191335012e-20,-1.36536602259699,0.776,1,3.77202318377067e-16
"Psmc3",2.30656238918874e-20,-1.18335987171561,0.845,0.98,4.03094843134625e-16
"Rimbp2",3.43709394569583e-20,1.53985923923792,0.954,0.725,6.00666537949804e-16
"Syt17",4.03243722665499e-20,2.27752772746485,0.79,0.118,7.04708729730226e-16
"Rtn4rl1",7.82523337310911e-20,1.86747448500947,0.744,0.059,1.36753778428455e-15
"Tusc3",9.22265535197671e-20,-1.13910341763944,0.945,0.98,1.61175124931145e-15
"Limk1",9.63414654422945e-20,-1.3837747843325,0.256,0.902,1.68366345006954e-15
"Cdh10",1.49207438796063e-19,1.68770232367221,0.89,0.412,2.6075492004e-15
"Cxcl12",2.12409726528777e-19,-1.76550403104868,0.32,0.902,3.7120723808169e-15
"Gm47033",2.25025106757543e-19,-1.17643507250154,0.068,0.686,3.93253876569482e-15
"Zcchc12",2.53443454087575e-19,-1.54424808568398,0.082,0.706,4.42917780363447e-15
"Rapgef5",6.88529439805832e-19,1.60541118423051,0.927,0.549,1.20327404900467e-14
"Slc4a3",6.89105897210001e-19,1.50575808516829,0.922,0.549,1.2042814659642e-14
"Tmsb10",7.2803403757219e-19,-1.44341402699727,0.941,1,1.27231228406116e-14
"Col5a1",8.01294553284849e-19,-1.20441609858811,0.014,0.51,1.4003423613206e-14
"Slc25a3",8.31891553334544e-19,-1.12636988407821,0.986,1,1.45381367860745e-14
"Ccnd2",9.10322662301102e-19,-1.6348746465121,0.347,0.961,1.59087988463741e-14
