"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lmo1",8.30698246915e-77,2.35255253542415,0.893,0.268,1.45172825630865e-72
"Ajap1",1.19620938606326e-76,-2.11057170139024,0.075,0.781,2.09049552308416e-72
"Rtn4rl1",2.13427189766059e-76,-2.0187391587462,0.011,0.676,3.72985356835165e-72
"Psmb1",2.369787950653e-76,1.27214865627554,0.986,0.928,4.14144142256118e-72
"Syt4",1.21731226137759e-75,-1.14939256977594,1,1,2.12737490798348e-71
"Ddah1",3.04694288489629e-75,2.12225559476425,0.854,0.15,5.32483738564475e-71
"Glul",3.3823987659754e-75,1.83117208392361,0.932,0.428,5.91108008341861e-71
"Mdh1",4.14095980234615e-75,1.39304202088891,1,0.997,7.23674135058013e-71
"Slc2a13",7.59651650652165e-75,-1.89760308132151,0.285,0.859,1.32756722467972e-70
"Tmem59",9.7330814203497e-75,1.17442588799778,0.996,0.925,1.70095330902031e-70
"Col12a1",1.90420602668375e-74,2.01255538448275,0.811,0.111,3.32779045223252e-70
"Ccl27a",2.47737373197175e-74,1.22347432859725,1,0.954,4.32945833399384e-70
"Dgkb",1.91893632311492e-73,-2.14243457898505,0.477,0.873,3.35353311827563e-69
"Rapgef5",6.09923578392698e-73,-1.81712481343122,0.431,0.925,1.06590244559908e-68
"Mgst3",4.74747774551698e-72,1.32212208449295,1,0.892,8.29669210806547e-68
"Atp5f1",5.02521391837677e-72,1.1042808468777,0.996,0.993,8.78206384375524e-68
"Nfib",6.99089576833474e-72,1.30114449054502,1,0.869,1.22172894447418e-67
"Ckb",7.25258153361899e-72,1.49134660463856,1,0.993,1.26746114881525e-67
"Ogfrl1",2.31747464676473e-71,1.00443260422026,1,0.984,4.05001869268604e-67
"Clta",5.06041293211381e-71,0.992128061565779,1,0.997,8.84357764016209e-67
"Sebox",1.44195751565541e-70,1.72336122783836,0.669,0.026,2.51996495435939e-66
"Tmem178",1.91923096620343e-70,1.52637341123579,0.979,0.654,3.35404803653712e-66
"Prdx2",7.53142952712545e-70,1.12368362615667,1,0.977,1.31619262416044e-65
"Cyr61",9.48994440454595e-70,2.86036006965398,0.801,0.127,1.65846268413845e-65
"Robo2",3.88024984261431e-69,-1.9300140630279,0.356,0.876,6.78112462495277e-65
"Cxcl12",6.21491455650118e-69,2.05426299894076,0.9,0.284,1.08611846789415e-64
"Anp32a",7.82163645860852e-69,1.03659136238987,0.996,0.98,1.36690918750642e-64
"Sdhb",9.75647714655195e-69,1.25358019316703,0.993,0.905,1.70504194613142e-64
"Fbxw7",1.36720118549053e-68,-1.05830253467587,0.989,1,2.38932079176325e-64
"Cuedc2",2.47156664145568e-68,1.36375226368536,0.989,0.827,4.31930986260794e-64
"Unc5c",2.74921040609126e-68,-1.78452805857022,0.085,0.739,4.80452010568509e-64
"Psma6",3.13347348343514e-68,1.43830940246568,0.979,0.712,5.47605825965124e-64
"Vdac3",3.41713996836032e-68,1.0978669560259,0.996,0.967,5.9717938087065e-64
"Tecr",3.43676890621302e-68,1.42508659779226,0.993,0.98,6.00609734049788e-64
"Ttc9b",3.59282891181526e-68,1.13493018667423,1,0.997,6.27882780628834e-64
"Itm2b",4.29555852955005e-68,1.31161091388268,1,0.997,7.50691808624167e-64
"3110035E14Rik",4.55017202238536e-68,1.05659932735705,1,0.977,7.95188062632066e-64
"Psmb3",7.27238767705692e-68,1.5272624905903,0.968,0.719,1.27092247044247e-63
"Pcdh15",1.01500681024429e-67,-1.95883354403145,0.214,0.817,1.77382590158292e-63
"Gm26917",1.09711049533729e-67,-1.59776833382548,0.819,0.997,1.91731030165145e-63
"Arpc3",1.34242754955179e-67,1.2190407614457,1,0.974,2.3460263855967e-63
"Mgat5",1.54964523771743e-67,-1.90465276914109,0.302,0.866,2.70816001743498e-63
"Lingo1",5.43934860101907e-67,-1.15410774341449,0.972,1,9.50580561514093e-63
"Rtn4r",6.78762771989587e-67,-1.64477300864161,0.302,0.892,1.186205820329e-62
"Gnb2",1.19061030696718e-66,1.11553813182,0.996,0.98,2.08071057245585e-62
"Atp5c1",1.47794243259125e-66,1.07078999969766,1,0.987,2.58285219519646e-62
"Park7",2.25092967435105e-66,1.06689138602648,0.996,0.971,3.93372469889589e-62
"Cdh10",3.10627959643926e-66,-1.86170178770184,0.242,0.837,5.42853422273726e-62
"Emc4",3.32457294543648e-66,1.32590475331113,0.964,0.755,5.81002367944479e-62
"Wnt4",7.0864005276356e-66,-1.94603387362691,0.135,0.761,1.2384193562096e-61
"Scg5",7.78693467829166e-66,1.05853021455345,1,0.993,1.36084470437825e-61
"Slc4a3",1.30602398396837e-65,-1.47948102487972,0.555,0.915,2.28240751438313e-61
"Gapdh",3.31393211089936e-65,1.66703644515715,1,0.993,5.79142775700772e-61
"Fam19a1",3.48144657944999e-65,-2.16809363884142,0.011,0.608,6.08417604224681e-61
"Stmn1",4.94662940846804e-64,0.926240202641561,1,0.997,8.64472955423875e-60
"Stk32c",1.06949462189586e-63,1.14767832851335,1,0.935,1.86904880122521e-59
"6430548M08Rik",1.60790077586682e-63,-1.59265613821962,0.644,0.889,2.80996739590485e-59
"Slc25a5",6.94825094313543e-63,1.41250002889043,0.986,0.814,1.21427633482235e-58
"Lrrtm2",9.63583544621461e-63,1.14463543367278,0.989,0.866,1.68395860258046e-58
"Rraga",1.97685532013185e-62,1.17365812123741,0.996,0.886,3.45475235746242e-58
"Kcnb2",3.04436942406291e-62,-1.83328846930449,0.338,0.82,5.32034000549234e-58
"Nos1ap",7.85466686761687e-62,1.23399864441028,1,0.941,1.37268158178472e-57
"Psmb2",1.77949260931722e-61,1.3646332772015,0.957,0.693,3.10984128404278e-57
"Gsg1l",1.9676704979636e-61,1.6241269290714,0.868,0.271,3.43870096224119e-57
"Vstm2l",3.21967695241843e-61,-2.31674715284358,0.11,0.703,5.62670744204645e-57
"Epha4",6.55782535310581e-61,-1.58771890398503,0.872,0.98,1.14604555870877e-56
"Slc24a3",1.17865478591324e-60,-2.18785761432801,0.093,0.68,2.05981710386198e-56
"Tusc3",1.25135590256626e-60,1.13134335327252,1,0.974,2.1868695753248e-56
"Trp53i11",3.32196034866022e-60,-2.13646768843517,0.071,0.68,5.8054579053186e-56
"Rab3b",6.45193237216818e-60,1.72722682510782,0.904,0.317,1.12753970136011e-55
"Nr2f1",8.46738185698375e-60,-1.43616611416744,0.815,0.967,1.47975965332648e-55
"Adora1",1.95795076535608e-59,1.22408429815452,0.989,0.846,3.42171475753628e-55
"Psma5",4.92518894618761e-59,1.25631083871485,0.979,0.797,8.60726020235746e-55
"Pcp4",7.09719038122043e-59,1.29382944707931,1,0.824,1.24030499102208e-54
"Ppia",8.90153006736523e-59,0.903911222246374,1,1,1.55563139457275e-54
"Cnih3",1.1882379706567e-58,-1.30362108254995,0.815,0.938,2.07656467751965e-54
"Psmd14",1.27214762837794e-58,1.29909078617191,0.94,0.663,2.22320519535328e-54
"Fhl1",1.37451463882967e-58,-1.64511303927016,0.142,0.735,2.40210178281872e-54
"Gde1",1.77762824671655e-58,0.914246299148049,0.996,0.997,3.10658312396183e-54
"R3hdm1",2.53626728228692e-58,-1.35834911713966,0.993,1,4.43238070252463e-54
"Tmem178b",2.88880092822e-58,-1.60439716839272,0.459,0.886,5.04846850215728e-54
"Slc25a3",4.88243090231728e-58,1.03664373200716,1,0.993,8.53253624488967e-54
"Bok",1.23950276159726e-57,-1.89023250759892,0.342,0.853,2.16615502616738e-53
"Psmb4",1.96008770358087e-57,1.11293683400439,0.989,0.895,3.42544927077793e-53
"Fndc5",2.02461461901333e-57,-1.76446281278594,0.189,0.752,3.53821650818769e-53
