"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Suclg1",2.43044837503241e-06,0.353979710808464,0.982,0.875,0.0424745158020663
"Pja2",2.7779504141649e-06,-0.273575637252727,1,1,0.0485474614379459
"H1fx",2.83569969092562e-06,0.403262424984453,0.936,0.865,0.0495566877986161
"Ldhb",2.85805845376654e-06,0.380724988427227,0.993,0.958,0.049947429538024
"Atp1b2",2.91820145405124e-06,-1.04665153380918,0.342,0.531,0.0509984886109995
"Ids",2.93541032708513e-06,-0.331967820898845,1,1,0.0512992308761398
"Lrrc4c",2.96758036983004e-06,-0.522463935801608,0.893,0.938,0.0518614345431498
"Chd5",2.99353898746582e-06,-0.406931092959945,0.989,0.969,0.0523150873449527
"Sphkap",3.00515027609871e-06,-0.60128786402399,0.893,0.958,0.052518006225101
"Cntn3",3.06557616510327e-06,-0.417974391178568,0.039,0.219,0.0535740090613448
"Mn1",3.12908759295847e-06,-0.648054438954814,0.085,0.302,0.0546839347745423
"Gde1",3.1435418187857e-06,0.315022576339432,0.996,0.979,0.0549365368250988
"Efhd2",3.16849157511787e-06,0.251299820784563,1,1,0.05537255876676
"Adamts18",3.39830177230406e-06,-0.331355346044905,0.007,0.125,0.0593887217727857
"Plekha6",3.45582027674958e-06,-0.582004460990054,0.555,0.792,0.0603939151564756
"Slitrk3",3.51012015496535e-06,-0.587106807844371,0.263,0.531,0.0613428598281744
"Dhcr24",3.60013530825651e-06,-0.454826690378935,0.673,0.906,0.0629159646470908
"Magi3",3.70288761384663e-06,-0.626467158146815,0.203,0.396,0.0647116639395836
"Bsn",3.7299728316895e-06,-0.451432184481003,0.986,1,0.0651850052066057
"Esd",3.74962340118764e-06,0.393727575103819,0.972,0.906,0.0655284185591553
"Akap5",3.76805245344904e-06,-0.357839803523909,0.733,0.948,0.0658504846764754
"Sdhb",3.89602791721367e-06,0.35222489469186,0.993,0.958,0.0680869838812261
"Galnt14",4.01311111701242e-06,-0.54524137485009,0.039,0.208,0.0701331298809091
"Deptor",4.16621250326883e-06,-1.22453768396696,0.509,0.667,0.0728087297071262
"Cyp46a1",4.17820909314989e-06,-0.552409706047626,0.758,0.917,0.0730183821118875
"Nr2f1",4.20288900088985e-06,-0.796569245361528,0.815,0.927,0.0734496881795509
"Olfm1",4.29064654133937e-06,-0.346501796278191,1,1,0.0749833389564468
"Ndufb11",4.37846166329347e-06,0.293133296767519,1,0.969,0.0765179960277168
"Cst3",4.39866334837134e-06,0.308120417698116,0.996,0.948,0.0768710406761375
"Gucy1a1",4.48221066877793e-06,-0.951012386365716,0.192,0.365,0.0783311136475632
"Celf1",4.80733001961223e-06,-0.354438929971979,1,1,0.0840128994227433
"Tmem200a",4.84339506866487e-06,-0.454122640637448,0.028,0.188,0.0846431722199872
"Thrb",4.88021559307824e-06,-0.731992372796111,0.715,0.833,0.0852866477046354
"Spats2l",4.92143902824492e-06,-0.518714861033566,0.075,0.281,0.0860070684576083
"Tti1",5.05418471150214e-06,-0.382808015837738,0.146,0.385,0.0883269320182114
"Snrpd2",5.1387830939511e-06,0.307897895537612,1,0.958,0.0898053733498895
"1110004F10Rik",5.33840036181395e-06,0.284082411164285,1,0.99,0.0932938847230606
"Foxp1",5.47839418256795e-06,-0.652652062426348,0.972,1,0.0957404167345575
"Camk2n2",5.56375550852025e-06,-0.884122486010136,0.37,0.615,0.0972321912668999
"Cdh10",5.57639871842616e-06,-0.707562810563717,0.242,0.458,0.0974531440032155
"Sprn",5.62287813746303e-06,-0.445412797587672,0.922,0.99,0.0982654183303039
"Rheb",5.72750385185181e-06,0.281471948363222,1,0.99,0.100093857314962
"Fbxl16",6.42731090467457e-06,-0.439227604361732,0.972,1,0.112323685370093
"Txnl1",6.44779109562803e-06,0.359452058544473,0.989,0.969,0.112681597187195
"Atp6v1a",6.62661720566734e-06,-0.272610222549547,1,1,0.115806762286243
"Larp1",6.68563670554674e-06,-0.431858008069566,0.875,0.927,0.116838187066135
"Slc12a5",7.36217377184379e-06,-0.519629412159128,0.982,0.99,0.128661348836742
"Ndufb8",7.5436128312828e-06,0.275547566757523,1,1,0.131832177839498
"Psma2",7.66756322542617e-06,0.355738008678538,0.989,0.99,0.133998334927548
"Calm3",8.0744746850641e-06,-0.291858851082178,1,1,0.14110951959618
"Bok",8.2069170411124e-06,-0.835316742095334,0.342,0.542,0.14342408221048
"Map2k6",8.22521934423346e-06,-0.406514354493338,0.164,0.406,0.143743933259824
"Nmnat2",8.37423967357004e-06,-0.385070392498466,0.915,1,0.14634821253531
"Tspyl4",8.50835779779295e-06,-0.352959367297757,1,1,0.14869206087423
"Prkca",8.74207083471055e-06,-0.483943887942154,0.559,0.823,0.152776429907402
"Ndn",8.82300792094269e-06,0.268830333600109,1,0.99,0.154190886426394
"Nrcam",8.95292554563399e-06,-0.343011776720404,0.993,1,0.1564613268355
"Plxnd1",9.14438545446146e-06,-0.467625627433108,0.011,0.135,0.159807280202169
"Man1a",9.33481417867809e-06,-0.759830196390161,0.114,0.323,0.163135212586578
"D030056L22Rik",9.61551033296151e-06,0.34500140829047,0.9,0.917,0.168040658578835
"Syt11",9.64175349112014e-06,-0.261790613458048,1,1,0.168499284010816
"Lpin2",9.88046241897665e-06,-0.449728515628525,0.673,0.896,0.172670961234036
"St8sia2",9.9105306499443e-06,-0.264604678136636,0.011,0.135,0.173196433638427
"Plcl1",1.02248944838226e-05,-0.378663919564622,0.014,0.146,0.178690255999284
"Bsg",1.03542899996166e-05,0.326746154533379,1,1,0.180951572033299
"Lrrc73",1.0535285490207e-05,0.392900002586812,0.826,0.812,0.184114649226857
"Tecpr2",1.06617977678356e-05,-0.488249842696377,0.641,0.854,0.186325577790694
"AC160336.1",1.06805143509735e-05,-0.495115965899847,0.463,0.74,0.186652668797612
"Cds2",1.10330552411984e-05,-0.442632973532843,0.964,0.99,0.192813673395182
"Dner",1.12619988582023e-05,-0.868493440587679,0.26,0.448,0.196814692045943
"Vapa",1.14339204341905e-05,0.299490703733294,0.996,1,0.199819193507913
"Ap2b1",1.15536090436766e-05,-0.391087197083807,0.968,1,0.201910871647293
"Dapk3",1.18140639709089e-05,0.566667275462557,0.769,0.583,0.206462581955603
"Cpne6",1.18695202402941e-05,-0.664470515253893,0.352,0.594,0.20743173571938
"Dkkl1",1.24643998108045e-05,-0.770976268653465,0.125,0.344,0.217827851093619
"Gm42418",1.27323025559659e-05,-0.258348736402833,1,1,0.222509719468061
"Edil3",1.2803553715389e-05,-0.901002655301299,0.324,0.469,0.223754904730138
"Ankrd12",1.30944299876834e-05,-0.351380091493923,0.979,1,0.228838258464755
"Epha4",1.38662882108476e-05,-0.878716925917244,0.872,0.969,0.242327252772772
"C1qtnf4",1.39107581393414e-05,0.479467073479205,0.972,0.958,0.24310440924313
"Bex1",1.39949151010197e-05,0.265995694293236,0.996,0.979,0.244575136305421
"Tpr",1.40323682805316e-05,-0.320630778966557,0.907,1,0.245229668070571
"Cd81",1.42301413277124e-05,0.327652802781317,0.996,1,0.248685949843102
"Galnt7",1.42856130618428e-05,-0.446110949512626,0.053,0.229,0.249655373868764
"Ccar2",1.43976853883932e-05,-0.406844153135187,0.456,0.729,0.251613949847559
"Ppm1k",1.44683798608089e-05,-0.40689005498579,0.957,0.979,0.252849406447496
"Pcdh9",1.47896427459563e-05,0.305847220742091,0.993,0.979,0.258463796628332
"Zbtb7a",1.48507783920177e-05,-0.430586038274262,0.957,0.99,0.259532203178902
"Cfdp1",1.48693145877265e-05,0.330996225003968,1,0.979,0.259856141735108
"Chmp5",1.49329360736842e-05,0.396837364758664,0.975,0.906,0.260967990823704
