"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ifi27",6.35112429419972e-12,-2.17453465905089,0.217,0.857,1.10992248165434e-07
"3110035E14Rik",8.95779935469543e-12,-1.50321396765393,0.917,1,1.56546501522657e-07
"Fez1",9.80662265822729e-12,-1.41330087017032,0.85,1,1.7138053757518e-07
"Rwdd2a",1.03533376172464e-11,-1.80514409196902,0.433,0.857,1.80934928198999e-07
"Psma4",1.05259493865171e-11,-1.73001822897011,0.7,0.886,1.83951491478773e-07
"Mef2c",1.08119701648633e-11,1.02373832571217,1,1,1.88949990601152e-07
"Sparcl1",1.1858014783202e-11,-1.26028426453071,0.967,1,2.07230666351238e-07
"Rnf152",1.23022756393344e-11,-1.9011342847843,0.033,0.686,2.14994569073007e-07
"Gde1",1.56550749006495e-11,-1.23249058655382,0.983,1,2.7358808896375e-07
"Masp1",1.70910039295436e-11,-1.12329513263224,0,0.543,2.98682384672704e-07
"Cxcl12",2.05425947587677e-11,-1.68908685399276,0.283,0.943,3.59002386004224e-07
"Nos1ap",2.4841036696482e-11,-1.43735578669712,0.883,1,4.34121957307719e-07
"Cpne5",2.75527861068064e-11,1.98525218085667,0.833,0.2,4.81512490002549e-07
"Ptprk",3.51306721444601e-11,1.94854905258541,0.85,0.2,6.13943626396585e-07
"Ogfrl1",4.2833253615221e-11,-1.11521744036487,0.95,1,7.48553940179602e-07
"Gpr22",4.62977003805663e-11,1.50448477034925,0.967,0.8,8.09098611850777e-07
"Unc5c",4.66548787226734e-11,1.80062158456608,0.817,0.171,8.15340660557441e-07
"Srgap3",4.67794373614508e-11,1.67222533664049,0.9,0.543,8.17517447328714e-07
"Calm1",5.14151134888012e-11,-0.999868258518209,1,1,8.98530523330289e-07
"Tle3",6.20208244491176e-11,1.69689135609716,0.683,0.029,1.08387592807278e-06
"Rtn1",6.47559297342116e-11,-0.648938778949321,1,1,1.13167462803508e-06
"Rph3a",6.5025577233327e-11,-1.74381122869171,0.683,1,1.13638698772962e-06
"Nrp1",6.9157414878817e-11,-1.51941298123206,0.167,0.857,1.20859498242221e-06
"Fos",7.03840025284598e-11,-1.95673888916016,0.733,1,1.23003082818736e-06
"Lrrtm2",9.65510589122911e-11,-1.26057979825834,0.783,1,1.6873263055512e-06
"Ajap1",9.81981195455401e-11,2.02103772338105,0.817,0.143,1.71611033717786e-06
"Limk1",1.0499757896779e-10,-1.51839979854431,0.183,0.857,1.8349376900411e-06
"Unc5d",1.45832842584001e-10,1.82152678720776,0.667,0.029,2.548574756998e-06
"Uchl1",2.60816585736034e-10,-1.16629532676383,0.983,1,4.55803065232294e-06
"Nfia",2.61405236804409e-10,-1.81508800236461,0.517,0.943,4.56831791839386e-06
"Gnas",2.78187513640204e-10,-0.824773277821548,1,1,4.8616049883762e-06
"Lrrc55",3.11846941673524e-10,-1.04470445124328,0.083,0.714,5.4498371526865e-06
"Kcnk2",4.04755655828036e-10,-1.78127324801336,0.1,0.743,7.07350984125076e-06
"Rell1",4.36040660703547e-10,-1.45507396392305,0.05,0.657,7.6202465864552e-06
"6430548M08Rik",4.46303571143105e-10,1.47216774882925,0.917,0.743,7.7996012092969e-06
"Arl4d",4.90487913508004e-10,-2.60959811530117,0.183,0.829,8.57176677646588e-06
"Tmem59",5.21005562068379e-10,-1.16250510599583,0.9,1,9.10509320270699e-06
"Ubb",5.77173306194908e-10,-1.52081393366562,1,1,1.00866806990622e-05
"Slc25a3",5.97158399016381e-10,-1.23989107247626,0.983,1,1.04359401812103e-05
"Cuedc2",7.771307535832e-10,-1.33657597704193,0.783,0.943,1.358113704962e-05
"Bcl11b",8.89417044234603e-10,-1.42997702418593,0.7,0.971,1.55434522650439e-05
"Mdh1",9.41041169620773e-10,-1.21698652152145,1,1,1.64456354802926e-05
"Garnl3",9.89055184463863e-10,-1.65618572559075,0.417,0.943,1.72847284036905e-05
