"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zfp57",0.0358365745961817,0.317096595273132,0.182,0.098,1
"Csnk1g1",0.0358458885291276,0.310681892341419,0.786,0.784,1
"Pcdh11x",0.0364766261209936,0.426697334143942,0.279,0.235,1
"Tcerg1l",0.0366874636506567,0.252505545910843,0.103,0.02,1
"Efcab1",0.0369974672149232,0.36325296986567,0.194,0.098,1
"9930104L06Rik",0.0370721196225789,-0.304599594284246,0.263,0.431,1
"Trim65",0.0371491689088656,0.268594637831358,0.189,0.137,1
"Gabpb1",0.037259459057496,0.30773124345074,0.306,0.235,1
"Slc25a39",0.037274569811433,0.291389559342909,0.515,0.451,1
"Lin7b",0.0374164454504577,0.286645855256024,0.897,0.941,1
"Col5a2",0.0375536700721761,0.45161875853025,0.116,0.02,1
"Nop56",0.0376087727695431,-0.280172739168185,0.806,0.863,1
"2210406O10Rik",0.0377242073389365,0.304642416552029,0.158,0.059,1
"Cdyl",0.0382260787720032,0.292135595841547,0.227,0.157,1
"Azin1",0.0386572924855407,0.260873088195811,0.936,0.961,1
"C730002L08Rik",0.0386622741061101,0.398489098974462,0.332,0.216,1
"Parg",0.0390929231068783,0.277993735023983,0.535,0.51,1
"Cep41",0.0392517996578183,0.280563101389858,0.192,0.118,1
"Hkdc1",0.0398506872595103,0.340245986291121,0.158,0.059,1
"Nr1d2",0.0401811777617551,0.317356599212322,0.805,0.765,1
"Syt3",0.0403757653449044,-0.349669418027804,0.424,0.608,1
"Cpne8",0.0406429049579129,0.519423772646188,0.453,0.333,1
"C1qtnf12",0.040773075540721,0.295028596618327,0.298,0.255,1
"C2cd2l",0.0407937672008441,0.295904512638863,0.87,0.882,1
"Il18bp",0.0412348599035321,0.275117110144226,0.118,0.078,1
"Hps3",0.0414707792783593,0.267997341364946,0.313,0.255,1
"Pcdhb22",0.0419947129204419,0.42049972753742,0.165,0.078,1
"Msi2",0.0424488017422534,0.280219487301598,0.714,0.725,1
"Zfp354a",0.0424510401050881,0.262715236318794,0.185,0.118,1
"Nptx2",0.0426164747685882,0.831310172174357,0.32,0.255,1
"Itga4",0.0431173098969378,0.373536735110717,0.148,0.078,1
"Rbbp6",0.0434176134220619,0.259695707563098,0.948,0.961,1
"Metrnl",0.0436126989632373,0.259656675045603,0.214,0.176,1
"Hivep3",0.0436828881545114,0.272235323105521,0.931,0.98,1
"Ephb3",0.0440745343744351,0.272945987435412,0.101,0.02,1
"A930033H14Rik",0.0441116348653286,0.259646433544868,0.118,0.039,1
"Tmem232",0.0442318169838667,0.271010441966268,0.133,0.059,1
"Efcab12",0.0444056442581323,0.292758249337637,0.141,0.059,1
"Phf2",0.0446574936453404,0.273052342830072,0.412,0.333,1
"Dnal1",0.0448026620298574,-0.25282554741029,0.754,0.882,1
"Taf4",0.0450700451790441,0.297310805577797,0.205,0.137,1
"C2cd5",0.046169076017803,0.344707712830514,0.827,0.804,1
"Amph",0.0462998714227466,0.279887211435469,0.981,1,1
"Evi5",0.0468170957031846,0.263290232080775,0.783,0.804,1
"Rabgap1l",0.0470119266044796,0.270922706273026,0.987,1,1
"D830025C05Rik",0.0480466608448164,0.329165133397174,0.239,0.137,1
"Stxbp1",0.0480675567445924,0.276484228270839,1,1,1
"Erc2",0.0486583278072264,0.337635192719929,0.953,0.941,1
"Gm4673",0.0487957950061317,0.311142746119033,0.148,0.059,1
"Adra1b",0.0500972440468208,0.436337573625073,0.369,0.275,1
"Cela1",0.0506175397521393,0.296193214275529,0.104,0.02,1
"Dnmbp",0.0512745843432226,0.281372321798368,0.13,0.039,1
"Nap1l3",0.0516939222075352,0.26626959548926,0.795,0.784,1
"Ccnb1",0.0521026753790022,0.336315606279961,0.172,0.216,1
"Clec18a",0.0522033556428598,0.358475971995538,0.135,0.039,1
"Ccdc32",0.0522251272263768,-0.285199542001314,0.857,0.941,1
"Klf4",0.0524354720457399,-0.659820831904365,0.126,0.255,1
"Cir1",0.0528571961532733,-0.280995061795179,0.783,0.902,1
"G3bp1",0.0530999992068338,-0.303901531982137,0.756,0.863,1
"Rhobtb1",0.0543522211159311,0.280007668975212,0.141,0.078,1
