"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Slc35g2",3.05956339202788e-08,-0.813312527190842,0.017,0.457,0.000534689298390793
"Ptprt",3.11969773822216e-08,1.18358109435671,0.983,0.571,0.000545198376731704
"Ppp1r1b",3.15444251133959e-08,-1.75602649091169,0.183,0.743,0.000551270373281706
"mt-Atp6",3.15919283580253e-08,0.725550161565067,1,1,0.000552100539984851
"Sh3bgrl3",3.5053447204348e-08,1.10769229595037,0.983,1,0.000612594043343186
"Sulf2",3.55218468220779e-08,-1.4632069435979,0.317,0.886,0.000620779795062633
"Ckmt1",3.8837894918497e-08,-1.25989385793689,0.717,0.971,0.000678731051595654
"Bcl2",5.12268071215328e-08,-1.42398025548773,0.383,0.886,0.000895239681255907
"Pcdh7",5.79452899954494e-08,-0.899349561791695,0.517,1,0.00101265188796047
"Arpc1a",5.97854332208997e-08,-0.965421856461053,0.95,1,0.00104481023096844
"Nrsn2",6.45262644990545e-08,-0.874514523028348,0.517,1,0.00112766099838548
"Hsp90ab1",6.69420408517632e-08,-1.18185224741974,1,1,0.00116987910592541
"Chrm3",7.17161699914305e-08,-0.887690358145234,0.25,0.829,0.00125331178677024
"Cdh10",7.38421706481812e-08,1.55365115050974,0.817,0.4,0.00129046577424761
"Wipf3",7.69454772809094e-08,0.959802619344425,0.833,0.857,0.00134469916096117
"Sema5a",7.94936090586659e-08,-2.45743733401237,0.033,0.486,0.00138923031190925
"Foxp2",8.49389129379129e-08,-2.45370222272725,0.15,0.629,0.00148439244250297
"Sgpp2",1.02849284152473e-07,-0.767231331349784,0,0.371,0.00179739408984862
"mt-Co1",1.17924560885989e-07,0.55721217189233,1,1,0.00206084962604354
"2900055J20Rik",1.29015777704727e-07,1.58913670068488,0.9,0.6,0.00225467973116782
"Rtn1",1.36593745920516e-07,-0.56299266977149,1,1,0.00238711230370693
"Mgat5",1.43668609741049e-07,1.56856745049179,0.883,0.514,0.00251075262383457
"Sema5b",1.45709321041304e-07,-1.46330492705151,0.017,0.457,0.00254641609451782
"Olfm1",1.49376254813143e-07,0.798781950365926,1,1,0.00261049942911449
"Usp29",1.53322656659183e-07,-1.03014203181332,0.383,0.914,0.00267946674777588
"Ablim2",1.63531840296952e-07,1.31451483089303,0.933,0.686,0.00285788244102954
"Zeb2",1.67470861180758e-07,0.880016435584922,1,0.971,0.00292672076999493
"Map1b",1.70417007802945e-07,-0.65016428679438,1,1,0.00297820762836427
"Fam84b",1.71321389122747e-07,-1.06243638432463,0.017,0.457,0.00299401259630913
"Pdzrn4",1.77399567174894e-07,-1.28128306492927,0.317,0.857,0.00310023483594844
"Rgs12",1.84229765595015e-07,1.41412345771142,0.517,0.029,0.00321959938353847
"Adgra1",1.99807248645356e-07,-0.954062808861497,0.75,1,0.00349183147732623
"Rbms1",2.03331517202577e-07,-1.21725758921118,0.05,0.543,0.00355342159463224
"1700019D03Rik",2.04220771459862e-07,-0.95916534715508,0.367,0.914,0.00356896220203254
"Arpc5",2.11011294065768e-07,-0.862393165900542,0.967,1,0.00368763337509337
"Gabra1",2.18664729443611e-07,-1.15011724657084,0.917,1,0.00382138481175654
"Sorcs3",2.18721129506327e-07,1.64652642679621,0.733,0.343,0.00382237045925258
"Fhl1",2.22849062450775e-07,1.79383333883923,0.667,0.286,0.00389451021538975
"BC030499",2.51761997151554e-07,1.76568738413555,0.65,0.2,0.00439979266222055
"Camk2n2",2.59839085195511e-07,1.5977270027374,0.833,0.457,0.00454094785287674
"Ina",2.6452526994555e-07,-1.02383407609368,0.983,1,0.00462284361756842
"Limk1",2.72171763499926e-07,-1.11302868453894,0.183,0.743,0.00475647373892471
"Ephb1",2.72854444123215e-07,-1.09461215691842,0.117,0.657,0.0047684042654973
"Fat3",2.75326051299105e-07,0.503993668624039,0.483,0.743,0.00481159807250317
"Syt6",2.98524609281186e-07,-2.03790809290707,0.067,0.543,0.005217016071798
"Vegfd",3.01423866285431e-07,1.98555522759719,0.567,0.086,0.00526768348720418
"Garnl3",3.11212126298242e-07,-1.33503005136299,0.417,0.857,0.00543874311918808
"Irs2",3.21513386423581e-07,-1.04544421360882,0.3,0.857,0.0056187679411385
"Ctsb",3.73017994153258e-07,-0.703070973638242,1,1,0.00651886246582233
"Rpgrip1l",3.78858060345428e-07,-0.558864153852435,0.4,0.914,0.00662092346259671
"Lsp1",3.87961871557495e-07,-1.15777907675522,0,0.343,0.00678002166733879
"Sept3",4.04584315497575e-07,-0.80184124355631,0.983,1,0.00707051549763561
"Syngr3",4.10468761291266e-07,-0.822795807305371,0.933,1,0.00717335207232617
"Ngb",4.60643473027215e-07,1.30682814661064,0.4,0,0.00805020533462361
"Klhdc1",4.66334288072973e-07,-0.843383052696852,0.217,0.771,0.00814965801836328
"Rxfp1",4.71290466008455e-07,2.03767530698101,0.7,0.2,0.00823627218396376
"Npy1r",4.79102633490937e-07,1.34861878681703,0.767,0.286,0.00837279762288762
