"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Stn1",0.050142341949296,0.345359921189091,0.184,0.086,1
"Fcho1",0.05018714634689,0.316207468200383,0.465,0.429,1
"Pi4ka",0.0503631953333542,0.354864657923387,0.934,0.886,1
"Ubtd2",0.0503685897171782,0.26925181030431,0.128,0.057,1
"Ints6",0.0503799312466314,0.271412971963499,0.811,0.857,1
"Nars",0.0505646115459664,-0.303249438086974,0.928,0.943,1
"Nr3c2",0.0507307885849103,0.491990031829052,0.256,0.114,1
"Cntn5",0.0507513920730965,0.499983317289168,0.643,0.571,1
"Caln1",0.0508469601827621,-0.353564840017927,0.886,0.943,1
"Gm6710",0.0509012412389173,0.332250359636576,0.483,0.429,1
"Cpeb3",0.0512171526714588,-0.321674149657416,0.756,0.829,1
"Stim1",0.0513311408142208,-0.307252869741542,0.697,0.857,1
"F8a",0.051515151568277,-0.395776733790334,0.456,0.657,1
"Gm43672",0.0515826790290616,0.517773763761014,0.298,0.143,1
"Cnot7",0.051636661311373,0.305087454847026,0.933,0.971,1
"Gm7467",0.0517494483423602,0.295749373694314,0.143,0.057,1
"Chst8",0.0522324045462079,0.411369250352072,0.205,0.057,1
"Glt8d1",0.0523028694414075,0.380188173897503,0.458,0.4,1
"Sgce",0.0524927878166792,0.312709131773541,0.357,0.314,1
"Tmco1",0.05252332409478,-0.369860965804978,0.667,0.743,1
"Slbp",0.0526033700918374,0.260635216098829,0.623,0.629,1
"Ifitm10",0.0526981020929076,0.428692822276556,0.3,0.2,1
"Plxna3",0.0528438012264863,0.366151796715652,0.281,0.171,1
"Aqp11",0.0529806878627735,0.29005932463508,0.258,0.2,1
"Rassf2",0.0529839621643456,-0.316504733770303,0.042,0.143,1
"Wwc2",0.0531324717223607,0.448482848021239,0.682,0.629,1
"Dcbld2",0.0532368973424504,-0.341964792357123,0.364,0.571,1
"Eprs",0.0533140326875852,-0.326216544398239,0.694,0.771,1
"4732440D04Rik",0.0534136865682057,0.271433364786017,0.194,0.143,1
"Gm26802",0.0534315709212106,0.543920465865799,0.66,0.543,1
"Tubb2b",0.053432590520767,-0.479338677379072,0.146,0.314,1
"March6",0.0535617348628281,0.320820193484366,0.987,1,1
"Fhl2",0.0538419756311106,-0.328437796794232,0.845,0.886,1
"Whrn",0.0540420010414529,0.278608918018408,0.306,0.343,1
"Ppm1f",0.0540579021004301,0.328664871727419,0.502,0.457,1
"Acot7",0.0541555341127201,-0.288243170173376,0.897,0.971,1
"Trim37",0.054318286115462,0.333529823388532,0.97,0.971,1
"Rpn1",0.0544646784649775,-0.288445077997252,0.739,0.8,1
"Irf2",0.0544680911097172,0.263970778340551,0.593,0.629,1
"Slc10a7",0.0547337317989859,0.279656107155203,0.13,0.057,1
"Ddn",0.0547669115564195,0.376138024861152,0.956,0.914,1
"Arrb2",0.0552799713801666,0.365923442360785,0.525,0.457,1
"Npy1r",0.0554653480917733,0.450339571888564,0.608,0.457,1
"Orc6",0.0556790285043983,-0.252369661154883,0.572,0.771,1
"Nhlrc1",0.0556811018868514,-0.355609444521842,0.264,0.457,1
"2210016F16Rik",0.0557368549860546,-0.26400166595565,0.261,0.429,1
"Cep41",0.0557906238490775,0.381270041707458,0.192,0.057,1
"Cdr2l",0.0558287278932643,0.281784404597121,0.155,0.086,1
"Ermp1",0.055946054452389,0.406821707903846,0.367,0.229,1
"Abi1",0.0560213349244341,0.267658121052175,0.918,0.943,1
"9330160F10Rik",0.056073538489838,0.377176555292486,0.247,0.171,1
"Trappc4",0.0561151129292368,-0.305204955193538,0.86,0.914,1
"Tpmt",0.0562055571211906,-0.266537291349891,0.093,0.229,1
"AW549877",0.0562062538872955,0.290439710929239,0.673,0.571,1
"Sh3pxd2a",0.0562075370400598,0.402211307101829,0.298,0.171,1
"Tmem47",0.0563949937684237,0.394060126438937,0.451,0.257,1
"Chgb",0.0564025498013054,-0.393205514982944,0.958,1,1
"Slc41a1",0.0564930343780206,0.512891285330182,0.37,0.229,1
"Ube2l6",0.0565382668917374,0.31950283117233,0.118,0.029,1
"Vegfa",0.0565675484763505,0.311124624703903,0.357,0.314,1
"Gclm",0.0565752579492356,-0.284574718909226,0.721,0.8,1
"Cd7",0.0566721433396024,-0.251962781768635,0.076,0.2,1
"Alad",0.056739555573848,0.257635766546869,0.303,0.286,1
"Igsf8",0.0567439218192265,-0.287745427938366,0.931,1,1
"Ftl1",0.0569030668956838,-0.252460125313011,0.993,1,1
"D5Ertd579e",0.0569152013434546,0.33374122189095,0.879,0.829,1
"Yipf6",0.0569810967026437,0.309295186999218,0.503,0.457,1
