"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Asl",2.6241948067231e-08,0.407148346948694,0.393,0.315,0.000508936340815878,"L5-Htr2c","Asl"
"Col25a11",2.65369697778621e-08,0.374291273560155,0.458,0.375,0.000514657991871857,"L5-Htr2c","Col25a1"
"Fkbp4",2.66388451052013e-08,0.269492016166768,0.741,0.789,0.000516633761970275,"L5-Htr2c","Fkbp4"
"Aldh2",2.98262245231091e-08,0.36092325981915,0.498,0.447,0.000578449798401179,"L5-Htr2c","Aldh2"
"Ndufaf2",3.31242505770722e-08,0.279097936556016,0.688,0.725,0.000642411715691738,"L5-Htr2c","Ndufaf2"
"Galnt14",3.39276708417952e-08,0.267192987323101,0.371,0.25,0.000657993248305777,"L5-Htr2c","Galnt14"
"Safb",3.64092666782109e-08,0.265140537720679,0.726,0.762,0.000706121317957222,"L5-Htr2c","Safb"
"Peak1",3.66227541961602e-08,0.300363476117523,0.673,0.664,0.000710261694880331,"L5-Htr2c","Peak1"
"Vat11",4.21914816557435e-08,0.357990287016492,0.433,0.351,0.00081826159523149,"L5-Htr2c","Vat1"
"Usp27x",4.5895871276917e-08,0.367077099800121,0.318,0.238,0.000890104527544528,"L5-Htr2c","Usp27x"
"Ankrd34b1",5.57097434137993e-08,0.335826154247814,0.28,0.19,0.00108043476376722,"L5-Htr2c","Ankrd34b"
"Gsto1",5.97487408116841e-08,0.366852776601514,0.483,0.454,0.0011587670793018,"L5-Htr2c","Gsto1"
"Ipo8",6.25237358672436e-08,0.323548860615537,0.505,0.481,0.00121258533340932,"L5-Htr2c","Ipo8"
"Nub1",6.48069543285934e-08,0.270818983073504,0.735,0.793,0.00125686607224874,"L5-Htr2c","Nub1"
"Cbx1",7.83057487953248e-08,0.255807289044963,0.76,0.82,0.00151866169213653,"L5-Htr2c","Cbx1"
"Galnt131",9.34641500479682e-08,0.376954743466618,0.498,0.479,0.00181264372603029,"L5-Htr2c","Galnt13"
"Fundc1",9.40660657121057e-08,0.315196230372314,0.614,0.64,0.00182431727842058,"L5-Htr2c","Fundc1"
"Gm9866",1.05991353821514e-07,0.306737679876208,0.66,0.718,0.00205559631601444,"L5-Htr2c","Gm9866"
"Gm26724",1.0664136073441e-07,0.33061131703635,0.47,0.439,0.00206820255008315,"L5-Htr2c","Gm26724"
"Cwf19l2",1.09774215818468e-07,0.34990881983643,0.492,0.461,0.00212896114158337,"L5-Htr2c","Cwf19l2"
"Chrnb2",1.14164180122756e-07,0.345875931538919,0.417,0.368,0.00221410010930073,"L5-Htr2c","Chrnb2"
"Rbm43",1.22048768387853e-07,0.410630242825346,0.361,0.295,0.00236701381411402,"L5-Htr2c","Rbm43"
"Plxnb2",1.2960830728369e-07,0.355529154624255,0.293,0.212,0.00251362351145989,"L5-Htr2c","Plxnb2"
"Pgap11",1.3351538891677e-07,0.382757704533929,0.589,0.615,0.00258939745265183,"L5-Htr2c","Pgap1"
"Rpn2",1.82976298079564e-07,0.327220406560874,0.639,0.662,0.00354864232495506,"L5-Htr2c","Rpn2"
"Frmd4a",1.83064646497522e-07,0.27525130591371,0.629,0.638,0.00355035575417295,"L5-Htr2c","Frmd4a"
"Gm45716",1.94443189353734e-07,0.384232963310181,0.417,0.366,0.00377103121432632,"L5-Htr2c","Gm45716"
"Zcchc11",1.97424613691796e-07,0.256364491734662,0.72,0.755,0.00382885295793869,"L5-Htr2c","Zcchc11"
"Nrg3",1.99263290111956e-07,0.266025972635092,0.667,0.688,0.00386451224843127,"L5-Htr2c","Nrg3"
"Sh3bgrl",2.31694263664398e-07,0.255541376407555,0.779,0.835,0.00449347854950734,"L5-Htr2c","Sh3bgrl"
"Sh3rf11",2.9512166545941e-07,0.286482880857063,0.561,0.536,0.0057235895799198,"L5-Htr2c","Sh3rf1"
