,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
34,Etl4,Atp5b,Pkib,Sema3e,Grik2,Pkp4,Car4,Edil3,Tmsb10,Trank1,Hpgds,Nxph1,Apod,Emcn,Tpt1
35,Nrp1,Ppia,Slc30a3,Camkk1,1190002N15Rik,Frmpd4,Ptprk,Fezf2,Atp5l,Ntrk2,Nfkbia,Zfp36l1,Sept4,Tm4sf1,Rps11
36,Cxcl12,Rtn1,Nptxr,Unc5a,Caln1,Bag1,Pam,Meg3,Clta,Strbp,Cyba,Slc6a1,Cldn11,Ccdc141,Cst3
37,Ndufa4,Stk32c,Gfra2,Auts2,Rapgef5,Arap2,Lrfn5,Bex1,Rps7,Son,Zfhx3,Luzp2,Tmem88b,Ebf1,Rpl10
38,Pdzrn4,Psmb1,Syt1,Wipf3,Fam131a,Slc5a5,Lypd1,Rab27b,Rpl38,Etnk1,Txnip,Gatm,Cryab,Id3,Snhg11
39,Adora1,Hspa8,Slc39a10,Sema3c,Bcl6,Celf4,Gucy1b1,Hlf,Stmn3,Herc1,Kctd12,Gjc3,Mal,Kdr,Rpl35a
40,Nrip3,Psmc2,Cnih3,Cdh13,Pak3,Gap43,Rplp1,6330403K07Rik,Rps4x,Gm47283,Tpt1,Neu4,Kcnj10,Id1,Trp73
41,Diras2,Tubb5,6430548M08Rik,Rhou,Fam135b,Efhd2,Sub1,Grp,Bex2,Adgrb1,Ftl1,Ccnd1,S100a1,Esam,Itm2b
42,Fut9,Tuba1b,Necab1,Kctd4,Syt17,Fut9,Pcdh8,Nxph3,Rprm,Nav2,Rps9,Scrg1,Gjc3,Vwa1,Tmem176b
43,Plxna2,Cct7,Dkkl1,Pea15a,Hcn1,Hs3st4,Lingo2,Zmat4,Ensa,Ogt,Zfp36l2,Plpp3,Selenop,Arhgap31,Rps12
44,Dynll1,Basp1,Hpca,Oprk1,Gria3,Bex3,Cacng3,Unc13b,Pfdn5,Arpp21,Ctsz,S100b,Neat1,H2-D1,Zic1
45,B3gat1,Ndufv1,Nwd2,Pitpnm2,Adamts2,Caln1,Cplx2,Abi3bp,Mdh1,Ahi1,Trf,Pou3f1,Lap3,Utrn,Rpl30
46,Pfn2,Atxn10,Ajap1,Ccdc3,Kcng1,Tle4,Epop,Plcxd3,Tuba1a,Eml5,Unc93b1,Pcdh15,Gstm1,S1pr1,Malat1
47,Stmn1,Fdps,Wnt4,Ppp1r1a,Gm19410,Mctp1,Lpl,Trhr,Gpx4,Hnrnpu,Aif1,Zcchc24,Slain1,Slc7a5,Rpl21
48,Hs3st2,Rraga,AI593442,Srgap3,Sec14l1,Peg3,Cacna2d1,Rtl8a,Pcsk1n,Ank3,Atf3,Tmem176b,Atp1a2,Itga6,Rpl23
49,Lrrtm2,Slc25a5,Rab3c,Gng2,Elmod1,Gnal,Grp,Bcl11b,Atp5h,Unc80,Maf,Sox6,Ppp1r14a,Tagln2,Rpl27a
