,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
150,Rasgrp1,Crip2,Gabra2,Fbxo21,Slc12a5,Gsg1l,Pnisr,Fut9,Gabarapl2,Ftl1-ps1,Csf3r,Cnp,Tmem125,Pdgfb,Ddx5
151,Scg3,Ctsl,Ywhaz,Sntb2,Gria1,Cntnap4,C1ql3,Mtcl1,Rps12,Csmd2,Fgd2,Mfge8,Gja1,Ostf1,Rpl34
152,Kcnk1,Rrp1,Coch,St6galnac5,Arid5b,Tenm1,Sipa1l1,Slc38a1,Atp5d,Akap8l,Cttnbp2nl,Nkx2-2,Bpgm,Parvb,Unc119
153,Sel1l3,Vsnl1,Ap3m2,Fkbp1a,Ntm,Fstl1,Mgat5,Stmn1,Cbx3,Jun,H3f3b,Spry4,Fam107a,Wwtr1,Lmo2
154,Myl6,Myl6,Nlgn1,Slc26a4,Fam19a2,Selenom,Ntrk3,Spop,Prdx1,Nrxn1,Rcsd1,Lamp1,Gstm7,Jam2,Clk1
155,Gria2,Ndufc2,Osbp2,Gpm6b,Stt3b,Slc17a7,Serp2,Tle4,Cpe,Csnk1a1,Junb,Snx22,Frmd4b,Sypl,Hsp90ab1
156,Chp1,Ndufa10,Dpysl2,Mgat3,Megf9,Slc17a6,Dbpht2,A2ml1,Scg5,Leng8,Evi2a,Map3k1,S1pr1,Hmcn1,Pou6f2
157,Glra2,Ncald,Rnf144a,Osr1,Nt5dc3,Elavl4,Slc16a2,Pak1,Rps18,Ccnl1,Cd52,Car8,Cpox,Itih5,Cct8
158,Grik3,Ly6h,Pip5k1c,Tle3,Eno2,Clic5,Gm10419,Usp29,Rbx1,Celf1,Fyb,Rrbp1,Hapln2,Gpcpd1,Ankrd35
159,Ube2ql1,Ola1,Rgs4,Rasgrf1,Srgap3,Nrp2,Fth1,Ube3a,Dynlrb1,Ccnl2,Pou2f2,Selenos,Abca2,Cxcl12,Txndc15
160,Cdc42,Ociad1,Syngr1,Fgf10,Galnt16,Diras1,Med21,Tpbg,Bsg,Slc20a1,Rpl7,Abca1,Gpr37l1,Cnn2,Slc25a4
161,Ankrd63,Bcap31,Ptprk,Etv6,Map1a,Gfra1,Slc4a3,AW551984,Atp5f1,Adcy1,Cyfip1,Plppr5,Lgi3,Qk,Rsrp1
162,Etv5,Hprt,Osbpl1a,Uqcr11,Scn1b,Scoc,Gpr22,Wscd1,Snrpn,Tardbp,Rpl35a,Ankrd11,Otud7b,Ly6e,Cetn3
163,Mctp1,Cntnap4,Phactr3,Banp,St6galnac3,Sema5a,Srgap3,Tmem159,Hmgb1,Adgrb2,Stab1,Arsb,Gab1,4931406P16Rik,Laptm4a
164,Calm1,Arl6ip1,Rap1gap2,Chn1,Rhbdl3,Ssbp2,Gstm7,Gprasp1,Arf5,Lsamp,Rpl23,Marcksl1,Efcab14,Ece1,Ubb
165,Dnm3,Laptm4a,Arhgef25,Galnt16,mt-Co1,Pak3,Dgkb,Chrm2,Uqcrh,Rapgef6,Slc16a6,Abhd17b,Npc1,Rgs12,Rpl4
166,Uqcrb,Csnk2b,Nebl,Sdc3,Khdrbs2,Spop,Enc1,Amigo2,Rps16,Tnrc6c,Tmcc3,Chpt1,Desi1,Rasip1,Rbms1
167,Me3,Ddah1,Serf2,S100a6,Tpbg,Enah,Nectin1,Coro6,Ldha,Atp8a1,Adgrg1,Rab31,Hist1h2bc,Klhl5,Snhg12
168,Lynx1,Gpi1,Arpp19,Wscd1,Stk39,Pdzd2,Plppr3,Kremen1,Uqcrb,Tmem63b,Rpl10,Pou3f3,Trim59,Esyt2,Rplp2
169,Sebox,Ogfrl1,Crhr1,Cacna1b,Pcdh7,Ivns1abp,Tmem47,Abat,Ndufa13,Thoc2,Man2b1,Ptpre,Lamp1,Cav1,Tsn
170,Igfbp4,Cfl1,Marcksl1,Nabp1,Scn1a,Prune2,Vldlr,Epha5,Crym,Bclaf1,Dusp1,Mid1ip1,Ftl1,Rflnb,Rpl27
171,Npdc1,Bsg,Fam81a,Ppm1h,Ppm1e,Pcp4,Rgs2,Cdc5l,Sumo1,Grin2b,Tnf,Mageh1,Pou3f3,Hspa1b,Tnrc6a
172,Ndfip2,H2afy,Ttll7,Chpt1,Cox7c,Chd3,Cyp46a1,Sema5a,Ly6h,Nrxn3,Pycard,Cnn3,Npas3,Eogt,Homer2
173,Atp2a2,Cct2,Cap2,Atp6v1a,Gucy1b1,Mllt11,Rab40b,Dusp5,Rps17,Peg3,Slc1a3,Usp24,Slc38a2,Gatm,Tgoln1
174,Atp5d,Psma2,Gda,Smad3,Rgl1,Ndrg1,Chd4,Morf4l1,Atp5j2,Hnrnpl,Ikzf1,Nav1,Bcan,Itpkb,Ier3ip1
175,Klf9,Cd47,Fras1,Vstm2b,Glra3,Atp8a2,Arl6ip5,Iscu,Park7,Psap,Eef1a1,Chst2,Gltp,Serinc3,Mtss1
176,Ndst1,Psmd12,Camk2n2,Drd1,C1ql3,Slc39a6,Dact2,Spats2l,Gnb1,Far1,Cmtm7,Tmcc3,Arhgap5,Reep3,Cd200
177,Fkbp3,Retreg1,Dgkz,Slc16a2,Tspan13,Abat,Slc12a5,Fam19a5,mt-Nd2,Slc6a6,Picalm,Gsap,Magt1,Nos3,Epha3
178,Spon1,Fam49b,Bnip3l,Ptgs2,Rspo3,Gprasp2,Adgrl3,Zcchc18,mt-Nd4,Atp6v0a1,Pmepa1,Gm13889,Tgfa,S100a16,Oaz1
179,Bri3,Adrm1,Ntng1,Grin3a,Dgkg,Nhsl2,Nsg1,Spock3,Chchd2,Raph1,Rack1,Rhoc,Prr18,Tgfbr2,Rbms3
180,Ube2b,Rab3a,Ndst3,Rps6ka5,Gm3764,Osbpl3,Stum,Sox4,Dctn3,Srsf5,Tgfbr2,Tubb2b,Grin2c,Sipa1,5330417C22Rik
181,Txn1,Psmd8,Gng4,Actn1,Thy1,Atp2a2,Rps6ka2,Pak3,Got1,Tnik,Ctsc,Ggh,Dbx2,Cnr1,Rps25
182,Stmn3,Emc4,D430041D05Rik,Ipo5,Ctbp2,Map4k3,Cdh4,Oaz1,Calm3,Stxbp5l,Rpl21,Myt1,Car14,Il10rb,Rps15
183,Asap2,Cpe,Prmt8,Cox8a,Grm5,Dzank1,Mras,Rps27a,Vapa,Pde4d,Rps29,Rab34,Endod1,Afap1l1,Thsd7b
184,Mapk10,Cfdp1,Atp8a1,Cbx6,Rap2a,Nfib,Trpc6,Chl1,Rpl28,Atp1a1,Snx5,Abhd2,Gjb6,Kif26a,Clic1
185,Rala,Eif4a2,Cacna1i,Dgkz,Rimklb,2610001J05Rik,Thra,Pnkd,Eif5a,BC005537,Vamp8,Cpne2,Fbxo7,Pttg1ip,Cited2
186,Scp2,Capza2,Ypel2,Cadps,Fkbp1a,B3glct,Pde4b,Inpp5f,Tpi1,Lrrc7,Dock10,Gnai2,Slc27a1,Tshz2,Zfp467
187,Slc35f1,Rheb,Wnt7b,Man1c1,Wnt5a,AI504432,Fam19a2,Crtac1,H2afz,Pi4ka,Eef1d,Reep3,Pde8a,Abcc4,Ctnnb1
188,Hsp90ab1,Tceal5,Trpc5,Gm12027,Tanc1,Fam168a,Agfg2,Stxbp2,Hsp90aa1,Zfp638,Rpl12,Mro,Slc7a10,Unc5c,Irf2bp2
189,Arap2,Lamp1,Hivep3,Erc2,Camk2b,Cxxc4,Cyld,Pfdn2,Cox6b1,Atp2c1,Pag1,Trib2,Serinc5,Ifitm2,Cdkn1c
190,Rbm3,Uchl3,Nol4,Gucy1a1,Ncdn,Spata13,Zfp462,Trh,Rpsa,Lrfn5,Jun,Kcnip3,Tril,Rasgrp3,Rtraf
191,Rheb,Ssb,Eif4g2,Brinp2,Doc2b,Atp2b4,Tmem191c,Ndufa11,Ndufb5,Ddx17,Rpl39,Fam89a,Tnfaip6,Arhgap29,Gprasp2
192,Brd9,Gsta4,Lsamp,Gse1,Sorcs1,Tmem132a,Schip1,Kcnt2,Prdx5,Scai,Rps14,Dscam,Leng8,Anxa3,Atraid
193,Sdk2,Prpf19,Cacna1b,Cyp46a1,Wfs1,Zyg11b,Neurod1,Efnb3,Fkbp3,Sltm,Rps16,Fam181b,Wscd1,Tmem123,Cxxc4
194,Cisd1,Dap3,Nrxn2,Cdh4,Sobp,Sec24d,Homer2,Gsta4,Scoc,Strn3,Rps20,Tmco3,Rnf130,Pllp,Id4
195,Gpx4,Ran,Cyfip2,Clmp,Ctnna2,Cidea,Itgb8,B630019K06Rik,Atp5g1,Ephb6,Tmem176b,Adcyap1r1,Edil3,Akap13,Lhx1
196,Ckb,Psma3,Rasal2,Creg2,Gucy1a1,Tspyl4,Akap5,Limch1,Hprt,Chd9,Rps23,Metrn,Aldoc,Cck,Rbm3
197,Polr2f,Flot1,Agfg1,Wbp2,Itpka,Efr3a,Sez6l2,Gpx1,Rps21,Nin,Jund,Mif4gd,Zfp36l1,Polk,Emx2
198,Dad1,Hagh,Reps2,Ldb2,Nrcam,Fnbp1l,Extl2,Hjurp,Crip2,Zranb2,Srgap2,Vgll4,Chd7,Gbp7,Tcp11l2
199,Hpcal4,Vmp1,Zfp365,Rpl41,Bend5,Lancl3,Prkca,Sparcl1,Rpl7a,Madd,Cd14,Cuedc1,Chst2,Cd59a,Clstn2
