"","x"
"323","Hmbs"
"324","Gpr37l1"
"325","Rwdd2a"
"326","Cxcl12"
"327","Rspo1"
"328","Lmo1"
"329","Cspg4"
"330","Tnfaip6"
"331","Fosl2"
"332","Hsp90ab1"
"333","Wwox"
"334","Mgp"
"335","Scn7a"
"336","Hist4h4"
"337","Fam3c"
"338","Fkbp6"
"339","Slc22a8"
"340","Hpcal1"
"341","Lhx2"
"342","Bcl2a1b"
"343","Gm48610"
"344","Cyba"
"345","Nwd2"
"346","Sema3c"
"347","Tesc"
"348","Trbc2"
"349","C030029H02Rik"
"350","Cryzl2"
"351","Rimbp2"
"352","Htr2a"
"353","Vegfd"
"354","Rgs2"
"355","Rnf152"
"356","Ccnd1"
"357","Dio3"
"358","Spp1"
"359","Kcnab1"
"360","Pcdh8"
"361","Il11ra1"
"362","Ldhb"
"363","Gabra2"
"364","Plcxd2"
"365","Itga1"
"366","Trh"
"367","Gdf15"
"368","Mdh1"
"369","Cd74"
"370","Sccpdh"
"371","Ptprt"
"372","Ifi27"
"373","Serpine1"
"374","Cited2"
"375","Nes"
"376","Peg10"
"377","Nxph4"
"378","Vim"
"379","Bok"
"380","Tmsb10"
"381","Dkkl1"
"382","8430408G22Rik"
"383","C1ql2"
"384","Npy2r"
"385","Rgs1"
"386","Gm26802"
"387","Dnajc21"
"388","Ajap1"
"389","Srgap3"
"390","Pllp"
"391","Car10"
"392","Hist1h1c"
"393","R3hdm1"
"394","Wnt4"
"395","Fat3"
"396","Cntnap5a"
"397","Ccl12"
"398","Syt6"
"399","Ripply3"
"400","Tmem100"
"401","Ifitm1"
"402","Nhlh2"
"403","Wfs1"
"404","Pld5"
"405","Cpne7"
"406","Edil3"
"407","Vcan"
"408","Neu4"
"409","Gm15879"
"410","Myl9"
"411","Arhgap36"
"412","Sox6"
"413","Pdgfrb"
"414","Sod3"
"415","Fabp7"
"416","Mbp"
"417","Wls"
"418","Parm1"
"419","Cd300c2"
"420","Luzp2"
"421","Ebf1"
"422","Olfr1423"
"423","Vat1l"
"424","Cald1"
"425","Icam1"
"426","Trp73"
"427","Clec2d"
"428","Ckb"
"429","Chn2"
"430","Uchl1"
"431","Cpne5"
"432","Cd52"
"433","Lsp1"
"434","Pcdh19"
"435","Gpr83"
"436","Aspa"
"437","Vgf"
"438","Itm2b"
"439","Kctd12"
"440","Tcap"
"441","Gjc3"
"442","Edn1"
"443","Gm765"
"444","Rapgef5"
"445","Tek"
"446","Col12a1"
"447","Fcgr3"
"448","Gm42418"
"449","Rgcc"
"450","Hist1h1d"
"451","Gfra1"
"452","Slc5a5"
"453","Mag"
"454","Kcnj8"
"455","Pde1c"
"456","Kcnip1"
"457","Slco2a1"
"458","Gm12280"
"459","Inhba"
"460","9630013A20Rik"
"461","Ppp1r1b"
"462","Ctxn3"
"463","Scrg1"
"464","Jun"
"465","Glul"
"466","Hpca"
"467","Rasl11a"
"468","Scube1"
"469","Ddit4l"
"470","Chgb"
"471","Cyyr1"
"472","Prdm8"
"473","Jsrp1"
"474","Cyp26b1"
"475","Robo2"
"476","Pcdh7"
"477","Lancl3"
"478","4732419C18Rik"
"479","Ncf1"
"480","Wfdc18"
"481","Camk2a"
"482","Olfm3"
"483","Itgam"
"484","Irgm1"
"485","Kdr"
"486","Nid1"
"487","Cbln4"
"488","Ptgfrn"
"489","6430548M08Rik"
"490","Trhr"
"491","Lyz2"
"492","Aqp4"
"493","Pcdh15"
"494","Pnoc"
"495","Pln"
"496","Dio2"
"497","Calca"
"498","Prom1"
"499","Ppp1r15a"
"500","Coch"
"501","Vcam1"
"502","Lhx1"
"503","Efna5"
"504","Ccdc63"
"505","Meis2"
"506","Fam84a"
"507","Lhx1os"
"508","Xlr5a"
"509","Gm49016"
"510","Id4"
"511","Plxnd1"
"512","Arhgef40"
"513","Gm39377"
"514","Ccdc141"
"515","Cdkn1a"
"516","Timp3"
"517","Prss43"
"518","Rpl39l"
"519","Rec114"
"520","Atp5b"
"521","Slc25a4"
"522","H2-K1"
"523","Maf"
"524","Dmkn"
"525","Abi3bp"
"526","Igfbp7"
"527","Pex5l"
"528","Tle4"
"529","Ptprk"
"530","Kcnq3"
"531","Plxna4"
"532","Kcna2"
"533","Dgkk"
"534","Sebox"
"535","Hist2h4"
"536","Fam46a"
"537","Gm45069"
"538","Trib1"
"539","Olfr279"
"540","Bmp4"
"541","Bmp2"
"542","Zdbf2"
"543","Bcl11b"
"544","Npnt"
"545","Crim1"
"546","Gadd45a"
"547","Dusp2"
"548","Crip1"
"549","Tmem88b"
"550","Hsp90aa1"
"551","Shisa6"
"552","Auts2"
"553","Tenm4"
"554","Pdlim2"
"555","Mirt1"
"556","Kcnb2"
"557","Kcng1"
"558","Urah"
"559","Nrep"
"560","Efhd2"
"561","Cnih3"
"562","Tgfbr1"
"563","Pcdhb7"
"564","Ubc"
"565","Twist1"
"566","Rsad2"
"567","Ly6d"
"568","Gucy1a1"
"569","Col23a1"
"570","Zcchc12"
"571","Cox4i2"
"572","Srgn"
"573","Enpp2"
"574","St6galnac5"
"575","Susd5"
"576","Gatm"
"577","Rims3"
"578","Spock3"
"579","Epb41l2"
"580","Otud1"
"581","Bcl6"
"582","Foxd1"
"583","Slc2a13"
"584","Adamts18"
"585","Egr1"
"586","Kcnk2"
"587","2900060B14Rik"
"588","Rlbp1"
"589","Adarb2"
"590","Fam83a"
"591","Tril"
"592","Anxa3"
"593","3110035E14Rik"
"594","Galnt14"
"595","A330069E16Rik"
"596","Psma4"
"597","Gpc6"
"598","Slc16a9"
"599","Sp100"
"600","Lcorl"
"601","Nppc"
"602","Nr2f1"
"603","Ltc4s"
"604","Spi1"
"605","Kctd4"
"606","Cpne9"
"607","Cd53"
"608","Nkx2-2"
"609","Rtn4rl1"
"610","Myh11"
"611","Medag"
"612","Ptpn18"
"613","Pld4"
"614","Tubb5"
"615","AC149090.1"
"616","Nrgn"
"617","Mdh2"
"618","Psmc2"
"619","Aldoc"
"620","Neurl3"
"621","Tecr"
"622","Hist1h2bc"
"623","Pou3f2"
"624","Mndal"
"625","Kit"
"626","Ncald"
"627","Ndst3"
"628","Cd86"
"629","Krtap28-13"
"630","Psmd6"
"631","BC030499"
"632","Ccnd2"
"633","Cdc42ep3"
"634","Fdps"
"635","Man1a"
"636","Ptprf"
"637","Sdc4"
"638","Lef1"
"639","Nell1"
"640","Rgs12"
"641","Abcc9"
"642","Uqcrc2"
"643","Syt4"
"644","Vstm2b"
"645","Gm17056"
"646","Klhdc8a"
"647","Erbb4"
"648","Gm13075"
"649","Cdh6"
"650","Pecam1"
"651","Actb"
"652","Crispld2"
"653","Fras1"
"654","Spata31d1a"
"655","Col1a2"
"656","Spon1"
"657","Ebf3"
"658","Slc6a13"
"659","AI593442"
"660","B930036N10Rik"
"661","Cnr2"
"662","Galnt15"
"663","Nt5dc2"
"664","Sorl1"
"665","Nefl"
"666","Mgat5"
"667","Tenm2"
"668","Hapln1"
"669","Phkg1"
"670","Fam19a2"
"671","Ptpn7"
"672","Fgfr2"
"673","Rcsd1"
"674","Nfkbiz"
"675","Tagln3"
"676","Ctsl"
"677","Onecut2"
"678","Ier3"
"679","Sla"
"680","Gngt2"
"681","Igfbp2"
"682","Retn"
"683","C730034F03Rik"
"684","Phlda1"
"685","Tc2n"
"686","Sat1"
"687","Nfe2l2"
"688","Enc1"
"689","Cmip"
"690","Tie1"
"691","Tcerg1l"
"692","Cd63"
"693","Gm44812"
"694","1190002N15Rik"
"695","Igfn1"
"696","Olfml3"
"697","Adap2"
"698","Gbp3"
"699","Igfbp5"
"700","A730065G17Rik"
"701","Caln1"
"702","Gjb2"
"703","Gfra2"
"704","Gm12758"
"705","Fancd2"
"706","D16Ertd472e"
"707","Blnk"
"708","Ndrg1"
"709","Bfsp2"
"710","Tmem91"
"711","Nov"
"712","Sall1"
"713","Fcgrt"
"714","Gm9946"
"715","Zfp703"
"716","Fam84b"
"717","Unc5d"
"718","Igsf3"
"719","Lims2"
"720","Sox17"
"721","Pcdh11x"
"722","Spag16"
"723","Slc13a4"
"724","Mobp"
"725","Mertk"
"726","Bgn"
"727","Sulf1"
"728","AI849053"
"729","Unc13c"
"730","Arpp21"
"731","Lgals1"
"732","Grhl2"
"733","Rbfox1"
"734","Pim3"
"735","Aebp1"
"736","1700034P13Rik"
"737","Slc25a5"
"738","Slc25a20"
"739","Csrp2"
"740","Ighg2c"
"741","Col25a1"
"742","Emcn"
"743","Cd33"
"744","Alox8"
"745","Slc17a6"
"746","Icam2"
"747","Cxcl2"
"748","Pid1"
"749","Msn"
"750","Tmem178b"
"751","Rgs16"
"752","Tlr2"
"753","Fbxo33"
"754","Gm26917"
"755","Grin2c"
"756","Lsr"
"757","Sema3e"
"758","Wnt5a"
"759","Swt1"
"760","Hcrtr2"
"761","Necab2"
"762","Gnal"
"763","Ina"
"764","Tmem176a"
"765","Gm26720"
"766","Klhdc8b"
"767","Bmp3"
"768","Slc5a7"
"769","Atp6ap2"
"770","Dkk3"
"771","Cadps2"
"772","Gprc5b"
"773","Ramp3"
"774","Rph3a"
"775","Csrp1"
"776","Uqcrc1"
"777","Syn2"
"778","9530036O11Rik"
"779","Mylk"
"780","Foxp1"
"781","Cdh4"
"782","Cavin1"
"783","Zfhx4"
"784","Enpep"
"785","Kcnip4"
"786","Myh7"
"787","Resp18"
"788","Unc93b1"
"789","Gm48678"
"790","Cct7"
"791","Cfh"
"792","Fndc5"
"793","Hist1h4d"
"794","Ptchd4"
"795","Cpne6"
"796","Pde3a"
"797","Pgm2l1"
"798","Nfib"
"799","Slc16a2"
"800","Serpini1"
"801","Vwc2"
"802","Car4"
"803","Hs3st2"
"804","Cmtm5"
"805","Plk4"
