"","x"
"1358","Pcsk1"
"1359","Robo4"
"1360","Trabd2b"
"1361","Itpka"
"1362","Prmt1"
"1363","Efnb3"
"1364","Aox1"
"1365","Asb4"
"1366","Hk2"
"1367","Phlda3"
"1368","Ngef"
"1369","Rbp4"
"1370","Nupr1"
"1371","Nbl1"
"1372","Pak1"
"1373","Scg3"
"1374","Cntn5"
"1375","Ttc39b"
"1376","Etv5"
"1377","Acox3"
"1378","C5ar2"
"1379","Pvalb"
"1380","1500009L16Rik"
"1381","Gm5441"
"1382","Caskin2"
"1383","Crhr1"
"1384","Cd34"
"1385","Asic4"
"1386","Tshz1"
"1387","Bmp6"
"1388","Tspan5"
"1389","Pmepa1"
"1390","Gm7568"
"1391","Emd"
"1392","Atp2b2"
"1393","Psmb2"
"1394","Ccbe1"
"1395","Hap1"
"1396","Dnm3"
"1397","Ddit4"
"1398","Zfp536"
"1399","Txnl1"
"1400","Vsnl1"
"1401","Phactr2"
"1402","Cdh9"
"1403","Sox11"
"1404","Lgmn"
"1405","Cd164"
"1406","Tuba4a"
"1407","4930523C07Rik"
"1408","Gata2"
"1409","Pou3f3"
"1410","Robo3"
"1411","Gsx1"
"1412","Igfbp3"
"1413","Rbms1"
"1414","Fam107a"
"1415","Arsj"
"1416","Pnck"
"1417","Npr3"
"1418","Qk"
"1419","Rhbdl3"
"1420","2900097C17Rik"
"1421","Per1"
"1422","Rprml"
"1423","Gng5"
"1424","Sox10"
"1425","Tox"
"1426","Vat1"
"1427","Mylip"
"1428","Slc4a3"
"1429","Grin2b"
"1430","Fgd2"
"1431","Pdzrn4"
"1432","Cct4"
"1433","Gm30648"
"1434","Trhde"
"1435","Suclg1"
"1436","Itpkb"
"1437","Ptgs2os2"
"1438","Acpp"
"1439","Smad7"
"1440","Cacna1h"
"1441","Lfng"
"1442","Gm40893"
"1443","Ascl1"
"1444","Pcdhb13"
"1445","Galnt7"
"1446","Rap1gds1"
"1447","Lilr4b"
"1448","AL626769.1"
"1449","Cbln1"
"1450","Fam126b"
"1451","Pgbd5"
"1452","AC163018.1"
"1453","Epha10"
"1454","Pdp1"
"1455","Nfe2l3"
"1456","P4ha1"
"1457","Syndig1"
"1458","Kcnip2"
"1459","Gm12027"
"1460","Plcl1"
"1461","Rapgef3"
"1462","Sla2"
"1463","Chrm2"
"1464","Dlx2"
"1465","Wasf3"
"1466","Col27a1"
"1467","Gnas"
"1468","Alb"
"1469","3830403N18Rik"
"1470","Nrp1"
"1471","Gm32051"
"1472","Paqr8"
"1473","Thbs2"
"1474","Pgm5"
"1475","Lamc3"
"1476","Tmem154"
"1477","Gsta2"
"1478","Spry2"
"1479","Slc25a18"
"1480","Plch2"
"1481","Gap43"
"1482","Txndc11"
"1483","Slc25a22"
"1484","Kcnip3"
"1485","3110079O15Rik"
"1486","Dnaja1"
"1487","Plxdc2"
"1488","C1qtnf4"
"1489","Tanc1"
"1490","Gm8369"
"1491","Edn3"
"1492","Lhx5"
"1493","Iigp1"
"1494","Rgs13"
"1495","Gmfg"
"1496","Pgam2"
"1497","Atp5a1"
"1498","Klf6"
"1499","Limk1"
"1500","Midn"
"1501","Hspb8"
"1502","Prdx4"
"1503","Ppfia2"
"1504","Cap2"
"1505","Ccdc138"
"1506","Clec18a"
"1507","Lsmem1"
"1508","Lrrtm4"
"1509","Ldlr"
"1510","Ncl"
"1511","Olfm4"
"1512","Itga4"
"1513","Psmc4"
"1514","Nell2"
"1515","Ndufa9"
"1516","Arl6ip1"
"1517","Zfp366"
"1518","Ptpre"
"1519","Fbxo2"
"1520","Prex1"
"1521","Ifi204"
"1522","En2"
"1523","Gvin1"
"1524","Mlkl"
"1525","Ccr4"
"1526","Gm609"
"1527","Lrrc31"
"1528","Gm28187"
"1529","Cytip"
"1530","C030018K13Rik"
"1531","Erg"
"1532","Ms4a7"
"1533","5830468F06Rik"
"1534","AC122413.2"
"1535","Gm31406"
"1536","Gm2832"
"1537","Mctp1"
"1538","Psmc3"
"1539","Pfkl"
"1540","Got1"
"1541","Dock2"
"1542","Lrrtm1"
"1543","Crtac1"
"1544","5930412G12Rik"
"1545","Glipr1"
"1546","Srarp"
"1547","Kcnv1"
"1548","Amotl1"
"1549","Sept4"
"1550","Runx1"
"1551","Otx1"
"1552","Elavl4"
"1553","Fam102b"
"1554","Rnf144a"
"1555","Gde1"
"1556","Trib2"
"1557","Kcna1"
"1558","Enpp6"
"1559","Gstm7"
"1560","Sort1"
"1561","Pou3f4"
"1562","Slc26a1"
"1563","Lrrtm2"
"1564","D430019H16Rik"
"1565","Pdzrn3"
"1566","Adm"
"1567","Chrdl1"
"1568","Kcnb1"
"1569","Ets1"
"1570","Tppp3"
"1571","Nlgn1"
"1572","Dpp6"
"1573","Mgat3"
"1574","Arhgap32"
"1575","6030419C18Rik"
"1576","Trpc3"
"1577","D030034A15Rik"
"1578","Mpped1"
"1579","mt-Atp8"
"1580","Prkcb"
"1581","Fgfr1"
"1582","Ramp2"
"1583","Ccng1"
"1584","Cacna1i"
"1585","Stmn1"
"1586","Plxnb3"
"1587","Emc4"
"1588","Prmt8"
"1589","Ppm1h"
"1590","Man1c1"
"1591","Tacr3"
"1592","Fgf10"
"1593","Ifrd1"
"1594","Ces1d"
"1595","Chga"
"1596","Stxbp2"
"1597","Tmtc1"
"1598","Eya4"
"1599","Steap2"
"1600","Epb41"
"1601","Adgra1"
"1602","Creg2"
"1603","Gdf10"
"1604","St3gal1"
"1605","Rnd3"
"1606","Brip1"
"1607","Nrxn3"
"1608","Dab2"
"1609","Fam181b"
"1610","Htr1f"
"1611","Rbm24"
"1612","Pea15a"
"1613","Hhatl"
"1614","Gng12"
"1615","Pdia6"
"1616","Tmem245"
"1617","Colq"
"1618","Ppp3ca"
"1619","Ar"
"1620","Asns"
"1621","Gjb1"
"1622","Gm29674"
"1623","Cd47"
"1624","Apbb1ip"
"1625","Ipcef1"
"1626","Npas3"
"1627","H2-D1"
"1628","Col5a1"
"1629","Adcy7"
"1630","Ogfrl1"
"1631","Slc26a4"
"1632","Pcolce"
"1633","Fign"
"1634","Whrn"
"1635","Syt11"
"1636","Galntl6"
"1637","Hopx"
"1638","Gm11549"
"1639","Dclk1"
"1640","Psmb4"
"1641","Esam"
"1642","Sntb2"
"1643","Ndrg2"
"1644","Vldlr"
"1645","Fam110b"
"1646","Cmtm8"
"1647","Dscaml1"
"1648","Irf8"
"1649","Anp32a"
"1650","Arpp19"
"1651","Basp1"
"1652","Cpa6"
"1653","Tenm1"
"1654","B3galt2"
"1655","Mro"
"1656","Akap13"
"1657","B2m"
"1658","Synj1"
"1659","Svil"
"1660","Adcy10"
"1661","Kcnh7"
"1662","Anln"
"1663","Oasl2"
"1664","Cavin3"
"1665","Gm47033"
"1666","Sntb1"
"1667","Fhod3"
"1668","Pde4d"
"1669","Kcnj5"
"1670","Megf10"
"1671","Nim1k"
"1672","5033406O09Rik"
"1673","Hcn1"
"1674","Agl"
"1675","Gm2694"
"1676","Tmem108"
"1677","Grasp"
"1678","Gprin3"
"1679","Usp46"
"1680","Gm47283"
"1681","Nap1l5"
"1682","Zeb2"
"1683","Thsd7b"
"1684","Dlx1"
"1685","Dnajc5"
"1686","Lrrc4c"
"1687","Tmem173"
"1688","Rai14"
"1689","Pdlim1"
"1690","Rac2"
"1691","Actg1"
"1692","Lrrc55"
"1693","Slc36a2"
"1694","AI504432"
"1695","Kazald1"
"1696","Kl"
"1697","Magi3"
"1698","Schip1"
"1699","Rgma"
"1700","Usp6nl"
"1701","Maob"
"1702","Snap47"
"1703","Brinp2"
"1704","Lsm11"
"1705","Ndufs2"
"1706","Ppp1r1a"
"1707","Prkcd"
"1708","Rxrg"
"1709","Rflnb"
"1710","Dbi"
"1711","Dcdc2a"
"1712","Cryba4"
"1713","Egfr"
"1714","Itgb8"
"1715","Rassf9"
"1716","Chst2"
"1717","Pik3cg"
"1718","Slc4a4"
"1719","Drd1"
"1720","Hpgds"
"1721","Psmd13"
"1722","Mob3b"
"1723","Csf2rb"
"1724","Ifitm2"
"1725","Slc32a1"
"1726","Fbl"
"1727","Rcan3"
"1728","Adamts13"
"1729","Gm12371"
"1730","Nrip1"
"1731","Cdc42ep1"
"1732","Rep15"
"1733","Ehd3"
"1734","Etl4"
"1735","Chrna4"
"1736","Gm34466"
"1737","Nkain3"
"1738","Arxes1"
"1739","Shc4"
"1740","Hapln4"
"1741","Rilpl1"
"1742","AW112010"
"1743","Tmem44"
"1744","Ldha"
"1745","Fam19a5"
"1746","Syndig1l"
"1747","Evi2a"
"1748","Cd81"
"1749","Bicc1"
"1750","Pdlim5"
"1751","Pcdhb14"
"1752","Kif1b"
"1753","Gimap6"
"1754","Plk5"
"1755","Ankrd34b"
"1756","Idi1"
"1757","Lmtk2"
"1758","Elmo1"
"1759","Atad2"
"1760","Celf4"
"1761","Plekho2"
"1762","Xlr4a"
"1763","Foxf2"
"1764","Bend7"
"1765","Gm15261"
"1766","Negr1"
"1767","Cp"
"1768","Smad3"
"1769","Knl1"
"1770","Nat8f6"
"1771","Greb1"
"1772","Dkk1"
"1773","Plek"
"1774","B3gnt5"
"1775","Gm14133"
"1776","Fgf16"
"1777","Gm9889"
"1778","Pax5"
"1779","Pappa"
"1780","Oas2"
"1781","Gm20083"
"1782","Gm30075"
"1783","Gm45805"
"1784","Gm21154"
"1785","Cnmd"
"1786","Gm4675"
"1787","Ccl5"
"1788","Gm48767"
"1789","Gm45623"
"1790","Gm17210"
"1791","Sis"
"1792","Slc38a11"
"1793","P2ry6"
"1794","1700047M11Rik"
"1795","Masp1"
"1796","Tmem215"
"1797","Dleu7"
"1798","Grm5"
"1799","Gnao1"
"1800","Jup"
"1801","Angpt1"
"1802","Sorbs2"
"1803","Kcnh1"
"1804","Cckbr"
"1805","Agap1"
"1806","Trim34a"
"1807","Mkrn3"
"1808","Trpm1"
"1809","Tbr1"
"1810","Mzb1"
"1811","Erbb3"
"1812","Casp4"
"1813","Arhgef25"
"1814","Flot1"
"1815","Msmo1"
"1816","Pafah1b1"
"1817","AW551984"
"1818","Vwf"
"1819","Lpgat1"
"1820","Unc5a"
"1821","Sec14l1"
"1822","Sema4g"
"1823","Phldb2"
"1824","Ndufc2"
"1825","Cx3cl1"
"1826","Pycr2"
"1827","Disp2"
"1828","Tmem59"
"1829","Phyhipl"
"1830","B230344G16Rik"
"1831","Ddn"
"1832","Gm45163"
"1833","Plxna2"
"1834","Brca1"
"1835","Zic2"
"1836","Crhbp"
"1837","Smoc1"
"1838","Tppp"
"1839","Prrx1"
"1840","D430041D05Rik"
"1841","Samd5"
"1842","Itgav"
"1843","Pcdh20"
"1844","Myh3"
"1845","Stmn2"
"1846","Serpina3n"
"1847","Rala"
"1848","Tcn2"
"1849","Sox21"
"1850","Cacna1b"
"1851","Slc11a1"
"1852","1110032F04Rik"
"1853","Gkn1"
"1854","3100002H09Rik"
"1855","Pcsk5"
"1856","Syt7"
"1857","Luzp1"
"1858","Fbxl16"
"1859","1700019D03Rik"
"1860","Gm45159"
"1861","Fibin"
"1862","Dusp14"
"1863","Arap2"
"1864","Malat1"
"1865","Atp5c1"
"1866","Ch25h"
"1867","Akap7"
"1868","Tmem200a"
"1869","D730045A05Rik"
"1870","Spry1"
"1871","Nol4"
"1872","Efhd1"
"1873","Prrg1"
"1874","Stk17b"
"1875","Hgf"
"1876","Synm"
"1877","Kif3a"
"1878","Ppargc1a"
"1879","Pitpnm2"
"1880","Crip2"
"1881","Mn1"
"1882","Gabra5"
"1883","Exph5"
"1884","Cct2"
"1885","Car5a"
"1886","Prtn3"
"1887","Zdhhc2"
"1888","Adh5"
"1889","Gpr26"
"1890","Pcdhb6"
"1891","Cd300a"
"1892","Tgm2"
"1893","Prkar1b"
"1894","Kctd8"
"1895","Pcdhb5"
"1896","Arl15"
"1897","Peg3"
"1898","D830025C05Rik"
"1899","Rasgef1c"
"1900","Pcdhb19"
"1901","Vgll3"
"1902","Lrrk1"
"1903","Prdx2"
"1904","Tchh"
"1905","Lgi3"
"1906","Gm13021"
"1907","Wnt10a"
"1908","Chd5"
"1909","Cadm3"
"1910","Vstm2a"
"1911","Zeb1"
"1912","Hspa5"
"1913","Gm14419"
"1914","Tnfsf10"
"1915","Gm42756"
"1916","4933411E02Rik"
"1917","Acvrl1"
"1918","Tmem150c"
"1919","Samd4"
"1920","Myo1b"
"1921","Nkiras1"
"1922","Itgb2"
"1923","Tnr"
"1924","Ptprs"
"1925","C5ar1"
"1926","Cebpa"
"1927","Csnk2b"
"1928","Npas1"
"1929","Ranbp3l"
"1930","Cd36"
"1931","Pcdhb3"
"1932","Ncf2"
"1933","Gm26782"
"1934","Mkx"
"1935","Trim30d"
"1936","Ctsb"
"1937","Pamr1"
"1938","Rab27b"
"1939","Echdc2"
"1940","Dlgap1"
"1941","Vgll2"
"1942","Lamc2"
"1943","Cldn10"
"1944","Ier5l"
"1945","Epha5"
"1946","Zic4"
"1947","F11r"
"1948","Gnb2"
"1949","Ppfibp1"
"1950","Ccl9"
"1951","She"
"1952","Anxa2"
"1953","Chrm3"
"1954","Camk1d"
"1955","Eva1a"
"1956","Ddc"
"1957","Ak5"
"1958","Ryr3"
"1959","Serpinb8"
"1960","Pcdhb9"
"1961","C730002L08Rik"
"1962","Macf1"
"1963","Prpf19"
"1964","Maml3"
"1965","Tle1"
"1966","Hspa12a"
"1967","Cd302"
"1968","Vdac3"
"1969","Pcgf2"
"1970","Nipal3"
"1971","Tmem40"
"1972","Hist2h3c1"
"1973","Kcnn2"
"1974","Rfx4"
"1975","Coq10b"
"1976","Tsc22d1"
"1977","Kcnj10"
"1978","Limch1"
"1979","Gm28578"
"1980","Slitrk4"
"1981","Cbx6"
"1982","Tpm1"
"1983","C3ar1"
"1984","Chml"
"1985","Ptgs1"
"1986","Hexim1"
"1987","Kank1"
"1988","Abracl"
"1989","Gm45441"
"1990","App"
"1991","Cobll1"
"1992","Psmd4"
"1993","Gm26562"
"1994","1700012B09Rik"
"1995","Prkce"
