"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tppp3",2.66610692358284e-14,0.464379149547914,0.597,0.474,5.16931471413477e-10,"L2/3-Calb1","Tppp3"
"Taz1",2.74577389244775e-14,0.327207172519865,0.7,0.667,5.32378100006694e-10,"L2/3-Calb1","Taz"
"Ube2g2",2.88305663260708e-14,0.31172186901088,0.616,0.584,5.58995850496188e-10,"L2/3-Calb1","Ube2g2"
"Slc7a141",2.90616209087661e-14,0.355198392627269,0.868,0.845,5.63475767800065e-10,"L2/3-Calb1","Slc7a14"
"Rnf144b2",2.90622653537334e-14,0.398813976676632,0.196,0.078,5.63488262943536e-10,"L2/3-Calb1","Rnf144b"
"Upp21",3.10922380884253e-14,0.330910064728056,0.63,0.586,6.02847404296479e-10,"L2/3-Calb1","Upp2"
"Vwa11",3.23763311222327e-14,0.406003824417418,0.19,0.086,6.27744684128969e-10,"L2/3-Calb1","Vwa1"
"Ccnd1",3.30076122096978e-14,0.644353535858314,0.37,0.224,6.3998459313383e-10,"L2/3-Calb1","Ccnd1"
"Atpaf12",3.38526636003354e-14,0.360362660570137,0.594,0.514,6.56369294546904e-10,"L2/3-Calb1","Atpaf1"
"Snhg20",3.60128199784118e-14,0.338481428107568,0.801,0.763,6.98252566561427e-10,"L2/3-Calb1","Snhg20"
"Zc3h18",3.6601278817116e-14,0.383517448934587,0.552,0.468,7.09662194985063e-10,"L2/3-Calb1","Zc3h18"
"Man2a1",3.86243732358394e-14,0.443406131654303,0.457,0.315,7.48887972669691e-10,"L2/3-Calb1","Man2a1"
"Specc12",3.88259298712618e-14,0.410402277015022,0.627,0.54,7.52795954273895e-10,"L2/3-Calb1","Specc1"
"Dgkz2",4.26213743564195e-14,0.328941955340798,0.975,0.933,8.26385827396617e-10,"L2/3-Calb1","Dgkz"
"Klf51",4.48889345978614e-14,0.464800468753483,0.653,0.502,8.70351552917935e-10,"L2/3-Calb1","Klf5"
"Oxa1l",4.61417533731611e-14,0.324627466707287,0.555,0.505,8.94642456152221e-10,"L2/3-Calb1","Oxa1l"
"Kcnj6",4.67249052036046e-14,0.289822360964119,0.448,0.419,9.05949186992689e-10,"L2/3-Calb1","Kcnj6"
"Dctpp1",4.78527187567566e-14,0.364180281319093,0.739,0.638,9.27816363974753e-10,"L2/3-Calb1","Dctpp1"
"Dysf",4.80183014905473e-14,0.283065591845618,0.115,0.035,9.31026847600222e-10,"L2/3-Calb1","Dysf"
"Mpp21",5.33245035714945e-14,0.346331717973131,0.905,0.863,1.03390879974771e-09,"L2/3-Calb1","Mpp2"
"Rasgef1a1",6.09580862781576e-14,0.282752170256838,1,0.993,1.1819163348472e-09,"L2/3-Calb1","Rasgef1a"
"Cacna1h2",6.25117162116842e-14,0.461708093039878,0.373,0.208,1.21203966562835e-09,"L2/3-Calb1","Cacna1h"
"Tom1l11",6.28702538765135e-14,0.430117747628728,0.389,0.26,1.21899135241172e-09,"L2/3-Calb1","Tom1l1"
"P3h32",7.05215215414475e-14,0.405692935257608,0.381,0.26,1.36734178116712e-09,"L2/3-Calb1","P3h3"
"Arglu1",7.19159901330654e-14,0.266707567327928,0.997,0.989,1.39437913269e-09,"L2/3-Calb1","Arglu1"
"Vars2",7.33542258237073e-14,0.397617262396619,0.308,0.189,1.42226508449586e-09,"L2/3-Calb1","Vars2"
"Kcns11",7.40543417113966e-14,0.391133596632701,0.283,0.174,1.43583963144227e-09,"L2/3-Calb1","Kcns1"
"Gm29100",7.50238837207767e-14,0.301396949123687,0.126,0.039,1.45463808146214e-09,"L2/3-Calb1","Gm29100"
