index,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,n_cells
Htr2b,0.0,0.0007525516,0,0.0007520207,0.00079664955,0.94397926,False,11
Gm21972,0.0,0.0012228964,0,0.0012214583,0.0013148297,0.92898595,False,22
Armc9,0.0,0.26682657,0,0.33035243,0.38466942,0.8587957,False,3796
B3gnt7,0.0,0.011899723,0,0.0127934795,0.014251504,0.8976933,False,90
Gm28626,0.0,0.0050797234,0,0.005148231,0.0058368137,0.8820276,False,85
Ncl,0.0,3.06693,0,13.917298,14.272305,0.9751262,False,9451
Ptma,0.0,14.944499,0,144.17369,238.57748,0.6043055,False,9876
Pde6d,0.0,0.6803537,0,1.0186117,1.2493651,0.8153034,False,6116
Cops7b,0.0,0.31334367,0,0.39786005,0.4627262,0.8598174,False,4142
Nppc,1.0,0.39824092,1,1.2023093,0.61898327,1.9423937,True,3948
Dis3l2,0.0,0.33704907,0,0.41151017,0.5046076,0.8155053,False,4132
Ecel1,1.0,0.011147171,1,0.023347043,0.013314051,1.7535641,True,67
Prss56,0.0,0.0021165514,0,0.0023003176,0.0023293076,0.9875543,False,23
Eif4e2,0.0,0.6121067,0,0.8276596,1.0817997,0.7650766,False,5948
Efhd1,1.0,0.16038756,1,0.42817867,0.21885231,1.9564731,True,68
Gigyf2,0.0,0.93170595,0,1.5609049,1.9634141,0.79499525,False,7316
Kcnj13,0.0,0.013357791,0,0.013838494,0.016074246,0.86091095,False,214
3110079O15Rik,0.0,0.00672593,0,0.010443942,0.007837683,1.3325291,False,107
Ngef,1.0,2.1560605,1,11.760875,7.7621174,1.5151632,True,9036
Neu2,0.0,0.042942476,0,0.050319545,0.05485964,0.91724163,False,820
Inpp5d,1.0,0.32745403,1,0.8692505,0.48753044,1.7829666,True,543
Atg16l1,0.0,0.5831805,0,0.87206703,1.0140219,0.8600082,False,6089
Sag,0.0,0.060157094,0,0.072627425,0.079062894,0.9186032,False,832
Dgkd,0.0,0.427026,0,0.60150665,0.676013,0.8897856,False,4579
Usp40,0.0,0.34603265,0,0.41981363,0.52077705,0.80612934,False,3904
Ugt1a7c,0.0,0.0023517238,0,0.002440377,0.0026019528,0.93790203,False,5
Dnajb3,0.0,0.041437373,0,0.04404956,0.052786075,0.8344921,False,650
Mroh2a,0.0,0.001881379,0,0.0018779278,0.002058787,0.91215247,False,27
Hjurp,0.0,0.47932833,0,0.65965027,0.7840563,0.84133023,False,4783
Glrp1,0.0,0.0061615165,0,0.006594207,0.007149333,0.92235273,False,3
Arl4c,1.0,0.6510512,1,3.064259,1.1764818,2.6045954,True,2458
Sh3bp4,0.0,0.16123419,0,0.24775584,0.22003892,1.1259637,False,1081
Agap1,0.0,1.1122242,0,2.4635105,2.580185,0.9547806,False,7106
Asb18,0.0,0.010911998,0,0.011357875,0.0130214235,0.87224525,False,207
Iqca,0.0,0.03457034,0,0.04673522,0.0433829,1.0772728,False,615
Ackr3,1.0,0.18122384,1,0.3429325,0.24886931,1.3779621,True,1256
Gm28723,0.0,0.013687032,0,0.013594406,0.01648733,0.82453656,False,245
Cops8,0.0,1.5298433,0,3.4570231,4.326441,0.79904556,False,8849
Col6a3,0.0,0.014627722,0,0.017612925,0.017671235,0.9967003,False,133
Mlph,0.0,0.042566203,0,0.057595372,0.054341596,1.0598763,False,34
Lrrfip1,0.0,0.5899534,0,0.8698596,1.0296867,0.8447808,False,5565
Rbm44,0.0,0.01481586,0,0.01666665,0.01790872,0.93064445,False,259
Ramp1,0.0,2.0421898,0,7.5372133,7.0741143,1.0654639,False,8470
Ube2f,0.0,0.6993086,0,1.0433998,1.2974703,0.8041801,False,6630
Gm26683,0.0,0.00028220686,0,0.00028214048,0.0002900833,0.9726189,False,5
Scly,0.0,0.17186397,0,0.18758275,0.23512726,0.79779243,False,2184
Espnl,0.0,0.003762758,0,0.0038428495,0.004259369,0.902211,False,74
Klhl30,0.0,0.0007995861,0,0.0007989843,0.0008480966,0.94209117,False,8
Erfe,0.0,0.012793378,0,0.015452502,0.015367477,1.0055329,False,241
Ilkap,0.0,0.888105,0,1.4770838,1.8276546,0.8081854,False,7130
Hes6,0.0,0.3215277,0,0.43781924,0.47707152,0.9177224,False,3754
Per2,0.0,0.17407459,0,0.23277281,0.2383278,0.97669184,False,2507
Traf3ip1,0.0,0.15794177,0,0.18323761,0.21543126,0.8505618,False,2263
Asb1,0.0,0.24782465,0,0.32037684,0.35342857,0.9064826,False,3256
Gm29100,0.0,0.021588825,0,0.02498075,0.0263983,0.94630146,False,411
Twist2,0.0,0.04948027,0,0.059357796,0.06389821,0.928943,False,906
Hdac4,0.0,0.80160856,0,1.5155778,1.5739746,0.96289855,False,7128
Gm26720,1.0,0.031889375,1,0.06511661,0.03980623,1.6358395,True,536
