"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fstl11",1.04131314632718e-37,0.273290966120737,0.645,0.477,2.01952271598692e-33,"1","Fstl1"
"Ercc1",1.12398414208382e-37,0.252803505456909,0.468,0.294,2.17985484515737e-33,"1","Ercc1"
"Iqcb1",1.81303724480905e-37,0.254484120105613,0.699,0.545,3.51620443258268e-33,"1","Iqcb1"
"Lrrc571",3.18256115044767e-37,0.251270271308034,0.726,0.569,6.17225909517821e-33,"1","Lrrc57"
"Trap1",1.37654274322653e-36,0.250129072601624,0.466,0.291,2.66966699621353e-32,"1","Trap1"
"Babam2",1.69352837695929e-36,0.25622302866605,0.68,0.518,3.28442893427485e-32,"1","Babam2"
"barcode4",2.15391300749794e-36,0.570573812787517,0.267,0.144,4.1772988867415e-32,"1","barcode4"
"Mageh1",2.49602669044941e-35,0.254322848704731,0.669,0.497,4.84079416345758e-31,"1","Mageh1"
"Cnnm4",3.89185010027702e-35,0.256834983091096,0.476,0.309,7.54785408447725e-31,"1","Cnnm4"
"Sf3a3",9.49064981190452e-35,0.258396260103656,0.537,0.374,1.84061662452076e-30,"1","Sf3a3"
"Nefl",3.46980180159411e-34,0.253235096572461,0.96,0.905,6.72933361401161e-30,"1","Nefl"
"Porcn",4.72383357813119e-33,0.250273444492921,0.607,0.45,9.16140284142763e-29,"1","Porcn"
"Gm474231",9.22926682903715e-33,0.282018707165321,0.391,0.243,1.78992400882346e-28,"1","Gm47423"
"Ift74",1.66829050855415e-32,0.256856364618966,0.563,0.396,3.23548261228992e-28,"1","Ift74"
"Gpr19",4.47154112126498e-32,0.290075963697106,0.4,0.259,8.67210685058129e-28,"1","Gpr19"
"Egr31",5.14385618690861e-32,0.395807281341386,0.948,0.928,9.97599468889055e-28,"1","Egr3"
"Mpp1",5.59730387125178e-32,0.260139432253644,0.509,0.355,1.08554111279057e-27,"1","Mpp1"
"Kdm6b",1.00500956826897e-31,0.283688958677979,0.591,0.439,1.94911555670085e-27,"1","Kdm6b"
"Tppp3",4.60368124488078e-30,0.282945000729037,0.589,0.457,8.92837940632178e-26,"1","Tppp3"
"P4ha11",9.74619535155691e-30,0.305748161766438,0.83,0.744,1.89017712648095e-25,"1","P4ha1"
"Igfbp31",8.79100485146775e-29,0.250648254140705,0.428,0.286,1.70492748089366e-24,"1","Igfbp3"
"Fbxo331",9.53556319412405e-28,0.265981002620262,0.875,0.81,1.84932712586842e-23,"1","Fbxo33"
