,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,n_cells
Traf3ip1,0.0,0.26786608,0,0.29209507,0.3147916,0.9278998,False,2191
Asb1,0.0,0.42208895,0,0.48425815,0.5093198,0.95079386,False,3146
Gm29100,0.0,0.044877563,0,0.051064573,0.054499418,0.93697464,False,399
Twist2,0.0,0.10214893,0,0.11791322,0.12316498,0.9573599,False,871
Hdac4,0.0,1.4691654,0,1.9983745,2.1630201,0.9238816,False,6864
Gm26720,1.0,0.059670165,1,0.12868622,0.07260403,1.772439,True,527
Ndufa10,0.0,4.4327836,0,11.259301,10.233155,1.1002766,False,8937
Cops9,0.0,5.4627686,0,11.315612,14.1012535,0.80245435,False,9149
Otos,0.0,0.0012993503,0,0.0012977917,0.0013742492,0.9443642,False,10
Gm29483,0.0,0.016191904,0,0.01693092,0.019210298,0.88134605,False,150
Gpc1,0.0,1.0274862,0,1.6039026,1.3873525,1.1560887,False,5450
Gm29480,0.0,0.014692654,0,0.014678147,0.017339814,0.8464996,False,140
Ankmy1,0.0,0.04617691,0,0.04864717,0.056098968,0.8671669,False,422
Dusp28,0.0,0.6441779,0,0.7156411,0.81019294,0.8832971,False,4416
5033417F24Rik,0.0,0.04537731,0,0.045121823,0.05511465,0.8186902,False,426
Rnpepl1,0.0,0.54802597,0,0.6103732,0.67692196,0.9016892,False,3879
9430060I03Rik,0.0,0.107746124,0,0.11613851,0.12961656,0.896016,False,946
Capn10,0.0,0.6647676,0,0.7340694,0.8393813,0.87453634,False,4541
Gpr35,0.0,0.0024987506,0,0.0024927561,0.0027083645,0.9203916,False,21
Kif1a,0.0,8.542829,0,30.27498,28.722612,1.0540469,False,9309
Sned1,0.0,0.004197901,0,0.0049803765,0.004645211,1.0721529,False,24
Mterf4,0.0,0.32233882,0,0.341809,0.38162926,0.89565724,False,2583
Gm28535,0.0,0.013993003,0,0.014198419,0.016468074,0.86217844,False,135
Pask,0.0,0.06906547,0,0.071299054,0.08402786,0.8485169,False,632
Ppp1r7,0.0,2.369615,0,4.0664897,4.0951495,0.9930015,False,7954
Ano7,0.0,0.0003998001,0,0.0003996802,0.00040641014,0.9834406,False,4
Hdlbp,0.0,1.8156922,0,2.5623887,2.8534057,0.8980107,False,7552
Sept2,0.0,0.08465767,0,0.08609506,0.10281708,0.8373614,False,774
Farp2,0.0,0.14592704,0,0.14583632,0.17308752,0.84255826,False,1309
Stk25,0.0,5.0028987,0,10.465905,12.310062,0.8501911,False,9113
Bok,1.0,1.163918,1,3.838582,1.6141852,2.3780305,True,4222
Thap4,0.0,0.3312344,0,0.34249192,0.39274767,0.8720406,False,2688
Atg4b,0.0,0.743928,0,0.85905075,0.9537742,0.9006856,False,4827
Dtymk,0.0,1.3369316,0,1.6448624,1.9178436,0.85766244,False,6730
Ing5,0.0,0.30024987,0,0.32827362,0.3542396,0.9266994,False,2408
D2hgdh,0.0,0.14922538,0,0.15755762,0.17679065,0.89121014,False,1298
Gal3st2b,0.0,0.0008995502,0,0.0008988309,0.0009392283,0.9569887,False,9
Gal3st2c,0.0,0.008695652,0,0.00922066,0.0099527165,0.9264465,False,82
Neu4,1.0,0.0155922035,1,0.042139906,0.018462336,2.2824798,True,33
Pdcd1,0.0,0.00049975014,0,0.0004995503,0.0005116268,0.97639596,False,5
Fam174a,0.0,3.6857572,0,5.3334684,7.7545342,0.6877871,False,8958
St8sia4,0.0,0.10334832,0,0.13985784,0.124546334,1.1229383,False,796
Slco4c1,0.0,0.11444278,0,0.12334696,0.13738114,0.8978449,False,1002
Panct2,0.0,0.10704648,0,0.11438957,0.12880898,0.88805586,False,956
D1Ertd622e,0.0,1.5928036,0,2.5918715,2.4011967,1.0794083,False,6843
Ppip5k2,0.0,0.45747125,0,0.5223065,0.5556699,0.9399582,False,3329
Gin1,0.0,0.5858071,0,0.6289069,0.728644,0.86311954,False,4177
Pam,1.0,1.3213394,1,3.0243797,1.889659,1.6004896,True,5747
Gm7967,0.0,0.0013993003,0,0.0017973221,0.0014837629,1.211327,False,8
Cntnap5b,0.0,0.06816592,0,0.07292192,0.082935356,0.8792621,False,610
Gm28187,1.0,0.00049975014,1,0.00069947034,0.0005116268,1.3671496,True,4
Cdh20,0.0,0.022188906,0,0.025697127,0.026621858,0.96526426,False,186
Rnf152,1.0,1.7190405,1,6.4495425,2.6536217,2.4304678,True,4708
Gm17634,0.0,0.052973513,0,0.06516634,0.06444675,1.0111657,False,449
Pign,0.0,0.2005997,0,0.21255462,0.23549566,0.902584,False,1700
2310035C23Rik,0.0,1.6529735,0,2.0674853,2.520264,0.8203448,False,7439
Tnfrsf11a,0.0,0.08075962,0,0.088839084,0.09815715,0.9050699,False,705
Gm7160,0.0,0.045777112,0,0.046684735,0.055606823,0.8395505,False,427
Zcchc2,0.0,0.45247376,0,0.5510447,0.54909164,1.0035568,False,3254
Phlpp1,0.0,0.49435282,0,0.5586696,0.6045985,0.92403406,False,3575
A530053M12Rik,0.0,0.0017991004,0,0.0017960432,0.0019247604,0.93312556,False,18
Bcl2,1.0,1.4490755,1,3.3625853,2.1250973,1.5823207,True,5789
Kdsr,0.0,1.2652674,0,1.6141524,1.7896684,0.9019282,False,6497
Vps4b,0.0,0.95572215,0,1.0976994,1.273566,0.8619101,False,5701
Serpinb8,1.0,0.14452773,1,0.21481536,0.17152019,1.2524202,True,1064
Cdh7,1.0,0.28765616,1,0.49081624,0.33878717,1.448745,True,1889
Cdh19,0.0,0.0021989006,0,0.0023942047,0.0023709696,1.0097998,False,10
Gm29088,0.0,0.019790106,0,0.020599917,0.023664052,0.87051517,False,184
Dsel,0.0,0.74532735,0,0.9845156,0.9558169,1.0300252,False,4628
Cntnap5a,1.0,0.5948026,1,1.7254428,0.7410842,2.328268,True,2578
Tsn,0.0,3.9265368,0,7.3843465,8.5234995,0.86635154,False,8928
Nifk,0.0,0.64887553,0,0.694872,0.81683266,0.85069084,False,4509
Clasp1,0.0,2.0051973,0,3.2632678,3.2599754,1.00101,False,7668
2900060B14Rik,1.0,0.56371814,1,1.380111,0.6983076,1.9763653,True,3097
Tfcp2l1,0.0,0.004897551,0,0.0054738126,0.005451161,1.0041554,False,44
Inhbb,0.0,0.056271862,0,0.082898736,0.06847298,1.210678,False,413
Ralb,0.0,0.26196903,0,0.3043162,0.30771387,0.98895836,False,2063
Gm27184,0.0,0.0027986006,0,0.0027910476,0.0030473438,0.91589516,False,27
Tmem185b,0.0,0.1872064,0,0.19355881,0.220158,0.87918144,False,1612
3830432H09Rik,0.0,0.00029985007,0,0.00029979012,0.00030216397,0.99214387,False,3
Epb41l5,0.0,0.07446277,0,0.08411887,0.090568945,0.9287828,False,645
Ptpn4,0.0,2.148126,0,3.602207,3.5789068,1.0065104,False,7755
Tmem177,0.0,0.16091955,0,0.1696241,0.190091,0.89233106,False,1411
Cfap221,0.0,0.0021989006,0,0.0021942847,0.0023709696,0.9254799,False,21
Tmem37,0.0,0.005197401,0,0.006370425,0.0057985,1.0986334,False,16
Dbi,1.0,1.7183409,1,3.4772375,2.6521955,1.3110789,True,7152
3110009E18Rik,0.0,0.09575213,0,0.10558471,0.11578836,0.9118767,False,862
Steap3,0.0,0.0012993503,0,0.0012977917,0.0013742492,0.9443642,False,7
C1ql2,1.0,0.0058970517,1,0.015658943,0.006616365,2.3666987,True,26
Celrr,0.0,0.0007996002,0,0.0007990407,0.00083149207,0.96097213,False,3
Insig2,0.0,1.5872064,0,2.0588927,2.39024,0.8613749,False,7184
Ccdc93,0.0,0.17761119,0,0.18606406,0.2092204,0.8893209,False,1522
Htr5b,0.0,0.008595702,0,0.009122428,0.009831529,0.92787474,False,74
Ddx18,0.0,0.4661669,0,0.50797653,0.5671437,0.8956753,False,3473
Dpp10,0.0,3.4653673,0,6.653064,7.074942,0.94037,False,8608
Gm28928,0.0,0.38570714,0,0.4762651,0.462099,1.030656,False,2831
1700121L03Rik,0.0,0.0028985508,0,0.003090358,0.0031605363,0.9777954,False,27
Actr3,0.0,5.535332,0,10.978484,14.393293,0.76275,False,9193
Slc35f5,0.0,0.4313843,0,0.48721963,0.52144897,0.9343573,False,3220
Gpr39,0.0,0.0032983508,0,0.0034877204,0.003614444,0.9649396,False,31
Lypd1,1.0,3.638181,1,61.90686,7.605814,8.139413,True,5345
Nckap5,0.0,0.13613193,0,0.1715902,0.16213298,1.05833,False,1072
Mgat5,1.0,1.2526736,1,3.3107998,1.7675067,1.873147,True,4959
Tmem163,1.0,0.085157424,1,0.16587824,0.10341005,1.6040823,True,554
2900009J06Rik,0.0,0.12303848,0,0.12930225,0.147353,0.87749994,False,1092
Ccnt2,0.0,2.2890556,0,3.0289936,3.904203,0.7758289,False,8236
Map3k19,0.0,0.0031984008,0,0.0033884097,0.0035007624,0.96790624,False,31
Rab3gap1,0.0,1.8725637,0,2.652391,2.9734316,0.8920303,False,7598
Zranb3,0.0,0.13063468,0,0.13857062,0.1559674,0.88845885,False,1138
Gm28800,0.0,0.023088455,0,0.025956275,0.027730914,0.936005,False,210
R3hdm1,1.0,10.8077965,1,98.95836,42.324303,2.3380976,True,9268
Ubxn4,0.0,1.6244878,0,2.6261697,2.463605,1.0659865,False,7001
Lct,0.0,0.0058970517,0,0.0064626224,0.006616365,0.97676325,False,50
Mcm6,0.0,0.07666167,0,0.08358662,0.09322496,0.896612,False,683
Dars,0.0,0.8765617,0,1.0454372,1.1507473,0.9084855,False,5315
Cxcr4,0.0,0.014492754,0,0.018682383,0.017090542,1.0931416,False,113
Thsd7b,1.0,0.3898051,1,0.61732906,0.46739596,1.320784,True,2461
Gm15675,0.0,0.0068965517,0,0.007049594,0.007798922,0.90391904,False,66
Cd55,0.0,0.07866067,0,0.10306818,0.09563399,1.0777358,False,642
Gm16083,0.0,0.015192403,0,0.0153629305,0.017963381,0.855236,False,149
Zp3r,0.0,0.0003998001,0,0.0003996802,0.00040641014,0.9834406,False,4
C4bp,0.0,0.0036981509,0,0.004484523,0.00407094,1.101594,False,31
Gm29427,0.0,0.0057971017,0,0.0057640714,0.0064989035,0.8869298,False,55
Pfkfb2,0.0,0.31254372,0,0.33383405,0.3694424,0.90361595,False,2503
Yod1,0.0,1.2605697,0,1.5735401,1.7813892,0.8833218,False,6505
AA986860,0.0,0.026586706,0,0.027681721,0.032047253,0.8637783,False,249
Pigr,0.0,0.0072963517,0,0.00824344,0.00827485,0.99620396,False,67
Fcmr,0.0,0.018290855,0,0.020756975,0.021813603,0.95156103,False,167
Il19,0.0,0.0009995003,0,0.0009986011,0.0010474215,0.95338994,False,10
Mapkapk2,0.0,0.36681658,0,0.42080998,0.43779585,0.9612014,False,2789
Dyrk3,0.0,0.12643678,0,0.13585141,0.15122525,0.89833814,False,1109
Eif2d,0.0,0.4109945,0,0.4436216,0.4948809,0.89642096,False,3157
Rassf5,0.0,0.6050975,0,0.77896243,0.75538725,1.0312093,False,3989
Ikbke,0.0,0.004797601,0,0.0049749813,0.005335712,0.9323932,False,44
Gm28913,0.0,0.028285857,0,0.029087875,0.034139663,0.85202587,False,264
Srgap2,0.0,1.2291855,0,1.5641221,1.7264531,0.9059743,False,6354
Fam72a,0.0,0.04617691,0,0.04644805,0.056098968,0.82796615,False,438
Rab7b,0.0,0.00029985007,0,0.00029979012,0.00030216397,0.99214387,False,3
Slc26a9,0.0,0.0018990504,0,0.0018956335,0.0020358346,0.93113333,False,19
Pm20d1,0.0,0.0027986006,0,0.0031908876,0.0030473438,1.0471046,False,23
Slc41a1,0.0,0.34332833,0,0.43739176,0.40793622,1.0722063,False,2520
Rab29,0.0,0.032983508,0,0.033098307,0.039904006,0.8294482,False,316
Nucks1,0.0,8.232084,0,20.541494,27.04333,0.7595771,False,9267
Elk4,0.0,0.38560718,0,0.4198648,0.46196988,0.90885746,False,2982
Mfsd4a,0.0,2.015892,0,3.3677003,3.283467,1.0256537,False,7579
Gm26892,0.0,0.015792103,0,0.015544267,0.018711751,0.8307222,False,150
Cdk18,0.0,0.9561219,0,1.5029726,1.2741911,1.1795504,False,5173
Gm29629,0.0,0.0020989506,0,0.0020947543,0.0022589706,0.92730474,False,21
Lemd1,0.0,0.1812094,0,0.22295755,0.21332166,1.0451708,False,1458
Klhdc8a,1.0,0.37731135,1,0.85632247,0.45127216,1.8975743,True,2042
Nuak2,0.0,0.020489756,0,0.024070332,0.024526961,0.98138255,False,159
Tmcc2,0.0,0.66156924,0,0.9388318,0.83483225,1.1245754,False,4053
Dstyk,0.0,1.051874,0,1.4712193,1.426972,1.0310078,False,5696
Rbbp5,0.0,0.5670165,0,0.6189839,0.7028194,0.8807155,False,4038
Tmem81,0.0,0.055772115,0,0.05826461,0.06786441,0.8585444,False,505
Cntn2,0.0,0.5738131,0,0.8191462,0.71213603,1.1502665,False,3689
Nfasc,0.0,2.5628185,0,4.405215,4.56846,0.9642669,False,8204
Gm10538,0.0,0.00069965015,0,0.0006992305,0.0007242733,0.9654236,False,6
Lrrn2,0.0,1.1367316,0,1.4799031,1.5681539,0.9437232,False,6077
Mdm4,0.0,0.806097,0,0.90921915,1.0448431,0.87019676,False,5070
Pik3c2b,0.0,0.072363816,0,0.07433113,0.088028446,0.8443989,False,649
Ppp1r15b,0.0,0.48805597,0,0.5727532,0.59619385,0.9606828,False,3480
Plekha6,0.0,1.0581709,0,1.7103304,1.4372997,1.1899608,False,5458
Golt1a,0.0,0.013393303,0,0.013815003,0.01572317,0.87863976,False,127
Etnk2,1.0,0.1754123,1,0.29819587,0.20671248,1.4425634,True,1164
Sox13,0.0,0.0027986006,0,0.0027910476,0.0030473438,0.91589516,False,14
Snrpe,0.0,2.867866,0,3.947553,5.3620005,0.7362089,False,8654
Gm26706,0.0,0.0026986506,0,0.002691637,0.002934228,0.91732377,False,26
Zc3h11a,0.0,0.098150924,0,0.09972169,0.11855823,0.84111995,False,886
Gm38394,0.0,0.027586207,0,0.02802741,0.033278733,0.8422018,False,254
Lax1,0.0,0.027986007,0,0.03060415,0.033770796,0.9062312,False,254
Atp2b4,1.0,8.229785,1,43.25417,27.031075,1.6001647,True,8973
