"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fhod33",1.1746619014406e-10,0.334103100574529,0.623,0.468,2.16384468864374e-06,"AI","Fhod3"
"Zdhhc81",1.31557939924779e-10,0.265003992210503,0.877,0.774,2.42342881135436e-06,"AI","Zdhhc8"
"Rassf32",1.63238981514038e-10,0.357596579916888,0.419,0.235,3.00702527847009e-06,"AI","Rassf3"
"Fras15",1.6696153034296e-10,0.278363889282816,0.585,0.372,3.07559835044766e-06,"AI","Fras1"
"Exph5",1.73947172156175e-10,0.315363487889046,0.323,0.151,3.2042808582889e-06,"AI","Exph5"
"Vstm2b2",1.96131897845872e-10,0.3630527327612,0.685,0.535,3.61294569021882e-06,"AI","Vstm2b"
"Ddit4l",1.99617464585635e-10,0.342913567613305,0.104,0.019,3.67715331513199e-06,"AI","Ddit4l"
"Nell13",2.06843608327596e-10,0.334812946642895,0.492,0.289,3.81026610900265e-06,"AI","Nell1"
"Pou3f22",2.07552486521197e-10,0.421012342843217,0.45,0.269,3.82332435420697e-06,"AI","Pou3f2"
"Glcci1",2.37822704652032e-10,0.252078131065653,0.442,0.343,4.38093204239508e-06,"AI","Glcci1"
"Plxna44",2.39910586686896e-10,0.319200599422464,0.819,0.745,4.41939291735932e-06,"AI","Plxna4"
"Tmcc23",2.76955747193937e-10,0.292366803077003,0.646,0.516,5.10180181905951e-06,"AI","Tmcc2"
"Kctd44",2.96896762896337e-10,0.296721822460378,0.742,0.543,5.46913526931342e-06,"AI","Kctd4"
"Tnnc12",3.2088651040052e-10,0.532458704544504,0.319,0.242,5.91105040808797e-06,"AI","Tnnc1"
"Tpcn1",3.35154965158391e-10,0.273099116768133,0.419,0.29,6.17388961318272e-06,"AI","Tpcn1"
"Lrp1b1",3.47679954253185e-10,0.311685539500426,0.969,0.946,6.40461243729793e-06,"AI","Lrp1b"
"Pam3",4.17505668682e-10,0.268157251405717,0.796,0.646,7.69087192279112e-06,"AI","Pam"
"Nebl5",4.48228502326838e-10,0.305801714341373,0.7,0.512,8.25681724136269e-06,"AI","Nebl"
"Cflar4",4.54421935581397e-10,0.361643221386841,0.512,0.354,8.37090647534492e-06,"AI","Cflar"
"Edil34",4.62214575229599e-10,0.316603477797831,0.785,0.607,8.51445469030445e-06,"AI","Edil3"
"Ttc283",5.23005833290465e-10,0.324489348512228,0.45,0.257,9.63429045504366e-06,"AI","Ttc28"
"Rxfp14",6.0663545489399e-10,0.501976495610554,0.546,0.384,1.11748317146022e-05,"AI","Rxfp1"
"Prkg21",6.56320371750094e-10,0.268421905015153,0.227,0.092,1.20900775680085e-05,"AI","Prkg2"
"Gria42",6.61909601168314e-10,0.289108241508838,0.712,0.606,1.21930367631215e-05,"AI","Gria4"
"Gucy1a14",6.71181256847421e-10,0.283474699696528,0.715,0.516,1.23638299323863e-05,"AI","Gucy1a1"
"Hs6st1",7.17304331056784e-10,0.290462199635473,0.6,0.434,1.3213463082397e-05,"AI","Hs6st1"
"Gm11549",7.57977287632841e-10,0.32986698079541,0.608,0.491,1.39626996154846e-05,"AI","Gm11549"
"Tspan173",7.75772247186789e-10,0.29046089820148,0.792,0.648,1.42905005654278e-05,"AI","Tspan17"
"Trhde",7.96829425474992e-10,0.299143753868904,0.431,0.242,1.46783948466748e-05,"AI","Trhde"
"Car42",8.07037535659923e-10,0.292927242600081,0.346,0.172,1.48664384443914e-05,"AI","Car4"
"Ptpn51",8.17480388695644e-10,0.255664902594166,0.931,0.892,1.50588062401625e-05,"AI","Ptpn5"
"Osbp22",8.1858054612949e-10,0.302678190266905,0.765,0.681,1.50790722402513e-05,"AI","Osbp2"
