"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.7589,0.4033,0.931,0.1324,0.2318,0.0752,0.176,50
0.7558,0.66,0.8276,0.1983,0.32,0.1944,0.2829,100
0.7246,0.6,0.7931,0.1679,0.2771,0.1399,0.2209,200
0.5194,0.17,1,0.1043,0.1889,0.0168,0.092,2
0.6977,0.17,1,0.1043,0.1889,0.0168,0.092,5
0.6903,0.17,1,0.1043,0.1889,0.0168,0.092,10
0.7333,0.36,0.931,0.1244,0.2195,0.059,0.1519,20
0.7363,0.27,0.9655,0.1138,0.2036,0.0371,0.1239,50
0.7142,0.5267,0.8621,0.1534,0.2604,0.1152,0.2093,100
0.7319,0.5,0.8966,0.1503,0.2574,0.1101,0.2118,200
0.5588,0.16,1,0.1,0.1818,0.0146,0.0857,2
0.5738,0.1633,1,0.1004,0.1824,0.0154,0.088,5
0.6895,0.18,1,0.1022,0.1854,0.0193,0.0988,10
0.7365,0.3733,0.9286,0.1226,0.2167,0.062,0.1564,20
0.7098,0.6667,0.6786,0.1727,0.2754,0.1487,0.2077,50
0.7361,0.6967,0.7143,0.1942,0.3053,0.1859,0.2507,100
0.6552,0.5267,0.7143,0.1299,0.2198,0.0734,0.129,200
0.582,0.1533,0.96,0.0866,0.1589,0.0072,0.0416,2
0.5924,0.16,0.96,0.0873,0.16,0.0085,0.0473,5
0.699,0.17,0.96,0.0882,0.1616,0.0106,0.0553,10
0.7214,0.2333,0.96,0.0949,0.1727,0.0247,0.0968,20
0.7317,0.24,0.96,0.0956,0.1739,0.0263,0.1006,50
0.7515,0.5633,0.88,0.1467,0.2514,0.1267,0.2291,100
0.7084,0.52,0.84,0.1304,0.2258,0.0953,0.1834,200
0.5563,0.84,0.0312,0.0556,0.04,-0.0399,-0.0418,2
0.6776,0.7933,0.1875,0.1429,0.1622,0.0467,0.0473,5
0.7186,0.8067,0.4062,0.25,0.3095,0.2045,0.2126,10
0.7194,0.77,0.625,0.2597,0.367,0.2546,0.2914,20
0.7072,0.6,0.7188,0.1716,0.2771,0.1267,0.1891,50
0.7324,0.6867,0.625,0.1961,0.2985,0.1625,0.2079,100
