"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.6475,0.6567,0.6875,0.2727,0.3905,0.2094,0.2528,1000
0.4776,0.5067,0.4375,0.1479,0.2211,-0.0238,-0.0313,2000
0.4499,0.6567,0.1458,0.1014,0.1197,-0.0851,-0.0873,5000
0.5237,0.77,0.125,0.1818,0.1481,0.0204,0.0209,2
0.6711,0.7367,0.2917,0.2373,0.2617,0.1035,0.1043,5
0.7331,0.6933,0.5625,0.2755,0.3699,0.1975,0.2195,10
0.7304,0.7233,0.6875,0.3267,0.443,0.2887,0.324,20
0.7772,0.7133,0.7708,0.3304,0.4625,0.3073,0.3587,50
0.8018,0.72,0.7708,0.3364,0.4684,0.316,0.366,100
0.7883,0.73,0.75,0.3429,0.4706,0.3216,0.366,200
0.7918,0.72,0.7917,0.3393,0.475,0.3235,0.3775,300
0.7815,0.68,0.7917,0.3065,0.4419,0.2745,0.3353,400
0.7642,0.66,0.8958,0.3071,0.4574,0.2877,0.3754,500
0.5626,0.4067,0.7917,0.1845,0.2992,0.0536,0.0988,1000
0.5185,0.49,0.5625,0.1698,0.2609,0.02,0.0284,2000
0.501,0.7,0.2083,0.1613,0.1818,0.0018,0.0018,5000
0.5391,0.1967,0.9744,0.1367,0.2397,0.0152,0.0707,2
0.7363,0.4167,0.9231,0.1731,0.2915,0.0929,0.1926,5
0.7458,0.6467,0.7692,0.2362,0.3614,0.2029,0.2706,10
0.7636,0.57,0.8462,0.2115,0.3385,0.1647,0.2524,20
0.787,0.7567,0.7179,0.3111,0.4341,0.3087,0.3526,50
0.7652,0.7267,0.7436,0.2871,0.4143,0.2791,0.3329,100
0.6945,0.5167,0.7436,0.1768,0.2857,0.0958,0.1529,200
0.7186,0.7467,0.7436,0.3053,0.4328,0.3047,0.3548,300
0.7127,0.6467,0.7436,0.232,0.3537,0.1939,0.2563,400
0.5407,0.3933,0.7179,0.1407,0.2353,0.0229,0.0447,500
0.491,0.4333,0.5641,0.1257,0.2056,-0.0089,-0.0151,1000
0.4579,0.55,0.3333,0.1066,0.1615,-0.0442,-0.0577,2000
0.4856,0.75,0.1282,0.1087,0.1176,-0.0268,-0.027,5000
0.493,0.7967,0.0426,0.1111,0.0615,-0.0276,-0.0317,2
0.7275,0.6933,0.6383,0.2857,0.3947,0.2275,0.2605,5
0.7445,0.7067,0.6383,0.297,0.4054,0.2437,0.2751,10
0.803,0.7233,0.8511,0.3448,0.4908,0.3447,0.411,20
0.8287,0.6733,0.8723,0.3083,0.4556,0.2915,0.3722,50
0.8366,0.72,0.8936,0.3471,0.5,0.3543,0.4308,100
0.8268,0.7367,0.8936,0.3621,0.5153,0.3763,0.4487,200
