"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.6805,0.4867,0.7857,0.1294,0.2222,0.0738,0.1418,500
0.4919,0.4433,0.5357,0.0888,0.1523,-0.0093,-0.0179,1000
0.4334,0.6433,0.1786,0.0562,0.0855,-0.0659,-0.0829,2000
0.5087,0.8933,0.0357,0.1667,0.0588,0.0268,0.036,5000
0.4487,0.89,0,0,0,0,0,2
0.7268,0.8267,0.2727,0.2432,0.2571,0.1594,0.1597,5
0.7264,0.7767,0.4848,0.2424,0.3232,0.2069,0.2248,10
0.7752,0.78,0.6667,0.2857,0.4,0.2908,0.33,20
0.7405,0.75,0.6364,0.25,0.359,0.2387,0.279,50
0.7768,0.4933,0.8485,0.16,0.2692,0.1032,0.1891,100
0.6667,0.3667,0.7879,0.1244,0.2149,0.0307,0.0698,200
0.5789,0.34,0.8485,0.1267,0.2205,0.0359,0.0893,300
0.586,0.3467,0.8788,0.1312,0.2283,0.0457,0.1134,400
0.587,0.3933,0.8182,0.133,0.2288,0.0488,0.1064,500
0.486,0.4633,0.5152,0.1049,0.1744,-0.0103,-0.0175,1000
0.4765,0.73,0.1515,0.0862,0.1099,-0.0353,-0.0372,2000
0.4831,0.86,0,0,0,-0.0495,-0.0618,5000
0.5408,0.1733,1,0.0982,0.1788,0.0178,0.0948,2
0.6961,0.25,1,0.1071,0.1935,0.037,0.1373,5
0.7279,0.26,1,0.1084,0.1957,0.0397,0.1423,10
0.7037,0.25,0.8889,0.0976,0.1758,0.0163,0.0564,20
0.6906,0.2967,0.8519,0.1,0.179,0.0213,0.0633,50
0.7052,0.4133,0.8519,0.1179,0.2072,0.0583,0.1331,100
0.7059,0.6533,0.7407,0.1709,0.2778,0.1541,0.2261,200
0.6924,0.6,0.7037,0.145,0.2405,0.1073,0.1693,300
0.6583,0.4167,0.7778,0.1105,0.1935,0.0427,0.0943,400
0.5486,0.3767,0.7407,0.1,0.1762,0.0209,0.0494,500
0.5511,0.4867,0.6296,0.1056,0.1809,0.0316,0.0586,1000
0.4866,0.7033,0.2222,0.0811,0.1188,-0.0151,-0.0178,2000
0.4799,0.8733,0,0,0,-0.055,-0.0614,5000
0.5137,0.2167,0.8621,0.0977,0.1754,0.0022,0.0081,2
0.7232,0.6767,0.5862,0.1667,0.2595,0.1283,0.17,5
0.7342,0.73,0.5862,0.1977,0.2957,0.1766,0.2167,10
0.7207,0.6967,0.5862,0.1771,0.272,0.1451,0.1867,20
0.7222,0.6933,0.6207,0.1818,0.2812,0.1549,0.2022,50
0.7246,0.6967,0.6552,0.19,0.2946,0.1702,0.2233,100
0.6638,0.66,0.6207,0.1651,0.2609,0.1277,0.175,200
0.6507,0.6733,0.6207,0.1714,0.2687,0.1381,0.1857,300
0.6457,0.66,0.5862,0.1589,0.25,0.1155,0.1568,400
0.6441,0.67,0.5862,0.1635,0.2556,0.1231,0.1647,500
0.6011,0.6267,0.5862,0.1453,0.2329,0.0922,0.1316,1000
0.5473,0.7967,0.2414,0.1522,0.1867,0.0772,0.0799,2000
0.5006,0.8767,0.0345,0.1,0.0513,0.0018,0.0021,5000
0.6642,0.8033,0.2581,0.1818,0.2133,0.1048,0.1069,2
0.6312,0.6233,0.4516,0.1273,0.1986,0.0445,0.0598,5
0.7369,0.7733,0.4839,0.2239,0.3061,0.192,0.2124,10
0.7574,0.7367,0.6774,0.2333,0.3471,0.2285,0.2796,20
0.7502,0.7567,0.6774,0.25,0.3652,0.2524,0.3005,50
0.7245,0.71,0.6452,0.2083,0.315,0.1881,0.2366,100
0.6399,0.42,0.7742,0.1257,0.2162,0.0467,0.0971,200
0.6433,0.4233,0.7742,0.1263,0.2172,0.0481,0.0992,300
0.627,0.42,0.8065,0.1295,0.2232,0.0549,0.1156,400
0.5954,0.38,0.8065,0.122,0.2119,0.0394,0.0898,500
0.5313,0.5433,0.5161,0.1159,0.1893,0.0248,0.0382,1000
0.4753,0.75,0.129,0.0769,0.0964,-0.038,-0.0397,2000
0.5031,0.8767,0.0323,0.125,0.0513,0.0093,0.0118,5000
0.5053,0.8633,0.0714,0.1176,0.0889,0.0198,0.0205,2
0.6534,0.8333,0.3214,0.225,0.2647,0.174,0.1775,5
0.7197,0.8,0.4643,0.2241,0.3023,0.2018,0.2201,10
0.6897,0.7167,0.6429,0.1935,0.2975,0.1799,0.2309,20
0.7251,0.6367,0.7143,0.1653,0.2685,0.1377,0.2034,50
0.6959,0.67,0.6786,0.1743,0.2774,0.1513,0.2103,100
0.5834,0.35,0.75,0.1005,0.1772,0.0151,0.0372,200
0.5613,0.3967,0.7143,0.1036,0.181,0.0215,0.0475,300
0.5729,0.4867,0.6429,0.1111,0.1895,0.0361,0.0662,400
0.5791,0.52,0.6429,0.1184,0.2,0.0503,0.0874,500
0.5735,0.5767,0.5714,0.1221,0.2013,0.0561,0.0872,1000
0.5134,0.7567,0.2143,0.1053,0.1412,0.0183,0.0199,2000
0.4958,0.87,0.0357,0.0769,0.0488,-0.0111,-0.012,5000
0.5692,0.87,0.069,0.1429,0.093,0.0321,0.0346,2
0.6873,0.8467,0.1379,0.16,0.1481,0.0644,0.0646,5
0.7766,0.83,0.3103,0.225,0.2609,0.1676,0.1703,10
0.7439,0.7333,0.7586,0.2316,0.3548,0.2427,0.3108,20
0.7589,0.4033,0.931,0.1324,0.2318,0.0752,0.176,50
0.7558,0.66,0.8276,0.1983,0.32,0.1944,0.2829,100
0.7246,0.6,0.7931,0.1679,0.2771,0.1399,0.2209,200
0.5963,0.43,0.6897,0.1099,0.1896,0.0274,0.0556,300
0.5481,0.4167,0.6552,0.1033,0.1784,0.0137,0.0281,400
0.5756,0.4733,0.6552,0.1138,0.1939,0.0349,0.0649,500
0.5124,0.51,0.5172,0.1014,0.1695,0.0093,0.0156,1000
0.4921,0.75,0.1724,0.0893,0.1176,-0.0111,-0.012,2000
0.4914,0.86,0.0345,0.0667,0.0455,-0.0219,-0.0233,5000
0.5194,0.17,1,0.1043,0.1889,0.0168,0.092,2
0.6977,0.17,1,0.1043,0.1889,0.0168,0.092,5
0.6903,0.17,1,0.1043,0.1889,0.0168,0.092,10
0.7333,0.36,0.931,0.1244,0.2195,0.059,0.1519,20
0.7363,0.27,0.9655,0.1138,0.2036,0.0371,0.1239,50
0.7142,0.5267,0.8621,0.1534,0.2604,0.1152,0.2093,100
0.7319,0.5,0.8966,0.1503,0.2574,0.1101,0.2118,200
0.6572,0.6133,0.7241,0.1628,0.2658,0.1282,0.1944,300
0.6092,0.5,0.6552,0.1195,0.2021,0.0462,0.082,400
0.6192,0.51,0.6552,0.1218,0.2054,0.0506,0.0885,500
0.5875,0.5867,0.5862,0.1318,0.2152,0.0681,0.1032,1000
0.5358,0.7733,0.2414,0.1321,0.1707,0.0523,0.0555,2000
0.4969,0.87,0.0345,0.0833,0.0488,-0.0083,-0.0092,5000
0.5588,0.16,1,0.1,0.1818,0.0146,0.0857,2
0.5738,0.1633,1,0.1004,0.1824,0.0154,0.088,5
0.6895,0.18,1,0.1022,0.1854,0.0193,0.0988,10
0.7365,0.3733,0.9286,0.1226,0.2167,0.062,0.1564,20
0.7098,0.6667,0.6786,0.1727,0.2754,0.1487,0.2077,50
0.7361,0.6967,0.7143,0.1942,0.3053,0.1859,0.2507,100
0.6552,0.5267,0.7143,0.1299,0.2198,0.0734,0.129,200
0.6035,0.4733,0.6786,0.1131,0.1939,0.0403,0.0766,300
0.6113,0.4933,0.6786,0.1173,0.2,0.0486,0.0892,400
0.5582,0.4133,0.6786,0.1022,0.1776,0.0183,0.0387,500
0.4793,0.4933,0.4643,0.0867,0.1461,-0.0133,-0.0229,1000
0.5005,0.7333,0.2143,0.0938,0.1304,7e-04,7e-04,2000
0.4798,0.87,0,0,0,-0.0556,-0.0626,5000
0.582,0.1533,0.96,0.0866,0.1589,0.0072,0.0416,2
0.5924,0.16,0.96,0.0873,0.16,0.0085,0.0473,5
0.699,0.17,0.96,0.0882,0.1616,0.0106,0.0553,10
0.7214,0.2333,0.96,0.0949,0.1727,0.0247,0.0968,20
0.7317,0.24,0.96,0.0956,0.1739,0.0263,0.1006,50
0.7515,0.5633,0.88,0.1467,0.2514,0.1267,0.2291,100
0.7084,0.52,0.84,0.1304,0.2258,0.0953,0.1834,200
0.6903,0.5167,0.76,0.1203,0.2077,0.0745,0.1409,300
0.6369,0.4667,0.84,0.1186,0.2079,0.0725,0.1533,400
0.6611,0.5433,0.8,0.1316,0.226,0.0967,0.1769,500
0.6358,0.6,0.68,0.1318,0.2208,0.0943,0.1523,1000
0.4945,0.7733,0.16,0.0784,0.1053,-0.0074,-0.008,2000
0.4927,0.9033,0,0,0,-0.0235,-0.035,5000
0.5563,0.84,0.0312,0.0556,0.04,-0.0399,-0.0418,2
0.6776,0.7933,0.1875,0.1429,0.1622,0.0467,0.0473,5
0.7186,0.8067,0.4062,0.25,0.3095,0.2045,0.2126,10
0.7194,0.77,0.625,0.2597,0.367,0.2546,0.2914,20
0.7072,0.6,0.7188,0.1716,0.2771,0.1267,0.1891,50
0.7324,0.6867,0.625,0.1961,0.2985,0.1625,0.2079,100
0.653,0.3733,0.7812,0.1214,0.2101,0.0312,0.0705,200
0.6091,0.3567,0.7812,0.1185,0.2058,0.0252,0.0589,300
0.5672,0.4033,0.75,0.1231,0.2115,0.0345,0.0724,400
0.5708,0.46,0.6875,0.1264,0.2136,0.0407,0.0753,500
0.4834,0.5933,0.3438,0.0982,0.1528,-0.0158,-0.0211,1000
0.4923,0.7567,0.1562,0.098,0.1205,-0.0122,-0.0126,2000
0.4757,0.85,0,0,0,-0.0657,-0.0735,5000
0.5039,0.1767,0.96,0.0889,0.1627,0.012,0.0603,2
0.6309,0.19,0.96,0.0902,0.1649,0.0149,0.0698,5
0.6975,0.2,0.96,0.0913,0.1667,0.0171,0.0764,10
0.6457,0.3833,0.8,0.1,0.1778,0.0348,0.0853,20
0.7087,0.32,0.88,0.0987,0.1774,0.0324,0.0943,50
0.7172,0.4633,0.8,0.1136,0.199,0.0621,0.1306,100
0.7741,0.5467,0.92,0.1465,0.2527,0.1273,0.2395,200
0.7711,0.5733,0.88,0.1497,0.2558,0.1322,0.2352,300
0.6033,0.5167,0.68,0.1104,0.1899,0.0543,0.1005,400
0.5529,0.5467,0.56,0.1007,0.1707,0.0343,0.0584,500
0.5091,0.6333,0.36,0.0874,0.1406,0.0075,0.0106,1000
0.5036,0.8567,0.08,0.0909,0.0851,0.0077,0.0077,2000
0.4945,0.9067,0,0,0,-0.0182,-0.0303,5000
0.6299,0.17,1,0.0978,0.1782,0.0171,0.0927,2
0.62,0.1867,0.963,0.0967,0.1757,0.0145,0.0685,5
0.6486,0.1833,0.963,0.0963,0.1751,0.0137,0.066,10
0.704,0.22,0.963,0.1004,0.1818,0.0225,0.0912,20
0.7464,0.2433,1,0.1063,0.1922,0.0352,0.1338,50
0.7418,0.52,0.8519,0.1411,0.2421,0.1037,0.1948,100
0.5324,0.3033,0.8148,0.0973,0.1739,0.0156,0.0449,200
0.6313,0.3367,0.7778,0.0981,0.1743,0.0172,0.0448,300
0.5895,0.3867,0.7778,0.1055,0.1858,0.0325,0.0762,400
0.5861,0.4467,0.7778,0.116,0.2019,0.0537,0.1121,500
0.4949,0.5667,0.4074,0.088,0.1447,-0.0039,-0.0059,1000
0.4957,0.72,0.2222,0.087,0.125,-0.005,-0.0058,2000
0.4853,0.8833,0,0,0,-0.0429,-0.0521,5000
0.5674,0.2,0.9655,0.1049,0.1892,0.0179,0.079,2
0.6545,0.2067,0.9655,0.1057,0.1905,0.0196,0.0837,5
0.711,0.2067,0.9655,0.1057,0.1905,0.0196,0.0837,10
0.7246,0.2467,0.931,0.1076,0.1929,0.0236,0.0835,20
0.7575,0.3467,0.8621,0.1152,0.2033,0.0394,0.1015,50
0.6634,0.3133,0.8276,0.1067,0.189,0.0214,0.0586,100
0.6999,0.3733,0.8276,0.1159,0.2034,0.0407,0.0973,200
0.5758,0.3967,0.7586,0.1122,0.1956,0.0326,0.0724,300
0.5817,0.4267,0.7586,0.1176,0.2037,0.0436,0.0913,400
0.5271,0.4267,0.6552,0.105,0.181,0.0172,0.0347,500
0.5181,0.5467,0.4828,0.1037,0.1707,0.0138,0.0215,1000
0.5223,0.6933,0.3103,0.1111,0.1636,0.0248,0.0297,2000
0.5068,0.86,0.069,0.1176,0.087,0.0167,0.0174,5000
0.5894,0.87,0.1,0.2,0.1333,0.0714,0.0765,2
0.7593,0.7633,0.6333,0.2405,0.3486,0.2382,0.28,5
0.8241,0.8167,0.7333,0.3188,0.4444,0.3545,0.3987,10
0.7215,0.7967,0.6667,0.2817,0.396,0.2972,0.3372,20
0.774,0.7567,0.7,0.2471,0.3652,0.2551,0.3082,50
0.7993,0.76,0.8,0.2667,0.4,0.2941,0.3637,100
0.7822,0.7633,0.7333,0.2588,0.3826,0.2755,0.3329,200
0.7159,0.51,0.7667,0.1411,0.2383,0.0835,0.1495,300
0.6974,0.5033,0.7333,0.135,0.228,0.0711,0.1271,400
0.5893,0.3967,0.8,0.1206,0.2096,0.0433,0.0964,500
0.5639,0.46,0.7,0.1207,0.2059,0.0426,0.081,1000
0.5481,0.6667,0.4,0.1277,0.1935,0.0494,0.0623,2000
0.4926,0.8333,0.0667,0.0833,0.0741,-0.0163,-0.0164,5000
0.5646,0.1867,1,0.0896,0.1644,0.0206,0.1019,2
0.6098,0.1867,1,0.0896,0.1644,0.0206,0.1019,5
0.7097,0.1867,1,0.0896,0.1644,0.0206,0.1019,10
0.7209,0.19,1,0.0899,0.1649,0.0213,0.1037,20
0.6807,0.5467,0.625,0.1056,0.1807,0.0508,0.0896,50
0.6873,0.65,0.625,0.1351,0.2222,0.1044,0.1557,100
0.7183,0.6633,0.6667,0.1468,0.2406,0.126,0.186,200
0.7013,0.6467,0.6667,0.1404,0.2319,0.1149,0.1742,300
0.7053,0.4467,0.9167,0.1183,0.2095,0.079,0.1802,400
0.68,0.47,0.875,0.1186,0.209,0.0792,0.1709,500
0.6214,0.6533,0.5833,0.1296,0.2121,0.0934,0.1372,1000
0.5127,0.8033,0.1667,0.093,0.1194,0.0186,0.0196,2000
0.4909,0.9033,0,0,0,-0.0284,-0.0384,5000
0.5617,0.9033,0,0,0,0,0,2
0.6764,0.77,0.4828,0.2059,0.2887,0.1771,0.2001,5
0.7017,0.8267,0.4483,0.2653,0.3333,0.2412,0.2521,10
0.7348,0.78,0.5862,0.2394,0.34,0.235,0.269,20
0.7688,0.6533,0.8276,0.1951,0.3158,0.1889,0.2777,50
0.7623,0.6967,0.7586,0.2075,0.3259,0.2053,0.2774,100
0.7434,0.5433,0.8276,0.1538,0.2595,0.1152,0.2014,200
0.5678,0.3033,0.7931,0.1018,0.1804,0.0109,0.0302,300
0.5979,0.3233,0.7931,0.1045,0.1847,0.0168,0.0442,400
0.5929,0.3433,0.7931,0.1075,0.1893,0.0229,0.0577,500
0.4898,0.4133,0.5862,0.0939,0.1619,-0.0057,-0.0115,1000
0.5408,0.7267,0.3103,0.1268,0.18,0.0495,0.0567,2000
0.4951,0.8667,0.0345,0.0769,0.0476,-0.013,-0.0142,5000
0.5583,0.9067,0,0,0,0,0,2
0.6459,0.6833,0.3929,0.1236,0.188,0.0537,0.0676,5
0.6241,0.7033,0.3929,0.1325,0.1982,0.0681,0.0833,10
0.6656,0.7167,0.4643,0.1566,0.2342,0.11,0.1346,20
0.6241,0.2867,0.8214,0.0991,0.1769,0.0124,0.0369,50
0.6301,0.55,0.6429,0.1259,0.2105,0.0645,0.1068,100
0.6587,0.55,0.75,0.1409,0.2373,0.0951,0.1626,200
0.6653,0.48,0.75,0.1235,0.2121,0.0617,0.1187,300
0.6383,0.4267,0.7857,0.117,0.2037,0.0492,0.1055,400
0.5349,0.38,0.7143,0.101,0.177,0.0161,0.0368,500
0.3792,0.5133,0.2143,0.0462,0.0759,-0.0917,-0.1418,1000
0.469,0.7633,0.1071,0.0612,0.0779,-0.0464,-0.0488,2000
0.4926,0.8933,0,0,0,-0.0239,-0.0373,5000
0.5389,0.85,0.125,0.1905,0.1509,0.0725,0.0745,2
0.5733,0.7767,0.1875,0.1277,0.1519,0.0286,0.0293,5
0.7781,0.77,0.6875,0.2716,0.3894,0.2791,0.325,10
0.765,0.26,0.9375,0.12,0.2128,0.0292,0.0966,20
0.7893,0.5033,0.9375,0.1695,0.2871,0.1299,0.2441,50
0.8014,0.71,0.8125,0.243,0.3741,0.2511,0.3288,100
0.7613,0.7233,0.75,0.2424,0.3664,0.2446,0.3086,200
0.7772,0.7267,0.7812,0.25,0.3788,0.259,0.3283,300
0.779,0.7233,0.8125,0.2524,0.3852,0.2657,0.3414,400
0.7729,0.56,0.9062,0.1835,0.3053,0.1554,0.2627,500
0.6549,0.58,0.75,0.169,0.2759,0.1232,0.1915,1000
0.6199,0.7633,0.4375,0.209,0.2828,0.1618,0.1777,2000
0.5564,0.8467,0.1875,0.2308,0.2069,0.123,0.1238,5000
0.5692,0.88,0,0,0,0,0,2
0.6596,0.7667,0.3889,0.2258,0.2857,0.1578,0.1662,5
0.6402,0.7333,0.2778,0.1562,0.2,0.0548,0.0581,10
0.6327,0.6633,0.4444,0.1649,0.2406,0.0795,0.0956,20
0.713,0.6667,0.6389,0.2091,0.3151,0.1639,0.2086,50
0.6751,0.3867,0.9167,0.1542,0.264,0.0737,0.166,100
0.5957,0.36,0.8056,0.1355,0.232,0.0334,0.0753,200
0.4976,0.3667,0.6944,0.1225,0.2083,0.0054,0.0114,300
0.5155,0.42,0.6944,0.133,0.2232,0.0273,0.0517,400
0.5033,0.41,0.6667,0.127,0.2133,0.0147,0.028,500
0.5058,0.5333,0.4722,0.1232,0.1954,0.0062,0.0091,1000
0.5152,0.7167,0.25,0.1343,0.1748,0.0221,0.0236,2000
0.5019,0.82,0.0833,0.125,0.1,0.0044,0.0045,5000
0.5111,0.9,0,0,0,0,0,2
0.7021,0.73,0.4,0.16,0.2286,0.1,0.1155,5
0.7059,0.75,0.5667,0.2152,0.3119,0.1953,0.2296,10
0.7425,0.6767,0.8,0.2087,0.331,0.2049,0.2857,20
0.7063,0.57,0.8,0.1633,0.2712,0.126,0.2067,50
0.7591,0.61,0.8333,0.1825,0.2994,0.1619,0.2521,100
0.7675,0.5467,0.9333,0.1728,0.2917,0.1479,0.2631,200
0.7704,0.6667,0.8667,0.2131,0.3421,0.2163,0.3122,300
0.722,0.4233,0.9333,0.1407,0.2445,0.0856,0.1904,400
0.7069,0.47,0.9,0.1475,0.2535,0.0986,0.1982,500
0.5827,0.5433,0.6333,0.131,0.2171,0.0616,0.1001,1000
0.4907,0.7767,0.1333,0.0889,0.1067,-0.0152,-0.0156,2000
0.487,0.8767,0,0,0,-0.0393,-0.0515,5000
0.4609,0.1633,0.9615,0.0909,0.1661,0.0092,0.05,2
0.6659,0.1633,0.9615,0.0909,0.1661,0.0092,0.05,5
0.68,0.1633,0.9615,0.0909,0.1661,0.0092,0.05,10
0.7139,0.1767,0.9231,0.0892,0.1627,0.0055,0.0267,20
0.7594,0.2133,0.9615,0.0962,0.1748,0.0205,0.086,50
0.7697,0.4233,0.9231,0.1231,0.2172,0.0759,0.1764,100
0.7021,0.3167,0.8846,0.1022,0.1833,0.033,0.0958,200
0.6052,0.37,0.8462,0.1063,0.1888,0.0412,0.104,300
0.6138,0.41,0.8462,0.1128,0.1991,0.0545,0.1267,400
0.6013,0.39,0.8462,0.1095,0.1938,0.0477,0.1154,500
0.6067,0.5633,0.6538,0.1223,0.2061,0.0703,0.1177,1000
0.5278,0.7733,0.2308,0.1111,0.15,0.0374,0.0407,2000
0.4836,0.8833,0,0,0,-0.0467,-0.0542,5000
0.559,0.86,0.0345,0.0667,0.0455,-0.0219,-0.0233,2
0.5999,0.8033,0.069,0.0588,0.0635,-0.0456,-0.0458,5
0.7413,0.78,0.5172,0.2239,0.3125,0.2053,0.2309,10
0.7506,0.74,0.7241,0.2308,0.35,0.2383,0.2994,20
0.7909,0.5333,0.8966,0.1595,0.2708,0.1277,0.232,50
0.7901,0.6567,0.7931,0.1917,0.3087,0.1812,0.2625,100
0.7798,0.6567,0.8621,0.2016,0.3268,0.2017,0.2981,200
0.736,0.4433,0.931,0.1406,0.2443,0.0918,0.1983,300
0.6927,0.44,0.931,0.1399,0.2432,0.0904,0.1965,400
0.6828,0.4433,0.931,0.1406,0.2443,0.0918,0.1983,500
0.6696,0.57,0.7931,0.1575,0.2629,0.1211,0.2006,1000
0.4909,0.72,0.2069,0.0896,0.125,-0.0115,-0.0129,2000
0.4939,0.8367,0.069,0.0833,0.0755,-0.0132,-0.0133,5000
0.463,0.9067,0,0,0,0,0,2
0.6398,0.84,0.3929,0.2619,0.3143,0.2278,0.2338,5
0.6229,0.7933,0.2143,0.1304,0.1622,0.0522,0.0543,10
0.658,0.74,0.4643,0.1711,0.25,0.1315,0.1556,20
0.6451,0.73,0.3929,0.1467,0.2136,0.0899,0.1059,50
0.6596,0.7033,0.6429,0.1856,0.288,0.1674,0.2192,100
0.6489,0.6933,0.5714,0.1667,0.2581,0.1327,0.1729,200
0.638,0.71,0.6071,0.1828,0.281,0.1606,0.2061,300
0.618,0.7067,0.5714,0.1739,0.2667,0.1442,0.1842,400
0.6491,0.7133,0.5714,0.1778,0.2712,0.1502,0.19,500
0.5597,0.52,0.6071,0.1133,0.191,0.04,0.0688,1000
0.5133,0.73,0.25,0.1045,0.1474,0.0181,0.0205,2000
