"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.5339,0.8667,0.15,0.1154,0.1304,0.0596,0.0602,2000
0.4964,0.9267,0,0,0,-0.0123,-0.0219,5000
0.5178,0.92,0,0,0,0,0,2
0.6248,0.7533,0.2917,0.1094,0.1591,0.0484,0.0564,5
0.6724,0.6767,0.4167,0.1075,0.1709,0.0501,0.068,10
0.7104,0.64,0.7083,0.1441,0.2394,0.1228,0.1902,20
0.7264,0.5433,0.8333,0.1307,0.226,0.1018,0.1907,50
0.68,0.6,0.6667,0.125,0.2105,0.0876,0.1431,100
0.6664,0.59,0.75,0.1333,0.2264,0.1048,0.1778,200
0.6583,0.6,0.7083,0.1308,0.2208,0.0991,0.1636,300
0.6652,0.61,0.7083,0.1339,0.2252,0.1047,0.1701,400
0.6547,0.64,0.6667,0.1379,0.2286,0.1107,0.1695,500
0.5773,0.72,0.4167,0.125,0.1923,0.0789,0.1,1000
0.5383,0.8533,0.1667,0.1429,0.1538,0.0741,0.0743,2000
0.5136,0.91,0.0417,0.2,0.069,0.0426,0.0576,5000
0.5139,0.93,0,0,0,0,0,2
0.702,0.74,0.4286,0.12,0.1875,0.0877,0.1131,5
0.7204,0.73,0.6667,0.1591,0.2569,0.1622,0.225,10
0.7047,0.66,0.619,0.1215,0.2031,0.0975,0.1503,20
0.7382,0.52,0.9048,0.118,0.2088,0.097,0.2025,50
0.6887,0.4767,0.9048,0.1092,0.1949,0.0799,0.1805,100
0.6572,0.5133,0.8571,0.1118,0.1978,0.0844,0.1763,200
0.6707,0.5533,0.8095,0.1156,0.2024,0.091,0.1754,300
0.6244,0.5633,0.7143,0.1071,0.1863,0.0736,0.1362,400
0.5325,0.5933,0.4762,0.0826,0.1408,0.0245,0.0407,500
0.5287,0.6967,0.3333,0.0833,0.1333,0.024,0.0326,1000
0.5233,0.8533,0.1429,0.1034,0.12,0.0422,0.0429,2000
0.4982,0.9267,0,0,0,-0.0064,-0.0159,5000
0.6,0.2533,1,0.082,0.1515,0.0323,0.128,2
0.6473,0.2533,1,0.082,0.1515,0.0323,0.128,5
0.723,0.2533,1,0.082,0.1515,0.0323,0.128,10
0.6891,0.3867,0.8,0.0816,0.1481,0.0309,0.0824,20
0.7483,0.4667,0.8,0.093,0.1667,0.0536,0.1225,50
0.6929,0.5267,0.8,0.1039,0.1839,0.0747,0.1533,100
0.6773,0.54,0.8,0.1067,0.1882,0.08,0.1604,200
0.648,0.5833,0.7,0.1053,0.183,0.0759,0.1381,300
0.6732,0.6133,0.75,0.119,0.2055,0.1022,0.1787,400
0.6121,0.6267,0.6,0.1034,0.1765,0.0708,0.1171,500
0.6268,0.78,0.45,0.1406,0.2143,0.1254,0.1544,1000
0.4946,0.88,0.05,0.0556,0.0526,-0.0112,-0.0113,2000
0.4964,0.9267,0,0,0,-0.0123,-0.0219,5000
0.5103,0.9133,0,0,0,-0.0277,-0.0357,2
0.736,0.5633,0.8095,0.1181,0.2061,0.0956,0.181,5
0.8046,0.7133,0.7619,0.1649,0.2712,0.1764,0.2572,10
0.7769,0.4867,0.9048,0.1111,0.1979,0.0837,0.1855,20
0.692,0.5333,0.8571,0.1161,0.2045,0.0927,0.1869,50
0.6982,0.5533,0.8571,0.1208,0.2118,0.1015,0.1978,100
0.7135,0.5967,0.8571,0.1324,0.2293,0.1229,0.2225,200
0.7133,0.6333,0.8095,0.1382,0.2361,0.1324,0.2229,300
0.6587,0.6933,0.619,0.134,0.2203,0.1189,0.1734,400
0.6737,0.72,0.619,0.1461,0.2364,0.1388,0.1936,500
0.6915,0.8767,0.4762,0.2778,0.3509,0.2879,0.3007,1000
0.5571,0.9133,0.1429,0.2727,0.1875,0.1464,0.155,2000
0.5,0.93,0,0,0,0,0,5000
0.5422,0.2233,0.9048,0.076,0.1402,0.0127,0.0526,2
0.6252,0.41,0.7619,0.0851,0.1531,0.0311,0.0767,5
0.6769,0.5867,0.7619,0.1185,0.2051,0.0956,0.172,10
0.7541,0.5133,0.8571,0.1118,0.1978,0.0844,0.1763,20
0.7544,0.5367,0.9048,0.1218,0.2147,0.1042,0.2113,50
0.7759,0.52,0.9524,0.1227,0.2174,0.1066,0.2253,100
0.563,0.4967,0.7143,0.0938,0.1657,0.0479,0.0995,200
0.5723,0.5533,0.6667,0.0993,0.1728,0.0581,0.1081,300
0.5908,0.5667,0.6667,0.1022,0.1772,0.0635,0.1157,400
0.6105,0.6,0.6667,0.1102,0.1892,0.0785,0.1351,500
0.6605,0.74,0.5714,0.1481,0.2353,0.1396,0.1863,1000
0.6237,0.8733,0.3333,0.2258,0.2692,0.2027,0.2073,2000
0.5,0.93,0,0,0,0,0,5000
0.5679,0.9333,0,0,0,0,0,2
0.6452,0.9167,0.05,0.1429,0.0741,0.0409,0.0472,5
0.7859,0.82,0.5,0.1852,0.2703,0.1916,0.2226,10
0.6573,0.63,0.75,0.124,0.2128,0.1111,0.1889,20
0.7097,0.4367,0.8,0.0884,0.1592,0.0445,0.1074,50
0.7155,0.4933,0.8,0.0976,0.1739,0.0625,0.136,100
0.6587,0.47,0.85,0.0983,0.1762,0.0643,0.1479,200
0.6357,0.54,0.75,0.1014,0.1786,0.0692,0.1372,300
0.6536,0.57,0.75,0.1079,0.1887,0.0816,0.1536,400
0.6421,0.59,0.7,0.1069,0.1854,0.0789,0.1419,500
0.6223,0.73,0.5,0.1235,0.198,0.102,0.1385,1000
0.5179,0.88,0.1,0.1,0.1,0.0357,0.0357,2000
0.4982,0.93,0,0,0,-0.0064,-0.0155,5000
0.5601,0.1533,0.9565,0.08,0.1477,0.0072,0.0416,2
0.6778,0.16,0.9565,0.0806,0.1486,0.0084,0.0468,5
0.705,0.1767,0.9565,0.0821,0.1512,0.0116,0.059,10
0.7284,0.38,0.9565,0.1063,0.1913,0.0618,0.1661,20
0.6772,0.51,0.7391,0.1076,0.1878,0.0623,0.1226,50
0.7066,0.5267,0.7826,0.1161,0.2022,0.0793,0.1533,100
0.5749,0.51,0.6957,0.1026,0.1788,0.0521,0.1013,200
0.5794,0.56,0.6522,0.1079,0.1852,0.0617,0.1091,300
0.5001,0.58,0.4783,0.088,0.1486,0.022,0.036,400
0.5167,0.6,0.4348,0.0855,0.1429,0.0169,0.0265,500
0.4731,0.6967,0.2174,0.0641,0.099,-0.022,-0.028,1000
0.5147,0.84,0.1304,0.0968,0.1111,0.0253,0.0257,2000
0.5163,0.9167,0.0435,0.25,0.0741,0.0526,0.0757,5000
0.5075,0.1567,1,0.0664,0.1246,0.0136,0.0826,2
0.5185,0.2367,0.9444,0.0694,0.1293,0.0197,0.0834,5
0.5768,0.2733,0.8333,0.0652,0.121,0.0109,0.0398,10
